Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Alice Springs (NT),2013-04-18 17:00:00 +1000,353.076,31.412,30.1,2.862
Alice Springs (NT),2013-04-18 18:00:00 +1000,68.183,31.115,27.2,0.797
Alice Springs (NT),2013-04-18 19:00:00 +1000,7.072,30.072,25.8,0.027
Alice Springs (NT),2013-04-18 20:00:00 +1000,0.0,28.682,23.7,
Alice Springs (NT),2013-04-18 21:00:00 +1000,0.0,27.703,21.8,
Alice Springs (NT),2013-04-18 22:00:00 +1000,0.0,26.881,19.7,
Alice Springs (NT),2013-04-18 23:00:00 +1000,0.0,25.543,20.1,
Alice Springs (NT),2013-04-19 01:00:00 +1000,0.0,21.345,16.7,
Alice Springs (NT),2013-04-19 02:00:00 +1000,0.0,20.473,15.8,
Alice Springs (NT),2013-04-19 03:00:00 +1000,0.0,19.63,15.0,
Alice Springs (NT),2013-04-19 04:00:00 +1000,0.0,19.147,14.8,
Alice Springs (NT),2013-04-19 05:00:00 +1000,0.0,18.516,14.3,
Alice Springs (NT),2013-04-19 06:00:00 +1000,0.0,17.521,13.6,
Alice Springs (NT),2013-04-19 07:00:00 +1000,0.003,16.843,18.9,
Alice Springs (NT),2013-04-19 08:00:00 +1000,55.427,17.048,23.4,0.497
Alice Springs (NT),2013-04-19 09:00:00 +1000,297.448,20.927,25.7,2.433
Alice Springs (NT),2013-04-19 10:00:00 +1000,594.579,24.27,27.5,4.256
Alice Springs (NT),2013-04-19 11:00:00 +1000,832.281,26.219,29.4,5.569
Alice Springs (NT),2013-04-19 12:00:00 +1000,987.191,28.141,29.8,6.315
Alice Springs (NT),2013-04-19 13:00:00 +1000,1053.056,29.716,31.3,6.666
Alice Springs (NT),2013-04-19 14:00:00 +1000,1027.677,30.531,31.3,6.553
Alice Springs (NT),2013-04-19 15:00:00 +1000,913.2,30.994,32.0,5.996
Alice Springs (NT),2013-04-19 16:00:00 +1000,712.563,31.206,31.2,4.959
Alice Springs (NT),2013-04-19 17:00:00 +1000,435.968,31.187,29.4,3.393
Alice Springs (NT),2013-04-19 18:00:00 +1000,49.122,30.88,25.4,0.755
Alice Springs (NT),2013-04-19 19:00:00 +1000,7.294,29.869,24.7,0.026
Alice Springs (NT),2013-04-19 20:00:00 +1000,0.0,27.763,23.1,
Alice Springs (NT),2013-04-19 21:00:00 +1000,0.0,26.737,21.6,
Alice Springs (NT),2013-04-19 22:00:00 +1000,0.0,26.175,20.0,
Alice Springs (NT),2013-04-19 23:00:00 +1000,0.0,24.113,17.8,
Alice Springs (NT),2013-04-20 01:00:00 +1000,0.0,23.544,15.6,
Alice Springs (NT),2013-04-20 02:00:00 +1000,0.0,24.459,15.2,
Alice Springs (NT),2013-04-20 03:00:00 +1000,0.0,21.192,14.4,
Alice Springs (NT),2013-04-20 04:00:00 +1000,0.031,20.215,14.1,
Alice Springs (NT),2013-04-20 05:00:00 +1000,0.017,19.68,13.6,
Alice Springs (NT),2013-04-20 06:00:00 +1000,0.045,18.057,13.0,
Alice Springs (NT),2013-04-20 07:00:00 +1000,0.036,16.84,19.2,
Alice Springs (NT),2013-04-20 08:00:00 +1000,54.098,17.013,23.1,0.466
Alice Springs (NT),2013-04-20 09:00:00 +1000,291.97,20.93,25.7,2.383
Alice Springs (NT),2013-04-20 10:00:00 +1000,587.324,24.145,27.7,4.191
Alice Springs (NT),2013-04-20 11:00:00 +1000,824.59,26.042,29.2,5.522
Alice Springs (NT),2013-04-20 12:00:00 +1000,979.182,27.831,31.2,6.219
Alice Springs (NT),2013-04-20 13:00:00 +1000,1044.427,29.246,31.2,6.491
Alice Springs (NT),2013-04-20 14:00:00 +1000,1018.541,30.68,32.1,6.376
Alice Springs (NT),2013-04-20 15:00:00 +1000,902.877,31.601,32.2,5.817
Alice Springs (NT),2013-04-20 16:00:00 +1000,701.89,31.839,32.0,4.816
Alice Springs (NT),2013-04-20 17:00:00 +1000,425.692,31.705,30.0,3.288
Alice Springs (NT),2013-04-20 18:00:00 +1000,46.38,31.603,27.0,0.726
Alice Springs (NT),2013-04-20 19:00:00 +1000,6.47,30.541,25.1,0.026
Alice Springs (NT),2013-04-20 20:00:00 +1000,0.0,29.426,23.7,
Alice Springs (NT),2013-04-20 21:00:00 +1000,0.0,28.476,23.1,
Alice Springs (NT),2013-04-20 22:00:00 +1000,0.0,27.573,21.9,
Alice Springs (NT),2013-04-20 23:00:00 +1000,0.0,26.556,22.1,
Alice Springs (NT),2013-04-21 01:00:00 +1000,0.0,25.836,20.6,
Alice Springs (NT),2013-04-21 02:00:00 +1000,0.0,25.18,23.1,
Alice Springs (NT),2013-04-21 03:00:00 +1000,0.0,24.465,22.7,
Alice Springs (NT),2013-04-21 04:00:00 +1000,0.0,24.234,23.1,
Alice Springs (NT),2013-04-21 05:00:00 +1000,0.0,24.257,23.6,
Alice Springs (NT),2013-04-21 06:00:00 +1000,0.0,24.204,23.3,
Alice Springs (NT),2013-04-21 07:00:00 +1000,0.0,24.18,25.2,
Alice Springs (NT),2013-04-21 08:00:00 +1000,55.637,24.105,26.5,0.478
Alice Springs (NT),2013-04-21 09:00:00 +1000,306.04,25.202,29.0,2.532
Alice Springs (NT),2013-04-21 10:00:00 +1000,563.077,26.546,31.0,4.189
Alice Springs (NT),2013-04-21 11:00:00 +1000,827.767,28.846,33.4,5.776
Alice Springs (NT),2013-04-21 12:00:00 +1000,981.013,31.053,34.7,6.477
Alice Springs (NT),2013-04-21 13:00:00 +1000,1034.691,32.387,35.4,6.699
Alice Springs (NT),2013-04-21 14:00:00 +1000,993.439,33.494,35.5,6.411
Alice Springs (NT),2013-04-21 15:00:00 +1000,893.701,34.05,35.9,5.953
Alice Springs (NT),2013-04-21 16:00:00 +1000,712.929,34.357,35.3,5.006
Alice Springs (NT),2013-04-21 17:00:00 +1000,397.218,34.353,33.5,3.104
Alice Springs (NT),2013-04-21 18:00:00 +1000,45.703,34.168,29.9,0.774
Alice Springs (NT),2013-04-21 19:00:00 +1000,6.193,32.744,28.6,0.03
Alice Springs (NT),2013-04-21 20:00:00 +1000,0.0,28.946,26.0,
Alice Springs (NT),2013-04-21 21:00:00 +1000,0.0,26.599,25.5,
Alice Springs (NT),2013-04-21 22:00:00 +1000,0.0,26.542,23.2,
Alice Springs (NT),2013-04-21 23:00:00 +1000,0.0,26.09,21.9,
Alice Springs (NT),2013-04-22 01:00:00 +1000,0.0,24.673,18.3,
Alice Springs (NT),2013-04-22 02:00:00 +1000,0.0,22.75,18.5,
Alice Springs (NT),2013-04-22 03:00:00 +1000,0.0,21.633,18.2,
Alice Springs (NT),2013-04-22 04:00:00 +1000,0.0,21.657,16.9,
Alice Springs (NT),2013-04-22 05:00:00 +1000,0.0,21.01,16.6,
Alice Springs (NT),2013-04-22 06:00:00 +1000,0.0,20.636,15.8,
Alice Springs (NT),2013-04-22 07:00:00 +1000,0.0,20.86,20.7,
Alice Springs (NT),2013-04-22 08:00:00 +1000,53.414,19.823,21.9,0.466
Alice Springs (NT),2013-04-22 09:00:00 +1000,266.599,22.101,23.9,2.166
Alice Springs (NT),2013-04-22 10:00:00 +1000,525.976,23.68,25.0,3.816
Alice Springs (NT),2013-04-22 11:00:00 +1000,813.388,25.126,27.1,5.52
Alice Springs (NT),2013-04-22 12:00:00 +1000,970.818,26.284,27.6,6.342
Alice Springs (NT),2013-04-22 13:00:00 +1000,1027.307,27.263,28.7,6.572
Alice Springs (NT),2013-04-22 14:00:00 +1000,1005.209,28.46,30.1,6.4
Alice Springs (NT),2013-04-22 15:00:00 +1000,769.305,29.64,29.5,5.085
Alice Springs (NT),2013-04-22 16:00:00 +1000,652.947,29.981,29.2,4.609
Alice Springs (NT),2013-04-22 17:00:00 +1000,410.008,30.358,26.7,3.256
Alice Springs (NT),2013-04-22 18:00:00 +1000,42.344,29.068,25.3,0.671
Alice Springs (NT),2013-04-22 19:00:00 +1000,5.85,27.579,24.2,0.035
Alice Springs (NT),2013-04-22 20:00:00 +1000,0.0,26.811,22.2,
Alice Springs (NT),2013-04-22 21:00:00 +1000,0.0,26.138,21.1,
Alice Springs (NT),2013-04-22 22:00:00 +1000,0.0,25.28,19.5,
Alice Springs (NT),2013-04-22 23:00:00 +1000,0.0,24.049,18.1,
Alice Springs (NT),2013-04-23 01:00:00 +1000,0.0,23.442,16.6,
Alice Springs (NT),2013-04-23 02:00:00 +1000,0.0,22.951,14.9,
Alice Springs (NT),2013-04-23 03:00:00 +1000,0.0,21.937,15.5,
Alice Springs (NT),2013-04-23 04:00:00 +1000,0.0,20.209,14.3,
Alice Springs (NT),2013-04-23 05:00:00 +1000,0.0,19.115,14.7,
Alice Springs (NT),2013-04-23 06:00:00 +1000,0.003,18.476,13.5,
Alice Springs (NT),2013-04-23 07:00:00 +1000,0.003,18.574,17.4,
Alice Springs (NT),2013-04-23 08:00:00 +1000,40.631,18.36,21.4,0.332
Alice Springs (NT),2013-04-23 09:00:00 +1000,180.753,20.357,21.6,1.424
Alice Springs (NT),2013-04-23 10:00:00 +1000,453.461,22.746,24.0,3.42
Alice Springs (NT),2013-04-23 11:00:00 +1000,442.638,23.479,23.1,3.203
Alice Springs (NT),2013-04-23 12:00:00 +1000,298.776,23.871,26.0,2.137
Alice Springs (NT),2013-04-23 13:00:00 +1000,611.544,24.732,25.8,4.225
Alice Springs (NT),2013-04-23 14:00:00 +1000,653.861,25.759,24.9,4.49
Alice Springs (NT),2013-04-23 15:00:00 +1000,382.989,26.143,24.8,2.78
Alice Springs (NT),2013-04-23 16:00:00 +1000,92.452,25.595,25.0,0.646
Alice Springs (NT),2013-04-23 17:00:00 +1000,266.392,25.95,24.0,2.126
Alice Springs (NT),2013-04-23 18:00:00 +1000,68.341,25.832,20.9,0.557
Alice Springs (NT),2013-04-23 19:00:00 +1000,5.929,24.86,20.1,0.041
Alice Springs (NT),2013-04-23 20:00:00 +1000,0.0,23.822,18.8,
Alice Springs (NT),2013-04-23 21:00:00 +1000,0.0,23.215,17.6,
Alice Springs (NT),2013-04-23 22:00:00 +1000,0.0,22.788,16.9,
Alice Springs (NT),2013-04-23 23:00:00 +1000,0.0,21.577,16.1,
Alice Springs (NT),2013-04-24 01:00:00 +1000,0.0,20.463,13.5,
Alice Springs (NT),2013-04-24 02:00:00 +1000,0.0,18.187,13.0,
Alice Springs (NT),2013-04-24 03:00:00 +1000,0.0,17.544,11.9,
Alice Springs (NT),2013-04-24 04:00:00 +1000,0.0,17.469,11.9,
Alice Springs (NT),2013-04-24 05:00:00 +1000,0.0,16.25,10.8,
Alice Springs (NT),2013-04-24 06:00:00 +1000,0.0,15.532,11.7,
Alice Springs (NT),2013-04-24 07:00:00 +1000,0.0,14.724,17.6,
Alice Springs (NT),2013-04-24 08:00:00 +1000,50.836,15.533,21.1,0.466
Alice Springs (NT),2013-04-24 09:00:00 +1000,283.114,18.868,23.1,2.358
Alice Springs (NT),2013-04-24 10:00:00 +1000,574.687,21.746,24.5,4.244
Alice Springs (NT),2013-04-24 11:00:00 +1000,784.112,23.599,25.6,5.493
Alice Springs (NT),2013-04-24 12:00:00 +1000,971.666,24.986,26.9,6.536
Alice Springs (NT),2013-04-24 13:00:00 +1000,1032.101,25.993,26.8,6.824
Alice Springs (NT),2013-04-24 14:00:00 +1000,1001.813,27.02,27.1,6.624
Alice Springs (NT),2013-04-24 15:00:00 +1000,885.845,27.821,27.1,6.02
Alice Springs (NT),2013-04-24 16:00:00 +1000,684.481,27.858,26.8,4.94
Alice Springs (NT),2013-04-24 17:00:00 +1000,404.542,27.512,25.2,3.325
Alice Springs (NT),2013-04-24 18:00:00 +1000,37.623,27.343,22.6,0.664
Alice Springs (NT),2013-04-24 19:00:00 +1000,5.492,26.22,20.5,0.034
Alice Springs (NT),2013-04-24 20:00:00 +1000,0.0,25.042,20.4,
Alice Springs (NT),2013-04-24 21:00:00 +1000,0.0,24.197,18.8,
Alice Springs (NT),2013-04-24 22:00:00 +1000,0.0,23.354,17.3,
Alice Springs (NT),2013-04-24 23:00:00 +1000,0.0,22.421,18.5,
Alice Springs (NT),2013-04-25 01:00:00 +1000,0.0,20.745,14.8,
Alice Springs (NT),2013-04-25 02:00:00 +1000,0.0,19.874,13.3,
Alice Springs (NT),2013-04-25 03:00:00 +1000,0.0,18.314,12.5,
Alice Springs (NT),2013-04-25 04:00:00 +1000,0.0,20.095,11.1,
Alice Springs (NT),2013-04-25 05:00:00 +1000,0.0,19.872,10.9,
Alice Springs (NT),2013-04-25 06:00:00 +1000,0.0,18.41,10.3,
Alice Springs (NT),2013-04-25 07:00:00 +1000,0.0,16.085,15.7,
Alice Springs (NT),2013-04-25 08:00:00 +1000,50.681,16.242,20.7,0.458
Alice Springs (NT),2013-04-25 09:00:00 +1000,283.959,19.095,21.9,2.41
Alice Springs (NT),2013-04-25 10:00:00 +1000,575.619,21.624,23.4,4.315
Alice Springs (NT),2013-04-25 11:00:00 +1000,811.092,23.019,24.3,5.76
Alice Springs (NT),2013-04-25 12:00:00 +1000,964.097,24.356,25.3,6.559
Alice Springs (NT),2013-04-25 13:00:00 +1000,1028.629,25.618,25.7,6.905
Alice Springs (NT),2013-04-25 14:00:00 +1000,1002.194,26.138,26.0,6.83
Alice Springs (NT),2013-04-25 15:00:00 +1000,885.995,26.565,26.2,6.201
Alice Springs (NT),2013-04-25 16:00:00 +1000,683.394,26.733,25.8,5.068
Alice Springs (NT),2013-04-25 17:00:00 +1000,394.522,26.577,24.0,3.372
Alice Springs (NT),2013-04-25 18:00:00 +1000,34.392,26.232,20.7,0.662
Alice Springs (NT),2013-04-25 19:00:00 +1000,5.005,25.133,18.3,0.03
Alice Springs (NT),2013-04-25 20:00:00 +1000,0.0,23.787,16.7,
Alice Springs (NT),2013-04-25 21:00:00 +1000,0.0,22.077,14.9,
Alice Springs (NT),2013-04-25 22:00:00 +1000,0.0,22.441,12.9,
Alice Springs (NT),2013-04-25 23:00:00 +1000,0.0,20.476,11.5,
Alice Springs (NT),2013-04-26 01:00:00 +1000,0.0,16.481,11.3,
Alice Springs (NT),2013-04-26 02:00:00 +1000,0.0,15.488,10.7,
