Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Angle Vale (SA),2013-08-18 01:00:00 +1000,0.351,0.0,9.7,
Angle Vale (SA),2013-08-18 02:00:00 +1000,0.321,0.0,9.6,
Angle Vale (SA),2013-08-18 03:00:00 +1000,0.492,0.0,9.6,
Angle Vale (SA),2013-08-18 04:00:00 +1000,0.565,0.0,9.7,
Angle Vale (SA),2013-08-18 05:00:00 +1000,0.382,0.0,9.7,
Angle Vale (SA),2013-08-18 06:00:00 +1000,0.189,0.0,9.7,
Angle Vale (SA),2013-08-18 07:00:00 +1000,0.633,0.0,10.8,
Angle Vale (SA),2013-08-18 08:00:00 +1000,31.54,0.0,13.1,0.19
Angle Vale (SA),2013-08-18 09:00:00 +1000,213.58,0.0,14.5,1.089
Angle Vale (SA),2013-08-18 10:00:00 +1000,209.088,0.0,14.4,1.086
Angle Vale (SA),2013-08-18 11:00:00 +1000,298.1,0.0,14.5,1.554
Angle Vale (SA),2013-08-18 12:00:00 +1000,691.544,0.0,15.5,3.432
Angle Vale (SA),2013-08-18 13:00:00 +1000,354.315,0.0,14.9,1.832
Angle Vale (SA),2013-08-18 14:00:00 +1000,478.901,0.0,14.0,2.381
Angle Vale (SA),2013-08-18 15:00:00 +1000,406.222,0.0,13.0,2.059
Angle Vale (SA),2013-08-18 16:00:00 +1000,228.168,0.0,12.1,1.172
Angle Vale (SA),2013-08-18 17:00:00 +1000,85.329,0.0,11.9,0.437
Angle Vale (SA),2013-08-18 18:00:00 +1000,23.055,0.0,10.5,0.111
Angle Vale (SA),2013-08-18 19:00:00 +1000,0.017,0.0,10.5,0.0
Angle Vale (SA),2013-08-18 20:00:00 +1000,0.009,0.0,9.8,
Angle Vale (SA),2013-08-18 21:00:00 +1000,0.0,0.0,9.9,
Angle Vale (SA),2013-08-18 22:00:00 +1000,0.047,0.0,9.3,
Angle Vale (SA),2013-08-18 23:00:00 +1000,0.133,0.0,8.6,
Angle Vale (SA),2013-08-19 01:00:00 +1000,0.039,0.0,9.5,
Angle Vale (SA),2013-08-19 02:00:00 +1000,0.02,0.0,8.9,
Angle Vale (SA),2013-08-19 03:00:00 +1000,0.286,0.0,8.4,
Angle Vale (SA),2013-08-19 04:00:00 +1000,0.22,0.0,8.3,
Angle Vale (SA),2013-08-19 05:00:00 +1000,0.56,0.0,8.3,
Angle Vale (SA),2013-08-19 06:00:00 +1000,0.493,0.0,8.5,
Angle Vale (SA),2013-08-19 07:00:00 +1000,0.47,0.0,9.6,
Angle Vale (SA),2013-08-19 08:00:00 +1000,40.326,0.0,10.7,0.221
Angle Vale (SA),2013-08-19 09:00:00 +1000,240.423,0.0,11.2,1.283
Angle Vale (SA),2013-08-19 10:00:00 +1000,380.936,0.0,11.7,2.101
Angle Vale (SA),2013-08-19 11:00:00 +1000,531.861,0.0,12.3,2.785
Angle Vale (SA),2013-08-19 16:00:00 +1000,405.361,0.0,10.4,2.238
Angle Vale (SA),2013-08-19 17:00:00 +1000,217.703,0.0,7.1,1.122
Angle Vale (SA),2013-08-19 18:00:00 +1000,35.797,0.0,8.4,0.153
Angle Vale (SA),2013-08-19 19:00:00 +1000,0.237,0.0,6.4,0.005
Angle Vale (SA),2013-08-19 20:00:00 +1000,0.063,0.0,7.5,
Angle Vale (SA),2013-08-19 21:00:00 +1000,0.057,0.0,5.5,
Angle Vale (SA),2013-08-19 22:00:00 +1000,0.014,0.0,6.7,
Angle Vale (SA),2013-08-19 23:00:00 +1000,0.188,0.0,6.8,
Angle Vale (SA),2013-08-20 01:00:00 +1000,0.734,0.0,4.7,
Angle Vale (SA),2013-08-20 02:00:00 +1000,0.707,0.0,3.0,
Angle Vale (SA),2013-08-20 03:00:00 +1000,0.922,0.0,3.5,
