Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Broadmeadow (NSW),2012-12-31 23:00:00 +1000,0.0,25.632,,0.0
Broadmeadow (NSW),2013-01-01 00:00:00 +1000,0.0,25.194,,0.0
Broadmeadow (NSW),2013-01-01 01:00:00 +1000,0.0,24.836,,0.0
Broadmeadow (NSW),2013-01-01 02:00:00 +1000,0.0,24.3,,0.0
Broadmeadow (NSW),2013-01-01 03:00:00 +1000,0.0,23.805,,0.0
Broadmeadow (NSW),2013-01-01 04:00:00 +1000,0.0,23.194,,0.0
Broadmeadow (NSW),2013-01-01 05:00:00 +1000,0.0,22.753,,0.0
Broadmeadow (NSW),2013-01-01 06:00:00 +1000,14.512,22.962,,0.028
Broadmeadow (NSW),2013-01-01 07:00:00 +1000,86.449,25.605,,0.275
Broadmeadow (NSW),2013-01-01 08:00:00 +1000,238.533,28.264,,0.927
Broadmeadow (NSW),2013-01-01 09:00:00 +1000,532.566,30.242,,1.588
Broadmeadow (NSW),2013-01-01 10:00:00 +1000,741.771,32.152,,2.086
Broadmeadow (NSW),2013-01-01 11:00:00 +1000,860.467,33.846,,2.385
Broadmeadow (NSW),2013-01-01 12:00:00 +1000,914.538,32.308,,2.514
Broadmeadow (NSW),2013-01-01 13:00:00 +1000,913.604,27.777,,2.546
Broadmeadow (NSW),2013-01-01 14:00:00 +1000,788.324,28.066,,2.229
Broadmeadow (NSW),2013-01-01 15:00:00 +1000,472.965,27.639,,1.369
Broadmeadow (NSW),2013-01-01 16:00:00 +1000,205.012,27.043,,0.608
Broadmeadow (NSW),2013-01-01 17:00:00 +1000,204.428,29.562,,0.663
Broadmeadow (NSW),2013-01-01 18:00:00 +1000,111.268,30.595,,0.373
Broadmeadow (NSW),2013-01-01 19:00:00 +1000,26.989,28.197,,0.064
Broadmeadow (NSW),2013-01-01 20:00:00 +1000,1.071,26.093,,0.004
Broadmeadow (NSW),2013-01-01 21:00:00 +1000,0.0,25.456,,0.0
Broadmeadow (NSW),2013-01-01 22:00:00 +1000,0.0,24.997,,0.0
Broadmeadow (NSW),2013-01-01 23:00:00 +1000,0.0,24.96,,0.0
Broadmeadow (NSW),2013-01-02 00:00:00 +1000,0.0,24.568,,0.0
Broadmeadow (NSW),2013-01-02 01:00:00 +1000,0.0,23.986,,0.0
Broadmeadow (NSW),2013-01-02 02:00:00 +1000,0.107,23.598,,0.0
Broadmeadow (NSW),2013-01-02 03:00:00 +1000,0.0,21.902,,0.0
Broadmeadow (NSW),2013-01-02 04:00:00 +1000,0.0,21.708,,0.0
Broadmeadow (NSW),2013-01-02 05:00:00 +1000,0.0,21.747,,0.0
Broadmeadow (NSW),2013-01-02 06:00:00 +1000,17.982,21.398,,0.05
Broadmeadow (NSW),2013-01-02 07:00:00 +1000,98.713,21.533,,0.331
Broadmeadow (NSW),2013-01-02 08:00:00 +1000,220.034,22.365,,0.78
Broadmeadow (NSW),2013-01-02 09:00:00 +1000,414.863,22.914,,1.28
Broadmeadow (NSW),2013-01-02 10:00:00 +1000,432.086,22.859,,1.302
Broadmeadow (NSW),2013-01-02 11:00:00 +1000,555.323,23.07,,1.646
Broadmeadow (NSW),2013-01-02 12:00:00 +1000,613.239,23.644,,1.798
Broadmeadow (NSW),2013-01-02 13:00:00 +1000,809.96,24.077,,2.294
Broadmeadow (NSW),2013-01-02 14:00:00 +1000,868.792,24.396,,2.494
Broadmeadow (NSW),2013-01-02 15:00:00 +1000,755.622,24.561,,2.236
Broadmeadow (NSW),2013-01-02 16:00:00 +1000,342.325,23.73,,1.036
Broadmeadow (NSW),2013-01-02 17:00:00 +1000,132.134,22.559,,0.386
Broadmeadow (NSW),2013-01-02 18:00:00 +1000,60.012,22.342,,0.167
Broadmeadow (NSW),2013-01-02 19:00:00 +1000,14.32,21.813,,0.031
