Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Canberra (ACT),2012-12-31 23:00:00 +1000,0.079,18.622,,0.0
Canberra (ACT),2013-01-01 00:00:00 +1000,0.412,14.867,,0.0
Canberra (ACT),2013-01-01 01:00:00 +1000,0.328,13.684,,0.0
Canberra (ACT),2013-01-01 02:00:00 +1000,0.573,12.217,,0.0
Canberra (ACT),2013-01-01 03:00:00 +1000,0.629,11.595,,0.0
Canberra (ACT),2013-01-01 04:00:00 +1000,0.716,10.353,,0.0
Canberra (ACT),2013-01-01 05:00:00 +1000,0.797,9.902,,0.0
Canberra (ACT),2013-01-01 06:00:00 +1000,15.387,9.724,,0.68
Canberra (ACT),2013-01-01 07:00:00 +1000,90.408,15.364,,5.05
Canberra (ACT),2013-01-01 08:00:00 +1000,338.114,24.706,,12.6
Canberra (ACT),2013-01-01 09:00:00 +1000,540.809,29.762,,19.09
Canberra (ACT),2013-01-01 10:00:00 +1000,730.767,29.549,,20.39
Canberra (ACT),2013-01-01 11:00:00 +1000,755.765,29.868,,21.45
Canberra (ACT),2013-01-01 12:00:00 +1000,950.481,32.547,,27.16
Canberra (ACT),2013-01-01 13:00:00 +1000,1231.578,36.409,,29.91
Canberra (ACT),2013-01-01 14:00:00 +1000,1193.852,37.461,,29.09
Canberra (ACT),2013-01-01 15:00:00 +1000,1084.792,38.13,,26.66
Canberra (ACT),2013-01-01 16:00:00 +1000,893.414,35.867,,22.98
Canberra (ACT),2013-01-01 17:00:00 +1000,643.003,34.883,,17.13
Canberra (ACT),2013-01-01 18:00:00 +1000,344.053,33.94,,9.51
Canberra (ACT),2013-01-01 19:00:00 +1000,85.261,30.171,,2.2
Canberra (ACT),2013-01-01 20:00:00 +1000,9.878,26.259,,0.07
Canberra (ACT),2013-01-01 21:00:00 +1000,0.0,22.179,,0.0
Canberra (ACT),2013-01-01 22:00:00 +1000,0.0,18.685,,0.0
Canberra (ACT),2013-01-01 23:00:00 +1000,0.0,17.97,,0.0
Canberra (ACT),2013-01-02 00:00:00 +1000,0.0,16.548,,0.0
Canberra (ACT),2013-01-02 01:00:00 +1000,0.012,15.635,,0.0
Canberra (ACT),2013-01-02 02:00:00 +1000,0.006,18.276,,0.0
Canberra (ACT),2013-01-02 03:00:00 +1000,0.023,16.219,,0.0
Canberra (ACT),2013-01-02 04:00:00 +1000,0.04,14.202,,0.0
Canberra (ACT),2013-01-02 05:00:00 +1000,0.278,12.804,,0.0
Canberra (ACT),2013-01-02 06:00:00 +1000,15.634,12.823,,0.67
Canberra (ACT),2013-01-02 07:00:00 +1000,91.848,17.552,,4.77
Canberra (ACT),2013-01-02 08:00:00 +1000,305.711,23.014,,12.04
Canberra (ACT),2013-01-02 09:00:00 +1000,593.325,28.241,,18.84
Canberra (ACT),2013-01-02 10:00:00 +1000,846.69,32.528,,23.85
Canberra (ACT),2013-01-02 11:00:00 +1000,1043.604,39.031,,26.97
Canberra (ACT),2013-01-02 12:00:00 +1000,1155.889,43.413,,28.28
Canberra (ACT),2013-01-02 13:00:00 +1000,1214.032,44.493,,28.49
Canberra (ACT),2013-01-02 14:00:00 +1000,1182.692,46.771,,27.18
Canberra (ACT),2013-01-02 15:00:00 +1000,902.481,41.085,,21.09
Canberra (ACT),2013-01-02 16:00:00 +1000,803.404,32.592,,22.77
Canberra (ACT),2013-01-02 17:00:00 +1000,652.921,28.118,,17.57
Canberra (ACT),2013-01-02 18:00:00 +1000,409.89,24.943,,11.39
Canberra (ACT),2013-01-02 19:00:00 +1000,107.686,20.052,,2.97
Canberra (ACT),2013-01-02 20:00:00 +1000,14.806,16.125,,0.11
Canberra (ACT),2013-01-02 21:00:00 +1000,0.0,13.986,,0.0
Canberra (ACT),2013-01-02 22:00:00 +1000,0.011,13.181,,0.0
Canberra (ACT),2013-01-02 23:00:00 +1000,0.006,12.607,,0.0
Canberra (ACT),2013-01-03 00:00:00 +1000,0.006,12.759,,0.0
Canberra (ACT),2013-01-03 01:00:00 +1000,0.006,13.643,,0.0
Canberra (ACT),2013-01-03 02:00:00 +1000,0.0,14.0,,0.0
Canberra (ACT),2013-01-03 03:00:00 +1000,0.0,14.085,,0.0
Canberra (ACT),2013-01-03 04:00:00 +1000,0.0,13.875,,0.0
Canberra (ACT),2013-01-03 05:00:00 +1000,0.0,13.405,,0.0
Canberra (ACT),2013-01-03 06:00:00 +1000,9.674,13.407,,0.42
Canberra (ACT),2013-01-03 07:00:00 +1000,79.153,14.921,,3.08
Canberra (ACT),2013-01-03 08:00:00 +1000,253.85,18.66,,9.71
Canberra (ACT),2013-01-03 09:00:00 +1000,580.374,24.844,,18.58
Canberra (ACT),2013-01-03 10:00:00 +1000,847.507,30.639,,23.66
Canberra (ACT),2013-01-03 11:00:00 +1000,1043.716,35.111,,26.74
Canberra (ACT),2013-01-03 12:00:00 +1000,1169.217,39.329,,28.29
Canberra (ACT),2013-01-03 13:00:00 +1000,1216.732,42.422,,28.3
Canberra (ACT),2013-01-03 14:00:00 +1000,1187.608,43.588,,27.34
Canberra (ACT),2013-01-03 15:00:00 +1000,1079.736,42.823,,25.46
Canberra (ACT),2013-01-03 16:00:00 +1000,908.883,40.736,,22.01
Canberra (ACT),2013-01-03 17:00:00 +1000,654.649,38.339,,16.59
Canberra (ACT),2013-01-03 18:00:00 +1000,368.54,34.474,,9.92
Canberra (ACT),2013-01-03 19:00:00 +1000,87.713,30.242,,2.3
Canberra (ACT),2013-01-03 20:00:00 +1000,8.477,25.078,,0.05
Canberra (ACT),2013-01-03 21:00:00 +1000,0.0,22.122,,0.0
Canberra (ACT),2013-01-03 22:00:00 +1000,0.0,19.515,,0.0
Canberra (ACT),2013-01-03 23:00:00 +1000,0.0,18.455,,0.0
Canberra (ACT),2013-01-04 00:00:00 +1000,0.0,17.038,,0.0
Canberra (ACT),2013-01-04 01:00:00 +1000,0.0,15.423,,0.0
Canberra (ACT),2013-01-04 02:00:00 +1000,0.0,14.05,,0.0
Canberra (ACT),2013-01-04 03:00:00 +1000,0.0,13.155,,0.0
Canberra (ACT),2013-01-04 04:00:00 +1000,0.0,12.674,,0.0
Canberra (ACT),2013-01-04 05:00:00 +1000,0.0,12.128,,0.0
Canberra (ACT),2013-01-04 06:00:00 +1000,11.795,12.194,,0.58
Canberra (ACT),2013-01-04 07:00:00 +1000,76.077,16.641,,4.61
Canberra (ACT),2013-01-04 08:00:00 +1000,300.51,25.229,,11.78
Canberra (ACT),2013-01-04 09:00:00 +1000,581.736,33.404,,17.94
Canberra (ACT),2013-01-04 10:00:00 +1000,837.479,41.217,,22.68
Canberra (ACT),2013-01-04 11:00:00 +1000,1035.244,44.058,,26.02
Canberra (ACT),2013-01-04 12:00:00 +1000,1163.439,46.651,,27.66
Canberra (ACT),2013-01-04 13:00:00 +1000,1213.291,47.029,,28.14
Canberra (ACT),2013-01-04 14:00:00 +1000,1185.558,47.575,,27.31
Canberra (ACT),2013-01-04 15:00:00 +1000,1077.439,48.609,,25.0
Canberra (ACT),2013-01-04 16:00:00 +1000,896.279,47.087,,21.53
Canberra (ACT),2013-01-04 17:00:00 +1000,650.02,44.345,,16.47
Canberra (ACT),2013-01-04 18:00:00 +1000,362.854,38.789,,9.84
Canberra (ACT),2013-01-04 19:00:00 +1000,87.193,34.997,,2.32
