Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Chinchilla (QLD),2013-04-22 01:00:00 +1000,0.849,14.008,9.7,
Chinchilla (QLD),2013-04-22 02:00:00 +1000,0.694,13.566,9.7,
Chinchilla (QLD),2013-04-22 03:00:00 +1000,0.783,12.873,8.6,
Chinchilla (QLD),2013-04-22 04:00:00 +1000,0.384,12.631,9.2,
Chinchilla (QLD),2013-04-22 05:00:00 +1000,0.508,12.442,10.1,
Chinchilla (QLD),2013-04-22 06:00:00 +1000,0.654,12.537,12.4,
Chinchilla (QLD),2013-04-22 07:00:00 +1000,4.508,12.558,15.4,
Chinchilla (QLD),2013-04-22 08:00:00 +1000,51.979,14.033,21.7,
Chinchilla (QLD),2013-04-22 09:00:00 +1000,191.689,16.405,24.9,
Chinchilla (QLD),2013-04-22 10:00:00 +1000,424.404,20.285,26.2,
Chinchilla (QLD),2013-04-22 11:00:00 +1000,641.437,23.193,28.5,
Chinchilla (QLD),2013-04-22 12:00:00 +1000,776.469,26.431,29.7,
Chinchilla (QLD),2013-04-22 13:00:00 +1000,836.353,28.646,29.8,
Chinchilla (QLD),2013-04-22 14:00:00 +1000,819.046,30.901,30.4,
Chinchilla (QLD),2013-04-22 15:00:00 +1000,713.622,32.443,30.4,
Chinchilla (QLD),2013-04-22 16:00:00 +1000,541.519,33.033,28.0,
Chinchilla (QLD),2013-04-22 17:00:00 +1000,296.471,33.629,22.6,
Chinchilla (QLD),2013-04-22 18:00:00 +1000,29.047,28.306,19.7,
Chinchilla (QLD),2013-04-22 19:00:00 +1000,0.918,23.635,17.8,
Chinchilla (QLD),2013-04-22 20:00:00 +1000,0.933,20.632,17.1,
Chinchilla (QLD),2013-04-22 21:00:00 +1000,0.982,19.487,16.4,
Chinchilla (QLD),2013-04-22 22:00:00 +1000,0.942,20.229,16.2,
Chinchilla (QLD),2013-04-22 23:00:00 +1000,1.0,19.314,17.7,
Chinchilla (QLD),2013-04-23 01:00:00 +1000,0.96,18.602,19.6,
Chinchilla (QLD),2013-04-23 02:00:00 +1000,0.996,17.598,19.5,
Chinchilla (QLD),2013-04-23 03:00:00 +1000,0.987,17.131,18.8,
Chinchilla (QLD),2013-04-23 04:00:00 +1000,1.0,17.518,18.0,
Chinchilla (QLD),2013-04-23 05:00:00 +1000,1.009,17.506,17.7,
Chinchilla (QLD),2013-04-23 06:00:00 +1000,0.996,16.663,18.9,
Chinchilla (QLD),2013-04-23 07:00:00 +1000,7.131,17.378,21.1,
Chinchilla (QLD),2013-04-23 08:00:00 +1000,47.116,19.0,25.0,
Chinchilla (QLD),2013-04-23 09:00:00 +1000,214.94,21.637,26.6,
Chinchilla (QLD),2013-04-23 10:00:00 +1000,430.978,23.933,28.4,
Chinchilla (QLD),2013-04-23 11:00:00 +1000,634.237,26.944,29.4,
Chinchilla (QLD),2013-04-23 12:00:00 +1000,731.006,29.907,30.0,
Chinchilla (QLD),2013-04-23 13:00:00 +1000,512.092,30.317,30.0,
Chinchilla (QLD),2013-04-23 14:00:00 +1000,535.419,31.109,29.5,
Chinchilla (QLD),2013-04-23 15:00:00 +1000,530.728,32.616,29.9,
Chinchilla (QLD),2013-04-23 16:00:00 +1000,541.01,34.45,27.7,
Chinchilla (QLD),2013-04-23 17:00:00 +1000,188.754,30.845,24.8,
Chinchilla (QLD),2013-04-23 18:00:00 +1000,32.888,27.902,21.1,
Chinchilla (QLD),2013-04-23 19:00:00 +1000,1.027,23.688,17.5,
Chinchilla (QLD),2013-04-23 20:00:00 +1000,1.013,21.71,15.4,
Chinchilla (QLD),2013-04-23 21:00:00 +1000,1.246,20.781,14.1,
Chinchilla (QLD),2013-04-23 22:00:00 +1000,1.534,18.246,13.0,
Chinchilla (QLD),2013-04-23 23:00:00 +1000,1.183,17.205,12.2,
Chinchilla (QLD),2013-04-24 01:00:00 +1000,0.947,14.659,10.0,
Chinchilla (QLD),2013-04-24 02:00:00 +1000,0.987,13.79,9.1,
Chinchilla (QLD),2013-04-24 03:00:00 +1000,0.956,12.702,8.3,
Chinchilla (QLD),2013-04-24 04:00:00 +1000,1.036,11.992,7.6,
Chinchilla (QLD),2013-04-24 05:00:00 +1000,0.938,11.307,6.9,
Chinchilla (QLD),2013-04-24 06:00:00 +1000,0.978,10.43,8.0,
Chinchilla (QLD),2013-04-24 07:00:00 +1000,4.593,10.063,12.9,
Chinchilla (QLD),2013-04-24 08:00:00 +1000,36.128,11.604,19.2,
Chinchilla (QLD),2013-04-24 09:00:00 +1000,183.775,15.701,22.9,
Chinchilla (QLD),2013-04-24 10:00:00 +1000,428.069,19.949,24.6,
Chinchilla (QLD),2013-04-24 11:00:00 +1000,630.163,24.43,26.1,
Chinchilla (QLD),2013-04-24 12:00:00 +1000,765.761,28.126,27.3,
Chinchilla (QLD),2013-04-24 13:00:00 +1000,826.095,30.301,27.7,
Chinchilla (QLD),2013-04-24 14:00:00 +1000,799.809,31.987,27.7,
Chinchilla (QLD),2013-04-24 15:00:00 +1000,706.353,34.347,27.2,
Chinchilla (QLD),2013-04-24 16:00:00 +1000,537.235,35.274,25.6,
Chinchilla (QLD),2013-04-24 17:00:00 +1000,290.576,32.97,22.4,
Chinchilla (QLD),2013-04-24 18:00:00 +1000,33.132,26.055,17.1,
Chinchilla (QLD),2013-04-24 19:00:00 +1000,0.871,21.849,14.8,
Chinchilla (QLD),2013-04-24 20:00:00 +1000,0.89,18.948,13.0,
Chinchilla (QLD),2013-04-24 21:00:00 +1000,0.607,17.998,11.4,
