Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Elizabeth North (SA),2012-06-01 12:00:00 +1000,,,17.4,1.97
Elizabeth North (SA),2012-06-01 13:00:00 +1000,,,17.6,1.36
Elizabeth North (SA),2012-06-01 14:00:00 +1000,,,17.1,0.9
Elizabeth North (SA),2012-06-01 15:00:00 +1000,,,16.8,0.74
Elizabeth North (SA),2012-06-01 16:00:00 +1000,,,16.7,0.49
Elizabeth North (SA),2012-06-01 17:00:00 +1000,,,16.4,0.16
Elizabeth North (SA),2012-06-01 18:00:00 +1000,,,15.5,0.0
Elizabeth North (SA),2012-06-02 08:00:00 +1000,,,14.0,0.12
Elizabeth North (SA),2012-06-02 09:00:00 +1000,,,14.5,0.71
Elizabeth North (SA),2012-06-02 10:00:00 +1000,,,16.1,0.71
Elizabeth North (SA),2012-06-02 11:00:00 +1000,,,17.4,1.44
Elizabeth North (SA),2012-06-02 12:00:00 +1000,,,18.1,1.93
Elizabeth North (SA),2012-06-02 13:00:00 +1000,,,18.0,3.46
Elizabeth North (SA),2012-06-02 14:00:00 +1000,,,18.2,3.61
Elizabeth North (SA),2012-06-02 15:00:00 +1000,,,17.2,2.02
Elizabeth North (SA),2012-06-02 16:00:00 +1000,,,16.0,1.23
Elizabeth North (SA),2012-06-02 17:00:00 +1000,,,14.4,0.21
Elizabeth North (SA),2012-06-02 18:00:00 +1000,,,11.9,0.0
Elizabeth North (SA),2012-06-03 08:00:00 +1000,,,9.5,0.2
Elizabeth North (SA),2012-06-03 09:00:00 +1000,,,11.0,0.64
Elizabeth North (SA),2012-06-03 10:00:00 +1000,,,11.8,1.0
Elizabeth North (SA),2012-06-03 11:00:00 +1000,,,10.6,1.52
Elizabeth North (SA),2012-06-03 12:00:00 +1000,,,10.6,1.21
Elizabeth North (SA),2012-06-03 13:00:00 +1000,,,11.8,2.8
Elizabeth North (SA),2012-06-03 14:00:00 +1000,,,12.5,1.49
Elizabeth North (SA),2012-06-03 15:00:00 +1000,,,12.7,2.17
Elizabeth North (SA),2012-06-03 16:00:00 +1000,,,10.7,0.95
Elizabeth North (SA),2012-06-03 17:00:00 +1000,,,8.0,0.23
Elizabeth North (SA),2012-06-03 18:00:00 +1000,,,8.3,0.0
Elizabeth North (SA),2012-06-04 08:00:00 +1000,,,8.8,0.05
Elizabeth North (SA),2012-06-04 09:00:00 +1000,,,11.2,0.76
Elizabeth North (SA),2012-06-04 10:00:00 +1000,,,12.7,2.89
Elizabeth North (SA),2012-06-04 11:00:00 +1000,,,13.9,3.76
Elizabeth North (SA),2012-06-04 12:00:00 +1000,,,14.0,4.11
Elizabeth North (SA),2012-06-04 13:00:00 +1000,,,12.9,2.5
Elizabeth North (SA),2012-06-04 14:00:00 +1000,,,13.3,0.98
Elizabeth North (SA),2012-06-04 15:00:00 +1000,,,13.1,0.99
Elizabeth North (SA),2012-06-04 16:00:00 +1000,,,12.5,0.73
Elizabeth North (SA),2012-06-04 17:00:00 +1000,,,12.5,0.17
Elizabeth North (SA),2012-06-04 18:00:00 +1000,,,12.5,0.0
Elizabeth North (SA),2012-06-05 08:00:00 +1000,,,12.6,0.12
Elizabeth North (SA),2012-06-05 09:00:00 +1000,,,13.5,0.95
Elizabeth North (SA),2012-06-05 10:00:00 +1000,,,14.0,1.81
Elizabeth North (SA),2012-06-05 11:00:00 +1000,,,14.2,2.34
Elizabeth North (SA),2012-06-05 12:00:00 +1000,,,14.7,2.36
Elizabeth North (SA),2012-06-05 13:00:00 +1000,,,14.5,2.54
Elizabeth North (SA),2012-06-05 14:00:00 +1000,,,14.2,3.23
Elizabeth North (SA),2012-06-05 15:00:00 +1000,,,14.2,3.21
Elizabeth North (SA),2012-06-05 16:00:00 +1000,,,13.6,0.98
Elizabeth North (SA),2012-06-05 17:00:00 +1000,,,13.1,0.21
Elizabeth North (SA),2012-06-05 18:00:00 +1000,,,13.0,0.0
Elizabeth North (SA),2012-06-06 08:00:00 +1000,,,10.1,0.16
Elizabeth North (SA),2012-06-06 09:00:00 +1000,,,12.6,0.83
Elizabeth North (SA),2012-06-06 10:00:00 +1000,,,13.5,2.06
Elizabeth North (SA),2012-06-06 11:00:00 +1000,,,13.8,2.36
Elizabeth North (SA),2012-06-06 12:00:00 +1000,,,14.7,2.39
Elizabeth North (SA),2012-06-06 13:00:00 +1000,,,14.0,2.63
Elizabeth North (SA),2012-06-06 14:00:00 +1000,,,14.0,3.21
Elizabeth North (SA),2012-06-06 15:00:00 +1000,,,13.9,2.57
Elizabeth North (SA),2012-06-06 16:00:00 +1000,,,12.2,1.21
Elizabeth North (SA),2012-06-06 17:00:00 +1000,,,11.5,0.28
Elizabeth North (SA),2012-06-06 18:00:00 +1000,,,10.8,0.0
Elizabeth North (SA),2012-06-07 08:00:00 +1000,,,10.0,0.09
Elizabeth North (SA),2012-06-07 09:00:00 +1000,,,10.9,0.88
Elizabeth North (SA),2012-06-07 10:00:00 +1000,,,11.3,2.17
Elizabeth North (SA),2012-06-07 11:00:00 +1000,,,12.8,2.98
Elizabeth North (SA),2012-06-07 12:00:00 +1000,,,13.0,3.96
Elizabeth North (SA),2012-06-07 13:00:00 +1000,,,13.2,4.19
