Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Goodwood (SA),2013-05-22 15:00:00 +1000,142.829,0.0,14.3,
Goodwood (SA),2013-05-22 16:00:00 +1000,154.912,0.0,13.6,
Goodwood (SA),2013-05-22 17:00:00 +1000,105.77,0.0,12.6,
Goodwood (SA),2013-05-22 18:00:00 +1000,7.716,0.0,12.4,
Goodwood (SA),2013-05-22 19:00:00 +1000,1.207,0.0,12.3,
Goodwood (SA),2013-05-22 20:00:00 +1000,1.281,0.0,11.9,
Goodwood (SA),2013-05-22 21:00:00 +1000,1.105,0.0,12.0,
Goodwood (SA),2013-05-22 22:00:00 +1000,1.074,0.0,12.1,
Goodwood (SA),2013-05-22 23:00:00 +1000,1.3,0.0,12.1,
Goodwood (SA),2013-05-23 01:00:00 +1000,1.406,0.0,12.3,
Goodwood (SA),2013-05-23 02:00:00 +1000,1.226,0.0,11.9,
Goodwood (SA),2013-05-23 03:00:00 +1000,1.4,0.0,11.6,
Goodwood (SA),2013-05-23 04:00:00 +1000,1.013,0.0,10.7,
Goodwood (SA),2013-05-23 05:00:00 +1000,1.54,0.0,9.6,
Goodwood (SA),2013-05-23 06:00:00 +1000,1.312,0.0,9.1,
Goodwood (SA),2013-05-23 07:00:00 +1000,1.474,0.0,9.4,
Goodwood (SA),2013-05-23 08:00:00 +1000,9.338,0.0,13.9,
Goodwood (SA),2013-05-23 09:00:00 +1000,56.693,0.0,16.0,
Goodwood (SA),2013-05-23 10:00:00 +1000,250.842,0.0,17.0,
Goodwood (SA),2013-05-23 11:00:00 +1000,448.967,0.0,17.5,
Goodwood (SA),2013-05-23 12:00:00 +1000,530.384,0.0,18.1,
Goodwood (SA),2013-05-23 13:00:00 +1000,553.208,0.0,17.9,
Goodwood (SA),2013-05-23 14:00:00 +1000,521.937,0.0,17.6,
Goodwood (SA),2013-05-23 15:00:00 +1000,419.597,0.0,17.0,
Goodwood (SA),2013-05-23 16:00:00 +1000,265.777,0.0,15.1,
