Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Hamilton (WA),2013-02-20 15:00:00 +1000,714.571,31.223,39.2,
Hamilton (WA),2013-02-20 16:00:00 +1000,472.587,29.603,39.4,
Hamilton (WA),2013-02-20 17:00:00 +1000,219.607,27.478,37.7,1.544
Hamilton (WA),2013-02-20 18:00:00 +1000,51.187,26.428,37.6,0.312
Hamilton (WA),2013-02-20 19:00:00 +1000,3.936,25.463,35.4,0.014
Hamilton (WA),2013-02-20 20:00:00 +1000,0.631,24.767,32.1,
Hamilton (WA),2013-02-20 21:00:00 +1000,0.731,23.084,30.3,
Hamilton (WA),2013-02-20 22:00:00 +1000,0.596,24.487,28.6,
Hamilton (WA),2013-02-21 00:00:00 +1000,0.338,23.989,26.7,
Hamilton (WA),2013-02-21 01:00:00 +1000,0.187,23.493,26.8,
Hamilton (WA),2013-02-21 02:00:00 +1000,0.358,24.038,28.9,
Hamilton (WA),2013-02-21 03:00:00 +1000,0.051,24.092,29.6,
Hamilton (WA),2013-02-21 04:00:00 +1000,0.275,23.223,28.8,
Hamilton (WA),2013-02-21 05:00:00 +1000,0.245,22.554,29.6,
Hamilton (WA),2013-02-21 06:00:00 +1000,17.855,22.544,29.1,0.055
Hamilton (WA),2013-02-21 07:00:00 +1000,134.457,24.997,25.3,0.434
Hamilton (WA),2013-02-21 08:00:00 +1000,419.755,28.351,25.9,2.481
Hamilton (WA),2013-02-21 09:00:00 +1000,666.957,31.392,24.2,4.098
Hamilton (WA),2013-02-21 10:00:00 +1000,885.162,34.972,29.1,5.057
Hamilton (WA),2013-02-21 11:00:00 +1000,918.732,37.256,33.3,5.092
Hamilton (WA),2013-02-21 12:00:00 +1000,884.01,39.143,36.1,4.8
Hamilton (WA),2013-02-21 13:00:00 +1000,1124.12,40.056,38.2,5.793
Hamilton (WA),2013-02-21 14:00:00 +1000,1008.544,40.431,38.3,5.298
Hamilton (WA),2013-02-21 15:00:00 +1000,646.986,38.836,39.3,3.632
Hamilton (WA),2013-02-21 16:00:00 +1000,533.793,38.299,38.2,3.236
Hamilton (WA),2013-02-21 17:00:00 +1000,250.847,37.335,35.7,1.611
Hamilton (WA),2013-02-21 18:00:00 +1000,63.26,34.833,34.3,0.357
Hamilton (WA),2013-02-21 19:00:00 +1000,2.084,32.582,30.7,0.0
Hamilton (WA),2013-02-21 20:00:00 +1000,0.046,28.999,28.3,
Hamilton (WA),2013-02-21 21:00:00 +1000,0.177,28.135,26.6,
Hamilton (WA),2013-02-21 22:00:00 +1000,0.245,28.116,25.2,
Hamilton (WA),2013-02-22 00:00:00 +1000,0.053,28.064,22.6,
Hamilton (WA),2013-02-22 01:00:00 +1000,0.137,28.057,24.4,
Hamilton (WA),2013-02-22 02:00:00 +1000,0.443,28.983,23.5,
Hamilton (WA),2013-02-22 03:00:00 +1000,0.456,29.513,23.8,
Hamilton (WA),2013-02-22 04:00:00 +1000,0.449,29.396,23.0,
Hamilton (WA),2013-02-22 05:00:00 +1000,0.578,27.965,22.7,
Hamilton (WA),2013-02-22 06:00:00 +1000,9.597,26.308,22.3,0.058
Hamilton (WA),2013-02-22 07:00:00 +1000,75.339,26.65,22.7,0.444
Hamilton (WA),2013-02-22 08:00:00 +1000,55.045,26.39,23.5,0.291
Hamilton (WA),2013-02-22 09:00:00 +1000,369.175,29.042,24.7,2.28
Hamilton (WA),2013-02-22 10:00:00 +1000,475.276,31.944,25.1,2.857
Hamilton (WA),2013-02-22 11:00:00 +1000,968.099,36.169,24.7,5.344
Hamilton (WA),2013-02-22 12:00:00 +1000,1148.186,38.743,25.1,6.055
Hamilton (WA),2013-02-22 13:00:00 +1000,1027.101,41.076,25.9,5.329
