Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Koroit (VIC),2012-01-01 00:00:00 +1000,0.0,16.795,14.4,
Koroit (VIC),2012-01-01 01:00:00 +1000,0.0,14.49,11.9,
Koroit (VIC),2012-01-01 02:00:00 +1000,0.0,14.621,10.7,
Koroit (VIC),2012-01-01 03:00:00 +1000,0.0,16.247,12.3,
Koroit (VIC),2012-01-01 04:00:00 +1000,0.0,15.276,10.5,
Koroit (VIC),2012-01-01 05:00:00 +1000,0.0,14.815,12.2,
Koroit (VIC),2012-01-01 06:00:00 +1000,12.397,14.663,10.0,0.0
Koroit (VIC),2012-01-01 07:00:00 +1000,59.28,18.505,12.9,0.02
Koroit (VIC),2012-01-01 08:00:00 +1000,217.187,19.457,17.3,0.27
Koroit (VIC),2012-01-01 09:00:00 +1000,450.63,22.576,20.8,0.76
Koroit (VIC),2012-01-01 10:00:00 +1000,599.888,21.344,25.5,1.14
Koroit (VIC),2012-01-01 11:00:00 +1000,715.352,23.008,27.0,1.36
Koroit (VIC),2012-01-01 12:00:00 +1000,747.721,23.4,27.1,1.47
Koroit (VIC),2012-01-01 13:00:00 +1000,770.42,24.134,27.3,1.51
Koroit (VIC),2012-01-01 14:00:00 +1000,700.917,25.119,28.1,1.44
Koroit (VIC),2012-01-01 15:00:00 +1000,576.62,24.522,29.0,1.26
Koroit (VIC),2012-01-01 16:00:00 +1000,466.772,25.572,28.3,0.98
Koroit (VIC),2012-01-01 17:00:00 +1000,178.648,25.999,29.7,0.59
Koroit (VIC),2012-01-01 18:00:00 +1000,58.667,24.652,28.8,0.2
Koroit (VIC),2012-01-01 19:00:00 +1000,36.5,23.878,27.5,0.05
Koroit (VIC),2012-01-01 20:00:00 +1000,3.0,21.226,24.5,0.01
Koroit (VIC),2012-01-01 21:00:00 +1000,0.0,19.823,18.5,
Koroit (VIC),2012-01-01 22:00:00 +1000,0.0,18.876,16.2,
Koroit (VIC),2012-01-02 00:00:00 +1000,0.0,20.782,21.5,
Koroit (VIC),2012-01-02 01:00:00 +1000,0.0,20.53,20.8,
Koroit (VIC),2012-01-02 02:00:00 +1000,0.0,20.146,21.1,
Koroit (VIC),2012-01-02 03:00:00 +1000,0.0,19.908,18.9,
Koroit (VIC),2012-01-02 04:00:00 +1000,0.0,19.031,18.3,
Koroit (VIC),2012-01-02 05:00:00 +1000,0.0,18.53,18.1,
Koroit (VIC),2012-01-02 06:00:00 +1000,32.402,19.412,17.5,0.0
Koroit (VIC),2012-01-02 07:00:00 +1000,110.716,23.815,20.3,0.12
Koroit (VIC),2012-01-02 08:00:00 +1000,163.404,28.519,24.8,0.31
Koroit (VIC),2012-01-02 09:00:00 +1000,342.512,31.44,33.2,0.75
Koroit (VIC),2012-01-02 10:00:00 +1000,584.509,34.207,35.3,1.11
Koroit (VIC),2012-01-02 11:00:00 +1000,714.569,36.189,37.0,1.32
Koroit (VIC),2012-01-02 12:00:00 +1000,771.349,37.739,38.8,1.49
Koroit (VIC),2012-01-02 13:00:00 +1000,743.55,38.919,39.9,1.47
Koroit (VIC),2012-01-02 14:00:00 +1000,690.413,39.428,41.1,1.42
Koroit (VIC),2012-01-02 15:00:00 +1000,361.22,40.04,41.8,1.02
Koroit (VIC),2012-01-02 16:00:00 +1000,262.706,32.94,41.8,0.77
Koroit (VIC),2012-01-02 17:00:00 +1000,140.576,31.718,33.2,0.28
Koroit (VIC),2012-01-02 18:00:00 +1000,71.294,30.27,26.8,0.17
Koroit (VIC),2012-01-02 19:00:00 +1000,56.037,27.234,26.9,0.11
Koroit (VIC),2012-01-02 20:00:00 +1000,2.014,25.04,25.2,0.02
