Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Maffra (VIC),2013-06-12 13:00:00 +1000,24.401,0.0,11.0,
Maffra (VIC),2013-06-12 14:00:00 +1000,45.531,0.0,10.9,
Maffra (VIC),2013-06-12 15:00:00 +1000,49.213,0.0,10.6,
Maffra (VIC),2013-06-12 16:00:00 +1000,35.9,0.0,9.9,
Maffra (VIC),2013-06-12 17:00:00 +1000,14.018,0.0,9.7,
Maffra (VIC),2013-06-12 18:00:00 +1000,0.691,0.0,9.7,
Maffra (VIC),2013-06-12 19:00:00 +1000,0.646,0.0,9.7,
Maffra (VIC),2013-06-12 20:00:00 +1000,0.595,0.0,9.7,
Maffra (VIC),2013-06-12 21:00:00 +1000,0.359,0.0,9.8,
Maffra (VIC),2013-06-12 22:00:00 +1000,0.662,0.0,10.7,
Maffra (VIC),2013-06-12 23:00:00 +1000,0.715,0.0,12.0,
Maffra (VIC),2013-06-13 01:00:00 +1000,0.317,0.0,12.7,
Maffra (VIC),2013-06-13 02:00:00 +1000,0.779,0.0,12.0,
Maffra (VIC),2013-06-13 03:00:00 +1000,0.716,0.0,10.6,
Maffra (VIC),2013-06-13 04:00:00 +1000,0.854,0.0,10.8,
Maffra (VIC),2013-06-13 05:00:00 +1000,0.792,0.0,11.7,
Maffra (VIC),2013-06-13 06:00:00 +1000,0.844,0.0,11.4,
Maffra (VIC),2013-06-13 07:00:00 +1000,0.794,0.0,10.9,
Maffra (VIC),2013-06-13 08:00:00 +1000,1.138,0.0,10.9,
Maffra (VIC),2013-06-13 09:00:00 +1000,7.304,0.0,11.7,
Maffra (VIC),2013-06-13 10:00:00 +1000,12.653,0.0,12.7,
Maffra (VIC),2013-06-13 11:00:00 +1000,10.32,0.0,0.0,
Maffra (VIC),2013-06-13 12:00:00 +1000,21.187,0.0,12.5,
Maffra (VIC),2013-06-13 13:00:00 +1000,23.411,0.0,13.0,
Maffra (VIC),2013-06-13 14:00:00 +1000,21.27,0.0,12.8,
Maffra (VIC),2013-06-13 15:00:00 +1000,15.024,0.0,12.6,
Maffra (VIC),2013-06-13 16:00:00 +1000,11.97,0.0,12.5,
Maffra (VIC),2013-06-13 17:00:00 +1000,4.465,0.0,12.9,
Maffra (VIC),2013-06-13 18:00:00 +1000,0.769,0.0,12.2,
Maffra (VIC),2013-06-13 19:00:00 +1000,0.214,0.0,11.9,
Maffra (VIC),2013-06-13 20:00:00 +1000,0.384,0.0,11.4,
Maffra (VIC),2013-06-13 21:00:00 +1000,0.176,0.0,12.3,
Maffra (VIC),2013-06-13 22:00:00 +1000,0.162,0.0,11.7,
Maffra (VIC),2013-06-13 23:00:00 +1000,0.185,0.0,11.5,
Maffra (VIC),2013-06-14 01:00:00 +1000,0.026,0.0,12.3,
Maffra (VIC),2013-06-14 02:00:00 +1000,0.06,0.0,12.2,
Maffra (VIC),2013-06-14 03:00:00 +1000,0.206,0.0,11.7,
Maffra (VIC),2013-06-14 04:00:00 +1000,0.001,0.0,11.5,
Maffra (VIC),2013-06-14 05:00:00 +1000,0.018,0.0,11.1,
Maffra (VIC),2013-06-14 06:00:00 +1000,0.291,0.0,11.2,
Maffra (VIC),2013-06-14 07:00:00 +1000,0.059,0.0,10.8,
Maffra (VIC),2013-06-14 08:00:00 +1000,0.801,0.0,10.7,
Maffra (VIC),2013-06-14 09:00:00 +1000,10.944,0.0,10.8,
Maffra (VIC),2013-06-14 10:00:00 +1000,26.544,0.0,11.2,
Maffra (VIC),2013-06-14 11:00:00 +1000,31.922,0.0,10.4,
Maffra (VIC),2013-06-14 12:00:00 +1000,63.685,0.0,10.2,
Maffra (VIC),2013-06-14 13:00:00 +1000,50.623,0.0,10.8,
Maffra (VIC),2013-06-14 14:00:00 +1000,43.463,0.0,10.8,
Maffra (VIC),2013-06-14 15:00:00 +1000,54.71,0.0,10.3,
Maffra (VIC),2013-06-14 16:00:00 +1000,32.578,0.0,10.2,
Maffra (VIC),2013-06-14 17:00:00 +1000,10.746,0.0,10.4,
Maffra (VIC),2013-06-14 18:00:00 +1000,1.241,0.0,10.2,
Maffra (VIC),2013-06-14 19:00:00 +1000,0.98,0.0,9.7,
Maffra (VIC),2013-06-14 20:00:00 +1000,0.834,0.0,9.4,
Maffra (VIC),2013-06-14 21:00:00 +1000,0.962,0.0,9.3,
Maffra (VIC),2013-06-14 22:00:00 +1000,1.0,0.0,8.6,
Maffra (VIC),2013-06-14 23:00:00 +1000,1.0,0.0,9.0,
Maffra (VIC),2013-06-15 01:00:00 +1000,1.0,0.0,8.6,
Maffra (VIC),2013-06-15 02:00:00 +1000,1.283,0.0,7.8,
Maffra (VIC),2013-06-15 03:00:00 +1000,1.0,0.0,7.8,
Maffra (VIC),2013-06-15 04:00:00 +1000,1.0,0.0,7.2,
