Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Merriwa (WA),2013-01-30 15:00:00 +1000,0.0,25.299,32.4,7.25
Merriwa (WA),2013-01-30 16:00:00 +1000,0.082,25.294,30.2,6.18
Merriwa (WA),2013-01-30 17:00:00 +1000,0.103,24.914,29.6,3.75
Merriwa (WA),2013-01-30 18:00:00 +1000,0.64,24.177,28.2,1.21
Merriwa (WA),2013-01-30 19:00:00 +1000,0.043,23.574,25.8,0.08
Merriwa (WA),2013-01-30 20:00:00 +1000,0.026,23.648,24.3,
Merriwa (WA),2013-01-30 21:00:00 +1000,0.009,23.661,23.7,
Merriwa (WA),2013-01-30 22:00:00 +1000,0.115,23.166,22.7,
Merriwa (WA),2013-01-31 00:00:00 +1000,0.091,22.912,21.1,
Merriwa (WA),2013-01-31 01:00:00 +1000,0.208,24.11,24.8,
Merriwa (WA),2013-01-31 02:00:00 +1000,0.185,23.074,23.2,
Merriwa (WA),2013-01-31 03:00:00 +1000,0.522,21.83,21.4,
Merriwa (WA),2013-01-31 04:00:00 +1000,0.17,20.399,19.5,
Merriwa (WA),2013-01-31 05:00:00 +1000,0.037,19.058,18.3,0.0
Merriwa (WA),2013-01-31 06:00:00 +1000,0.016,18.678,17.6,0.19
Merriwa (WA),2013-01-31 07:00:00 +1000,0.164,19.932,18.4,0.93
Merriwa (WA),2013-01-31 08:00:00 +1000,0.068,21.602,20.2,3.45
Merriwa (WA),2013-01-31 09:00:00 +1000,0.172,23.59,22.4,5.95
Merriwa (WA),2013-01-31 10:00:00 +1000,0.06,25.807,24.6,7.74
Merriwa (WA),2013-01-31 11:00:00 +1000,0.0,27.791,27.1,8.83
Merriwa (WA),2013-01-31 12:00:00 +1000,0.0,29.544,29.4,9.25
Merriwa (WA),2013-01-31 13:00:00 +1000,0.0,31.208,31.2,9.12
Merriwa (WA),2013-01-31 14:00:00 +1000,0.0,32.408,33.7,8.51
Merriwa (WA),2013-01-31 15:00:00 +1000,0.002,32.27,34.4,7.45
Merriwa (WA),2013-01-31 16:00:00 +1000,0.177,28.737,34.6,6.13
Merriwa (WA),2013-01-31 17:00:00 +1000,0.496,27.619,34.4,4.18
Merriwa (WA),2013-01-31 18:00:00 +1000,0.594,28.413,33.4,1.29
Merriwa (WA),2013-01-31 19:00:00 +1000,0.989,29.559,31.5,0.07
Merriwa (WA),2013-01-31 20:00:00 +1000,0.834,27.914,28.5,
Merriwa (WA),2013-01-31 21:00:00 +1000,0.301,26.589,27.1,
Merriwa (WA),2013-01-31 22:00:00 +1000,0.103,25.908,26.8,
Merriwa (WA),2013-02-01 00:00:00 +1000,0.351,24.668,25.4,
Merriwa (WA),2013-02-01 01:00:00 +1000,0.295,23.672,23.8,
Merriwa (WA),2013-02-01 02:00:00 +1000,0.035,22.39,22.5,
Merriwa (WA),2013-02-01 03:00:00 +1000,0.292,21.313,21.1,
Merriwa (WA),2013-02-01 04:00:00 +1000,0.477,20.417,20.0,
Merriwa (WA),2013-02-01 05:00:00 +1000,0.494,19.565,19.2,0.0
Merriwa (WA),2013-02-01 06:00:00 +1000,0.297,19.423,18.6,0.18
Merriwa (WA),2013-02-01 07:00:00 +1000,0.113,21.229,19.9,0.91
Merriwa (WA),2013-02-01 08:00:00 +1000,0.525,22.949,22.5,3.35
Merriwa (WA),2013-02-01 09:00:00 +1000,0.388,25.758,25.3,5.77
Merriwa (WA),2013-02-01 10:00:00 +1000,0.429,27.94,27.9,7.57
Merriwa (WA),2013-02-01 11:00:00 +1000,0.609,29.985,30.1,8.47
Merriwa (WA),2013-02-01 12:00:00 +1000,0.796,31.227,33.9,8.9
Merriwa (WA),2013-02-01 13:00:00 +1000,0.576,32.69,34.4,8.78
Merriwa (WA),2013-02-01 14:00:00 +1000,0.283,31.455,35.0,8.54
Merriwa (WA),2013-02-01 15:00:00 +1000,0.136,29.531,35.6,7.76
Merriwa (WA),2013-02-01 16:00:00 +1000,0.088,28.481,36.2,6.06
Merriwa (WA),2013-02-01 17:00:00 +1000,0.068,27.375,35.8,3.74
Merriwa (WA),2013-02-01 18:00:00 +1000,0.192,26.124,33.5,1.22
Merriwa (WA),2013-02-01 19:00:00 +1000,0.06,25.322,30.2,0.08
Merriwa (WA),2013-02-01 20:00:00 +1000,0.172,24.364,27.5,
Merriwa (WA),2013-02-01 21:00:00 +1000,0.059,23.982,25.8,
Merriwa (WA),2013-02-01 22:00:00 +1000,0.164,23.704,23.8,
Merriwa (WA),2013-02-02 00:00:00 +1000,0.033,23.296,20.2,
Merriwa (WA),2013-02-02 01:00:00 +1000,0.007,22.307,18.5,
Merriwa (WA),2013-02-02 02:00:00 +1000,0.04,21.472,19.5,
Merriwa (WA),2013-02-02 03:00:00 +1000,0.0,20.912,17.4,
Merriwa (WA),2013-02-02 04:00:00 +1000,0.0,20.422,19.9,
Merriwa (WA),2013-02-02 05:00:00 +1000,0.005,20.194,20.9,0.0
Merriwa (WA),2013-02-02 06:00:00 +1000,0.0,20.773,21.7,0.18
Merriwa (WA),2013-02-02 07:00:00 +1000,0.0,23.774,24.4,0.88
Merriwa (WA),2013-02-02 08:00:00 +1000,0.004,26.857,28.4,3.24
Merriwa (WA),2013-02-02 09:00:00 +1000,0.002,29.516,31.3,5.57
Merriwa (WA),2013-02-02 10:00:00 +1000,0.08,30.639,33.5,7.21
Merriwa (WA),2013-02-02 11:00:00 +1000,0.066,31.539,34.8,8.2
Merriwa (WA),2013-02-02 12:00:00 +1000,0.004,32.902,35.6,9.01
Merriwa (WA),2013-02-02 13:00:00 +1000,0.002,33.028,36.8,9.11
Merriwa (WA),2013-02-02 14:00:00 +1000,0.008,33.145,37.9,8.64
Merriwa (WA),2013-02-02 15:00:00 +1000,0.0,32.963,37.4,7.59
Merriwa (WA),2013-02-02 16:00:00 +1000,0.0,30.301,37.2,6.05
Merriwa (WA),2013-02-02 17:00:00 +1000,0.0,29.666,34.9,3.74
Merriwa (WA),2013-02-02 18:00:00 +1000,0.0,28.094,32.8,1.24
Merriwa (WA),2013-02-02 19:00:00 +1000,0.0,26.642,30.7,0.07
Merriwa (WA),2013-02-02 20:00:00 +1000,0.009,25.589,27.6,
Merriwa (WA),2013-02-02 21:00:00 +1000,0.005,25.249,25.6,
Merriwa (WA),2013-02-02 22:00:00 +1000,0.002,25.766,24.7,
Merriwa (WA),2013-02-03 00:00:00 +1000,0.023,24.487,20.7,
Merriwa (WA),2013-02-03 01:00:00 +1000,0.037,23.75,18.8,
Merriwa (WA),2013-02-03 02:00:00 +1000,0.213,22.972,17.5,
Merriwa (WA),2013-02-03 03:00:00 +1000,0.063,22.021,15.6,
Merriwa (WA),2013-02-03 04:00:00 +1000,0.056,21.223,15.0,
Merriwa (WA),2013-02-03 05:00:00 +1000,0.308,20.878,14.6,0.0
Merriwa (WA),2013-02-03 06:00:00 +1000,0.06,21.214,14.3,0.17
Merriwa (WA),2013-02-03 07:00:00 +1000,0.028,23.623,21.4,0.86
Merriwa (WA),2013-02-03 08:00:00 +1000,0.165,27.164,28.3,3.2
Merriwa (WA),2013-02-03 09:00:00 +1000,0.203,29.14,32.3,5.49
Merriwa (WA),2013-02-03 10:00:00 +1000,0.39,29.46,34.5,7.23
Merriwa (WA),2013-02-03 11:00:00 +1000,0.292,28.56,36.5,8.55
Merriwa (WA),2013-02-03 12:00:00 +1000,0.113,28.818,38.1,9.23
Merriwa (WA),2013-02-03 13:00:00 +1000,0.09,29.305,36.9,9.33
Merriwa (WA),2013-02-03 14:00:00 +1000,0.396,28.719,35.8,8.96
Merriwa (WA),2013-02-03 15:00:00 +1000,0.387,27.676,34.0,7.97
Merriwa (WA),2013-02-03 16:00:00 +1000,0.04,27.841,32.6,6.16
Merriwa (WA),2013-02-03 17:00:00 +1000,0.143,27.965,32.1,3.83
Merriwa (WA),2013-02-03 18:00:00 +1000,0.198,26.448,30.0,1.26
Merriwa (WA),2013-02-03 19:00:00 +1000,0.152,25.038,27.9,0.07
Merriwa (WA),2013-02-03 20:00:00 +1000,0.014,25.296,24.5,
Merriwa (WA),2013-02-03 21:00:00 +1000,0.014,25.166,21.8,
Merriwa (WA),2013-02-03 22:00:00 +1000,0.005,24.638,20.7,
Merriwa (WA),2013-02-04 00:00:00 +1000,0.016,23.978,18.1,
Merriwa (WA),2013-02-04 01:00:00 +1000,0.007,23.484,18.1,
Merriwa (WA),2013-02-04 02:00:00 +1000,0.0,22.537,18.8,
Merriwa (WA),2013-02-04 03:00:00 +1000,0.0,22.312,19.5,
Merriwa (WA),2013-02-04 04:00:00 +1000,0.0,22.524,20.2,
