Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Rutherford (NSW),2012-01-01 00:00:00 +1000,0.957,17.098,14.3,
Rutherford (NSW),2012-01-01 01:00:00 +1000,1.0,16.147,13.2,
Rutherford (NSW),2012-01-01 02:00:00 +1000,1.0,15.623,12.7,
Rutherford (NSW),2012-01-01 03:00:00 +1000,1.0,14.945,12.0,
Rutherford (NSW),2012-01-01 04:00:00 +1000,1.0,14.033,11.3,
Rutherford (NSW),2012-01-01 05:00:00 +1000,3.784,13.928,10.9,0.0
Rutherford (NSW),2012-01-01 06:00:00 +1000,37.588,15.152,10.2,0.05
Rutherford (NSW),2012-01-01 07:00:00 +1000,199.804,16.985,11.4,0.35
Rutherford (NSW),2012-01-01 08:00:00 +1000,430.006,20.89,15.1,0.75
Rutherford (NSW),2012-01-01 09:00:00 +1000,629.006,23.71,18.0,1.07
Rutherford (NSW),2012-01-01 10:00:00 +1000,785.158,27.336,20.8,1.32
Rutherford (NSW),2012-01-01 11:00:00 +1000,873.673,29.805,22.8,1.4
Rutherford (NSW),2012-01-01 12:00:00 +1000,910.146,32.041,24.5,1.47
Rutherford (NSW),2012-01-01 13:00:00 +1000,906.394,32.668,25.6,1.46
Rutherford (NSW),2012-01-01 14:00:00 +1000,823.006,33.801,26.6,1.36
Rutherford (NSW),2012-01-01 15:00:00 +1000,697.241,32.529,28.0,1.18
Rutherford (NSW),2012-01-01 16:00:00 +1000,518.316,30.434,28.4,1.02
Rutherford (NSW),2012-01-01 17:00:00 +1000,301.7,28.512,28.2,0.7
Rutherford (NSW),2012-01-01 18:00:00 +1000,92.276,26.36,26.6,0.12
Rutherford (NSW),2012-01-01 19:00:00 +1000,26.136,24.436,25.2,0.0
Rutherford (NSW),2012-01-01 20:00:00 +1000,1.074,22.149,22.8,0.0
Rutherford (NSW),2012-01-01 21:00:00 +1000,1.0,20.726,21.5,
Rutherford (NSW),2012-01-01 22:00:00 +1000,1.029,19.578,20.2,
Rutherford (NSW),2012-01-02 00:00:00 +1000,1.01,18.488,19.9,
Rutherford (NSW),2012-01-02 01:00:00 +1000,1.0,17.983,16.6,
Rutherford (NSW),2012-01-02 02:00:00 +1000,1.0,17.322,15.8,
Rutherford (NSW),2012-01-02 03:00:00 +1000,1.0,16.93,14.0,
Rutherford (NSW),2012-01-02 04:00:00 +1000,1.159,16.752,14.2,
Rutherford (NSW),2012-01-02 05:00:00 +1000,4.062,16.093,13.2,0.0
Rutherford (NSW),2012-01-02 06:00:00 +1000,38.462,16.97,13.0,0.05
Rutherford (NSW),2012-01-02 07:00:00 +1000,198.795,19.163,14.3,0.33
Rutherford (NSW),2012-01-02 08:00:00 +1000,427.292,21.776,17.7,0.73
Rutherford (NSW),2012-01-02 09:00:00 +1000,555.829,24.117,20.2,0.93
Rutherford (NSW),2012-01-02 10:00:00 +1000,780.023,28.248,23.0,1.3
Rutherford (NSW),2012-01-02 11:00:00 +1000,871.865,30.495,24.7,1.42
Rutherford (NSW),2012-01-02 12:00:00 +1000,911.368,31.788,26.4,1.47
Rutherford (NSW),2012-01-02 13:00:00 +1000,888.767,34.252,27.0,1.42
Rutherford (NSW),2012-01-02 14:00:00 +1000,839.468,34.246,28.8,1.37
Rutherford (NSW),2012-01-02 15:00:00 +1000,737.161,34.118,29.2,1.22
Rutherford (NSW),2012-01-02 16:00:00 +1000,609.348,31.688,29.3,0.92
Rutherford (NSW),2012-01-02 17:00:00 +1000,299.31,28.708,28.1,0.54
Rutherford (NSW),2012-01-02 18:00:00 +1000,91.807,26.792,27.6,0.11
Rutherford (NSW),2012-01-02 19:00:00 +1000,6.784,25.141,26.0,0.01
Rutherford (NSW),2012-01-02 20:00:00 +1000,1.0,23.269,24.3,0.0
Rutherford (NSW),2012-01-02 21:00:00 +1000,0.971,22.113,23.0,
Rutherford (NSW),2012-01-02 22:00:00 +1000,0.942,21.313,21.8,
Rutherford (NSW),2012-01-03 00:00:00 +1000,0.988,19.846,20.5,
Rutherford (NSW),2012-01-03 01:00:00 +1000,1.0,18.809,19.6,
Rutherford (NSW),2012-01-03 02:00:00 +1000,1.0,18.759,18.9,
Rutherford (NSW),2012-01-03 03:00:00 +1000,1.0,17.883,17.4,
Rutherford (NSW),2012-01-03 04:00:00 +1000,0.977,17.493,16.1,
Rutherford (NSW),2012-01-03 05:00:00 +1000,1.578,17.084,14.5,0.0
Rutherford (NSW),2012-01-03 06:00:00 +1000,35.76,18.195,14.1,0.05
Rutherford (NSW),2012-01-03 07:00:00 +1000,198.848,19.48,15.9,0.33
Rutherford (NSW),2012-01-03 08:00:00 +1000,424.368,21.901,18.5,0.72
Rutherford (NSW),2012-01-03 09:00:00 +1000,547.286,24.358,21.5,0.91
Rutherford (NSW),2012-01-03 10:00:00 +1000,717.505,27.855,24.0,1.18
Rutherford (NSW),2012-01-03 11:00:00 +1000,863.065,31.433,25.0,1.4
Rutherford (NSW),2012-01-03 12:00:00 +1000,902.253,33.454,26.9,1.45
Rutherford (NSW),2012-01-03 13:00:00 +1000,896.391,35.115,28.4,1.43
Rutherford (NSW),2012-01-03 14:00:00 +1000,816.152,35.46,29.8,1.33
Rutherford (NSW),2012-01-03 15:00:00 +1000,688.042,36.184,30.0,1.15
Rutherford (NSW),2012-01-03 16:00:00 +1000,509.541,34.553,31.0,0.88
Rutherford (NSW),2012-01-03 17:00:00 +1000,296.418,31.606,31.6,0.53
Rutherford (NSW),2012-01-03 18:00:00 +1000,161.266,30.659,30.9,0.11
Rutherford (NSW),2012-01-03 19:00:00 +1000,5.023,27.259,29.1,0.01
Rutherford (NSW),2012-01-03 20:00:00 +1000,1.0,24.683,26.4,0.0
Rutherford (NSW),2012-01-03 21:00:00 +1000,1.0,23.21,25.1,
Rutherford (NSW),2012-01-03 22:00:00 +1000,1.0,22.243,23.7,
Rutherford (NSW),2012-01-04 00:00:00 +1000,0.998,21.883,22.9,
Rutherford (NSW),2012-01-04 01:00:00 +1000,1.0,21.156,20.6,
Rutherford (NSW),2012-01-04 02:00:00 +1000,1.0,20.506,19.6,
Rutherford (NSW),2012-01-04 03:00:00 +1000,1.0,20.082,18.7,
Rutherford (NSW),2012-01-04 04:00:00 +1000,0.98,20.045,18.0,
Rutherford (NSW),2012-01-04 05:00:00 +1000,1.343,19.643,17.7,0.0
Rutherford (NSW),2012-01-04 06:00:00 +1000,27.699,19.961,17.2,0.06
Rutherford (NSW),2012-01-04 07:00:00 +1000,213.586,21.996,17.7,0.36
Rutherford (NSW),2012-01-04 08:00:00 +1000,385.281,24.762,21.3,0.56
Rutherford (NSW),2012-01-04 09:00:00 +1000,524.13,26.639,23.4,0.98
Rutherford (NSW),2012-01-04 10:00:00 +1000,615.441,32.359,26.6,1.04
Rutherford (NSW),2012-01-04 11:00:00 +1000,834.188,35.86,29.4,1.36
Rutherford (NSW),2012-01-04 12:00:00 +1000,880.147,38.036,34.0,1.43
Rutherford (NSW),2012-01-04 13:00:00 +1000,765.018,39.428,35.9,1.24
Rutherford (NSW),2012-01-04 14:00:00 +1000,599.692,39.302,36.4,1.0
Rutherford (NSW),2012-01-04 15:00:00 +1000,213.446,38.353,36.3,0.54
