Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Serpentine (WA),2013-09-18 08:00:00 +1000,491.58,18.057,16.9,5.285
Serpentine (WA),2013-09-18 09:00:00 +1000,614.097,18.168,16.7,6.382
Serpentine (WA),2013-09-18 10:00:00 +1000,219.183,17.24,16.9,2.552
Serpentine (WA),2013-09-18 23:00:00 +1000,,,16.4,3.274
Serpentine (WA),2013-09-19 01:00:00 +1000,,,16.5,0.022
Serpentine (WA),2013-09-19 20:00:00 +1000,,,16.8,0.0
Serpentine (WA),2013-09-19 21:00:00 +1000,,,17.2,0.0
Serpentine (WA),2013-09-19 22:00:00 +1000,,,17.1,0.0
Serpentine (WA),2013-09-19 23:00:00 +1000,,,17.3,0.0
Serpentine (WA),2013-09-20 01:00:00 +1000,,,16.0,0.0
Serpentine (WA),2013-09-20 20:00:00 +1000,,,15.0,0.0
Serpentine (WA),2013-09-20 21:00:00 +1000,,,14.8,0.0
Serpentine (WA),2013-09-20 22:00:00 +1000,,,14.4,0.0
Serpentine (WA),2013-09-20 23:00:00 +1000,,,14.5,0.0
Serpentine (WA),2013-09-21 01:00:00 +1000,,,16.0,0.0
Serpentine (WA),2013-09-21 17:00:00 +1000,,18.182,18.3,
Serpentine (WA),2013-09-21 18:00:00 +1000,625.36,19.263,18.0,0.0
Serpentine (WA),2013-09-21 19:00:00 +1000,705.021,20.12,17.8,0.0
Serpentine (WA),2013-09-21 20:00:00 +1000,661.421,20.284,17.8,0.0
Serpentine (WA),2013-09-21 21:00:00 +1000,658.743,20.679,17.1,0.0
Serpentine (WA),2013-09-21 22:00:00 +1000,677.374,21.342,17.4,0.0
Serpentine (WA),2013-09-21 23:00:00 +1000,0.061,17.036,17.1,0.0
Serpentine (WA),2013-09-22 01:00:00 +1000,0.19,16.46,17.9,
Serpentine (WA),2013-09-22 02:00:00 +1000,0.236,16.689,14.4,
Serpentine (WA),2013-09-22 03:00:00 +1000,0.532,16.406,14.8,
Serpentine (WA),2013-09-22 04:00:00 +1000,0.529,16.009,15.9,
Serpentine (WA),2013-09-22 05:00:00 +1000,0.961,14.783,15.4,
Serpentine (WA),2013-09-22 06:00:00 +1000,0.408,14.456,15.6,
Serpentine (WA),2013-09-22 07:00:00 +1000,3.673,14.296,15.8,0.0
Serpentine (WA),2013-09-22 08:00:00 +1000,60.75,15.191,16.1,0.0
Serpentine (WA),2013-09-22 09:00:00 +1000,119.185,14.995,16.9,0.0
Serpentine (WA),2013-09-22 10:00:00 +1000,339.606,16.066,15.7,0.0
Serpentine (WA),2013-09-22 20:00:00 +1000,,,17.0,0.0
Serpentine (WA),2013-09-22 21:00:00 +1000,,,17.4,0.0
Serpentine (WA),2013-09-22 22:00:00 +1000,,,17.4,0.0
Serpentine (WA),2013-09-22 23:00:00 +1000,,,17.4,0.0
Serpentine (WA),2013-09-23 01:00:00 +1000,,,17.3,0.0
Serpentine (WA),2013-09-23 02:00:00 +1000,,17.254,17.2,
Serpentine (WA),2013-09-23 03:00:00 +1000,0.076,16.347,17.7,
Serpentine (WA),2013-09-23 04:00:00 +1000,0.015,16.822,16.6,
Serpentine (WA),2013-09-23 05:00:00 +1000,0.005,17.194,16.0,
Serpentine (WA),2013-09-23 06:00:00 +1000,0.066,16.627,16.3,
Serpentine (WA),2013-09-23 07:00:00 +1000,4.155,16.163,17.0,0.0
Serpentine (WA),2013-09-23 08:00:00 +1000,60.44,16.179,17.2,0.0
Serpentine (WA),2013-09-23 09:00:00 +1000,159.438,16.625,18.0,0.0
Serpentine (WA),2013-09-23 10:00:00 +1000,423.534,18.057,17.8,0.0
Serpentine (WA),2013-09-23 11:00:00 +1000,613.699,18.631,18.2,0.0
Serpentine (WA),2013-09-23 12:00:00 +1000,350.578,19.464,17.9,0.0
Serpentine (WA),2013-09-23 13:00:00 +1000,331.863,19.302,17.6,0.0
Serpentine (WA),2013-09-23 14:00:00 +1000,339.458,19.136,18.3,0.0
Serpentine (WA),2013-09-23 15:00:00 +1000,251.422,19.18,17.8,0.0
Serpentine (WA),2013-09-23 16:00:00 +1000,183.712,18.989,18.1,0.0
Serpentine (WA),2013-09-23 17:00:00 +1000,72.065,18.328,18.1,0.0
Serpentine (WA),2013-09-23 18:00:00 +1000,31.972,18.137,18.2,0.0
Serpentine (WA),2013-09-23 19:00:00 +1000,0.456,18.327,18.3,0.0
Serpentine (WA),2013-09-23 20:00:00 +1000,0.245,18.295,18.5,
Serpentine (WA),2013-09-23 21:00:00 +1000,0.231,18.07,18.4,
Serpentine (WA),2013-09-23 22:00:00 +1000,0.034,17.724,18.5,
Serpentine (WA),2013-09-23 23:00:00 +1000,0.015,17.772,18.3,
Serpentine (WA),2013-09-24 01:00:00 +1000,0.012,17.834,18.6,
Serpentine (WA),2013-09-24 02:00:00 +1000,0.027,17.955,17.7,
Serpentine (WA),2013-09-24 03:00:00 +1000,0.005,17.997,17.7,
Serpentine (WA),2013-09-24 04:00:00 +1000,0.025,17.791,16.4,
Serpentine (WA),2013-09-24 05:00:00 +1000,0.005,17.01,17.2,
Serpentine (WA),2013-09-24 06:00:00 +1000,0.0,16.71,17.6,
Serpentine (WA),2013-09-24 07:00:00 +1000,6.75,16.599,17.8,0.0
Serpentine (WA),2013-09-24 08:00:00 +1000,76.876,17.306,17.4,0.0
Serpentine (WA),2013-09-24 09:00:00 +1000,181.136,18.138,16.7,0.367
Serpentine (WA),2013-09-24 10:00:00 +1000,221.998,17.933,16.8,2.553
Serpentine (WA),2013-09-24 11:00:00 +1000,453.352,18.215,18.7,4.896
Serpentine (WA),2013-09-24 12:00:00 +1000,270.957,17.529,16.2,3.106
Serpentine (WA),2013-09-24 13:00:00 +1000,514.447,19.045,17.7,5.555
Serpentine (WA),2013-09-24 14:00:00 +1000,434.152,18.263,17.7,4.807
Serpentine (WA),2013-09-24 15:00:00 +1000,523.604,19.059,17.4,5.675
Serpentine (WA),2013-09-24 16:00:00 +1000,511.94,18.908,16.8,5.674
