Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Toowoomba (QLD),2013-04-26 17:00:00 +1000,80.12,,17.9,0.679
Toowoomba (QLD),2013-04-26 18:00:00 +1000,0.0,,16.8,0.053
Toowoomba (QLD),2013-04-26 19:00:00 +1000,0.01,,16.1,
Toowoomba (QLD),2013-04-26 20:00:00 +1000,0.0,,15.8,
Toowoomba (QLD),2013-04-26 21:00:00 +1000,0.029,,15.5,
Toowoomba (QLD),2013-04-26 22:00:00 +1000,0.0,,15.4,
Toowoomba (QLD),2013-04-26 23:00:00 +1000,0.0,,14.9,
Toowoomba (QLD),2013-04-27 01:00:00 +1000,0.0,,14.2,
Toowoomba (QLD),2013-04-27 02:00:00 +1000,0.01,,14.0,
Toowoomba (QLD),2013-04-27 03:00:00 +1000,0.0,,14.3,
Toowoomba (QLD),2013-04-27 04:00:00 +1000,0.087,,14.0,
Toowoomba (QLD),2013-04-27 05:00:00 +1000,0.06,,14.0,
Toowoomba (QLD),2013-04-27 06:00:00 +1000,0.135,,14.4,
Toowoomba (QLD),2013-04-27 07:00:00 +1000,33.133,,16.3,0.039
Toowoomba (QLD),2013-04-27 08:00:00 +1000,259.59,,17.1,0.422
Toowoomba (QLD),2013-04-27 09:00:00 +1000,510.253,,17.7,1.834
Toowoomba (QLD),2013-04-27 10:00:00 +1000,775.578,,19.3,2.424
Toowoomba (QLD),2013-04-27 11:00:00 +1000,635.187,,18.9,2.728
Toowoomba (QLD),2013-04-27 12:00:00 +1000,732.954,,20.2,3.12
Toowoomba (QLD),2013-04-27 13:00:00 +1000,830.784,,21.2,3.197
Toowoomba (QLD),2013-04-27 14:00:00 +1000,785.5,,20.6,3.379
Toowoomba (QLD),2013-04-27 15:00:00 +1000,575.934,,20.2,2.678
Toowoomba (QLD),2013-04-27 16:00:00 +1000,318.283,,19.0,1.943
Toowoomba (QLD),2013-04-27 17:00:00 +1000,77.735,,16.9,0.825
Toowoomba (QLD),2013-04-27 18:00:00 +1000,0.014,,15.9,0.046
Toowoomba (QLD),2013-04-27 19:00:00 +1000,0.019,,15.1,
Toowoomba (QLD),2013-04-27 20:00:00 +1000,0.121,,14.2,
Toowoomba (QLD),2013-04-27 21:00:00 +1000,0.01,,13.7,
Toowoomba (QLD),2013-04-27 22:00:00 +1000,0.076,,13.2,
Toowoomba (QLD),2013-04-27 23:00:00 +1000,0.019,,13.4,
Toowoomba (QLD),2013-04-28 01:00:00 +1000,0.0,,12.3,
Toowoomba (QLD),2013-04-28 02:00:00 +1000,0.0,,12.2,
Toowoomba (QLD),2013-04-28 03:00:00 +1000,0.038,,12.3,
Toowoomba (QLD),2013-04-28 04:00:00 +1000,0.0,,11.6,
Toowoomba (QLD),2013-04-28 05:00:00 +1000,0.0,,11.9,
Toowoomba (QLD),2013-04-28 06:00:00 +1000,0.0,,13.2,
Toowoomba (QLD),2013-04-28 07:00:00 +1000,5.638,,16.8,0.006
Toowoomba (QLD),2013-04-28 08:00:00 +1000,103.67,,18.7,0.303
Toowoomba (QLD),2013-04-28 09:00:00 +1000,549.175,,20.1,1.928
Toowoomba (QLD),2013-04-28 10:00:00 +1000,732.03,,21.0,2.966
Toowoomba (QLD),2013-04-28 11:00:00 +1000,838.795,,22.1,3.457
Toowoomba (QLD),2013-04-28 12:00:00 +1000,872.807,,22.3,3.665
Toowoomba (QLD),2013-04-28 13:00:00 +1000,842.283,,22.3,3.645
Toowoomba (QLD),2013-04-28 14:00:00 +1000,732.647,,22.6,3.34
Toowoomba (QLD),2013-04-28 15:00:00 +1000,555.657,,21.5,2.752
Toowoomba (QLD),2013-04-28 16:00:00 +1000,405.887,,20.2,1.89
Toowoomba (QLD),2013-04-28 17:00:00 +1000,74.145,,17.8,0.799
Toowoomba (QLD),2013-04-28 18:00:00 +1000,0.0,,17.2,0.041
Toowoomba (QLD),2013-04-28 19:00:00 +1000,0.019,,16.9,
Toowoomba (QLD),2013-04-28 20:00:00 +1000,0.0,,16.8,
Toowoomba (QLD),2013-04-28 21:00:00 +1000,0.024,,15.6,
Toowoomba (QLD),2013-04-28 22:00:00 +1000,0.302,,14.7,
Toowoomba (QLD),2013-04-28 23:00:00 +1000,0.0,,14.3,
Toowoomba (QLD),2013-04-29 01:00:00 +1000,0.0,,13.2,
Toowoomba (QLD),2013-04-29 02:00:00 +1000,0.067,,12.9,
Toowoomba (QLD),2013-04-29 03:00:00 +1000,0.017,,12.8,
Toowoomba (QLD),2013-04-29 04:00:00 +1000,0.051,,12.5,
Toowoomba (QLD),2013-04-29 05:00:00 +1000,0.0,,12.3,
Toowoomba (QLD),2013-04-29 06:00:00 +1000,0.038,,13.6,
