Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Warrnambool (VIC),2013-02-07 16:00:00 +1000,,,23.0,10.74
Warrnambool (VIC),2013-02-07 17:00:00 +1000,,,23.0,11.53
Warrnambool (VIC),2013-02-07 18:00:00 +1000,,,21.8,9.83
Warrnambool (VIC),2013-02-07 19:00:00 +1000,,,21.0,3.7
Warrnambool (VIC),2013-02-07 20:00:00 +1000,,,19.8,1.22
Warrnambool (VIC),2013-02-08 07:00:00 +1000,,,12.8,0.21
Warrnambool (VIC),2013-02-08 08:00:00 +1000,,,15.3,1.16
Warrnambool (VIC),2013-02-08 09:00:00 +1000,,,17.8,2.89
Warrnambool (VIC),2013-02-08 10:00:00 +1000,,,19.5,4.23
Warrnambool (VIC),2013-02-08 11:00:00 +1000,,,21.8,6.74
Warrnambool (VIC),2013-02-08 12:00:00 +1000,,,22.7,7.34
Warrnambool (VIC),2013-02-08 13:00:00 +1000,,,23.5,7.72
Warrnambool (VIC),2013-02-08 14:00:00 +1000,,,24.1,8.95
Warrnambool (VIC),2013-02-08 15:00:00 +1000,,,26.8,10.98
Warrnambool (VIC),2013-02-08 16:00:00 +1000,,,22.8,12.04
Warrnambool (VIC),2013-02-08 17:00:00 +1000,,,22.8,11.21
Warrnambool (VIC),2013-02-08 18:00:00 +1000,,,22.4,9.99
Warrnambool (VIC),2013-02-08 19:00:00 +1000,,,21.9,6.64
Warrnambool (VIC),2013-02-08 20:00:00 +1000,,,20.4,1.62
Warrnambool (VIC),2013-02-08 21:00:00 +1000,,,18.6,0.0
Warrnambool (VIC),2013-02-09 07:00:00 +1000,,,12.4,0.36
Warrnambool (VIC),2013-02-09 08:00:00 +1000,,,15.4,1.74
Warrnambool (VIC),2013-02-09 09:00:00 +1000,,,18.0,2.57
Warrnambool (VIC),2013-02-09 10:00:00 +1000,,,19.4,3.87
Warrnambool (VIC),2013-02-09 11:00:00 +1000,,,21.1,5.33
Warrnambool (VIC),2013-02-09 12:00:00 +1000,,,22.3,7.5
Warrnambool (VIC),2013-02-09 13:00:00 +1000,,,24.4,9.82
Warrnambool (VIC),2013-02-09 14:00:00 +1000,,,25.8,10.98
Warrnambool (VIC),2013-02-09 15:00:00 +1000,,,25.6,11.49
Warrnambool (VIC),2013-02-09 16:00:00 +1000,,,24.0,7.99
Warrnambool (VIC),2013-02-09 17:00:00 +1000,,,20.3,9.54
Warrnambool (VIC),2013-02-09 18:00:00 +1000,,,19.5,5.22
Warrnambool (VIC),2013-02-09 19:00:00 +1000,,,17.8,1.7
Warrnambool (VIC),2013-02-09 20:00:00 +1000,,,16.9,0.23
Warrnambool (VIC),2013-02-10 07:00:00 +1000,,,15.2,0.21
Warrnambool (VIC),2013-02-10 08:00:00 +1000,,,15.7,0.88
Warrnambool (VIC),2013-02-10 09:00:00 +1000,,,17.0,1.73
Warrnambool (VIC),2013-02-10 10:00:00 +1000,,,17.9,3.37
Warrnambool (VIC),2013-02-10 11:00:00 +1000,,,17.6,7.68
Warrnambool (VIC),2013-02-10 12:00:00 +1000,,,20.1,9.06
Warrnambool (VIC),2013-02-10 13:00:00 +1000,,,19.9,10.45
Warrnambool (VIC),2013-02-10 14:00:00 +1000,,,19.8,10.21
Warrnambool (VIC),2013-02-10 15:00:00 +1000,,,20.2,10.98
Warrnambool (VIC),2013-02-10 16:00:00 +1000,,,20.2,11.31
Warrnambool (VIC),2013-02-10 17:00:00 +1000,,,19.9,10.54
Warrnambool (VIC),2013-02-10 18:00:00 +1000,,,18.1,9.72
Warrnambool (VIC),2013-02-10 19:00:00 +1000,,,17.1,5.51
Warrnambool (VIC),2013-02-10 20:00:00 +1000,,,15.7,1.07
Warrnambool (VIC),2013-02-11 07:00:00 +1000,,,12.1,0.22
Warrnambool (VIC),2013-02-11 08:00:00 +1000,,,13.4,1.31
Warrnambool (VIC),2013-02-11 09:00:00 +1000,,,17.2,2.72
Warrnambool (VIC),2013-02-11 10:00:00 +1000,,,18.2,3.93
Warrnambool (VIC),2013-02-11 11:00:00 +1000,,,18.8,6.93
Warrnambool (VIC),2013-02-11 12:00:00 +1000,,,19.4,9.39
Warrnambool (VIC),2013-02-11 13:00:00 +1000,,,19.8,10.54
Warrnambool (VIC),2013-02-11 14:00:00 +1000,,,20.6,10.89
Warrnambool (VIC),2013-02-11 15:00:00 +1000,,,20.2,11.18
Warrnambool (VIC),2013-02-11 16:00:00 +1000,,,20.3,9.21
Warrnambool (VIC),2013-02-11 17:00:00 +1000,,,19.2,8.62
Warrnambool (VIC),2013-02-11 18:00:00 +1000,,,18.3,9.66
Warrnambool (VIC),2013-02-11 19:00:00 +1000,,,18.2,6.48
Warrnambool (VIC),2013-02-11 20:00:00 +1000,,,17.3,1.16
Warrnambool (VIC),2013-02-12 07:00:00 +1000,,,15.0,0.16
Warrnambool (VIC),2013-02-12 08:00:00 +1000,,,16.6,0.91
Warrnambool (VIC),2013-02-12 09:00:00 +1000,,,17.7,1.94
Warrnambool (VIC),2013-02-12 10:00:00 +1000,,,18.4,3.65
Warrnambool (VIC),2013-02-12 11:00:00 +1000,,,20.3,6.12
Warrnambool (VIC),2013-02-12 12:00:00 +1000,,,21.9,9.25
Warrnambool (VIC),2013-02-12 13:00:00 +1000,,,22.5,10.66
Warrnambool (VIC),2013-02-12 14:00:00 +1000,,,23.2,11.3
Warrnambool (VIC),2013-02-12 15:00:00 +1000,,,22.1,11.56
Warrnambool (VIC),2013-02-12 16:00:00 +1000,,,22.2,11.43
Warrnambool (VIC),2013-02-12 17:00:00 +1000,,,21.6,10.92
Warrnambool (VIC),2013-02-12 18:00:00 +1000,,,20.3,9.7
Warrnambool (VIC),2013-02-12 19:00:00 +1000,,,19.3,6.65
Warrnambool (VIC),2013-02-12 20:00:00 +1000,,,17.8,1.6
Warrnambool (VIC),2013-02-13 07:00:00 +1000,,,12.8,0.16
Warrnambool (VIC),2013-02-13 08:00:00 +1000,,,14.2,0.56
Warrnambool (VIC),2013-02-13 09:00:00 +1000,,,17.6,1.11
Warrnambool (VIC),2013-02-13 10:00:00 +1000,,,20.1,3.45
Warrnambool (VIC),2013-02-13 11:00:00 +1000,,,22.3,6.63
Warrnambool (VIC),2013-02-13 12:00:00 +1000,,,24.6,9.12
Warrnambool (VIC),2013-02-13 13:00:00 +1000,,,26.5,10.38
Warrnambool (VIC),2013-02-13 14:00:00 +1000,,,25.9,10.98
Warrnambool (VIC),2013-02-13 15:00:00 +1000,,,27.2,11.15
Warrnambool (VIC),2013-02-13 16:00:00 +1000,,,26.0,10.95
Warrnambool (VIC),2013-02-13 17:00:00 +1000,,,25.9,10.46
Warrnambool (VIC),2013-02-13 18:00:00 +1000,,,25.3,9.1
Warrnambool (VIC),2013-02-13 19:00:00 +1000,,,23.7,5.66
Warrnambool (VIC),2013-02-13 20:00:00 +1000,,,21.5,1.09
Warrnambool (VIC),2013-02-14 07:00:00 +1000,,,14.8,0.17
Warrnambool (VIC),2013-02-14 08:00:00 +1000,,,16.3,0.7
Warrnambool (VIC),2013-02-14 09:00:00 +1000,,,19.3,1.26
Warrnambool (VIC),2013-02-14 10:00:00 +1000,,,22.2,3.39
Warrnambool (VIC),2013-02-14 11:00:00 +1000,,,25.8,6.21
Warrnambool (VIC),2013-02-14 12:00:00 +1000,,,24.3,7.56
Warrnambool (VIC),2013-02-14 13:00:00 +1000,,,25.9,9.653
Warrnambool (VIC),2013-02-14 14:00:00 +1000,,,27.2,10.635
Warrnambool (VIC),2013-02-14 15:00:00 +1000,,,28.3,11.077
Warrnambool (VIC),2013-02-14 16:00:00 +1000,,,27.1,11.052
