Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
West Hobart (TAS),2012-10-18 16:00:00 +1000,152.231,0.0,13.4,0.26
West Hobart (TAS),2012-10-18 17:00:00 +1000,111.83,0.0,12.6,0.19
West Hobart (TAS),2012-10-18 18:00:00 +1000,68.489,0.0,12.5,0.1
West Hobart (TAS),2012-10-18 19:00:00 +1000,13.164,0.0,12.2,0.01
West Hobart (TAS),2012-10-18 20:00:00 +1000,1.209,0.0,11.8,
West Hobart (TAS),2012-10-18 21:00:00 +1000,1.076,0.0,11.3,
West Hobart (TAS),2012-10-18 22:00:00 +1000,1.05,0.0,11.2,
West Hobart (TAS),2012-10-19 00:00:00 +1000,1.145,0.0,11.0,
West Hobart (TAS),2012-10-19 01:00:00 +1000,1.207,0.0,10.8,
West Hobart (TAS),2012-10-19 02:00:00 +1000,1.314,0.0,10.8,
West Hobart (TAS),2012-10-19 03:00:00 +1000,1.126,0.0,10.4,
West Hobart (TAS),2012-10-19 04:00:00 +1000,1.124,0.0,10.0,
West Hobart (TAS),2012-10-19 05:00:00 +1000,1.226,0.0,10.2,
West Hobart (TAS),2012-10-19 06:00:00 +1000,6.056,0.0,10.1,0.0
West Hobart (TAS),2012-10-19 07:00:00 +1000,51.937,0.0,11.2,0.08
West Hobart (TAS),2012-10-19 08:00:00 +1000,171.013,0.0,12.4,0.56
West Hobart (TAS),2012-10-19 09:00:00 +1000,639.328,0.0,14.6,1.09
West Hobart (TAS),2012-10-19 10:00:00 +1000,784.78,0.0,15.7,1.32
West Hobart (TAS),2012-10-19 11:00:00 +1000,742.322,0.0,14.9,1.25
West Hobart (TAS),2012-10-19 12:00:00 +1000,730.507,0.0,15.4,1.25
West Hobart (TAS),2012-10-19 13:00:00 +1000,745.446,0.0,16.1,1.33
West Hobart (TAS),2012-10-19 14:00:00 +1000,557.405,0.0,15.4,0.81
West Hobart (TAS),2012-10-19 15:00:00 +1000,464.493,0.0,16.6,0.93
West Hobart (TAS),2012-10-19 16:00:00 +1000,310.52,0.0,14.9,0.43
West Hobart (TAS),2012-10-19 17:00:00 +1000,96.956,0.0,13.3,0.2
West Hobart (TAS),2012-10-19 18:00:00 +1000,63.422,0.0,12.7,0.04
West Hobart (TAS),2012-10-19 19:00:00 +1000,19.756,0.0,12.0,0.0
West Hobart (TAS),2012-10-19 20:00:00 +1000,1.158,0.0,11.9,
West Hobart (TAS),2012-10-19 21:00:00 +1000,1.032,0.0,11.9,
West Hobart (TAS),2012-10-19 22:00:00 +1000,1.161,0.0,12.0,
West Hobart (TAS),2012-10-20 00:00:00 +1000,1.122,0.0,11.3,
