Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Alice Springs (NT),2014-01-25 00:00:00 +1000,0.172,0.0,28.7,
Alice Springs (NT),2014-01-25 01:00:00 +1000,0.137,0.0,28.0,
Alice Springs (NT),2014-01-25 02:00:00 +1000,0.031,0.0,27.7,
Alice Springs (NT),2014-01-25 03:00:00 +1000,0.259,0.0,27.2,
Alice Springs (NT),2014-01-25 04:00:00 +1000,0.187,0.0,26.8,
Alice Springs (NT),2014-01-25 05:00:00 +1000,0.16,0.0,26.2,
Alice Springs (NT),2014-01-25 06:00:00 +1000,0.688,0.0,26.0,0.0
Alice Springs (NT),2014-01-25 07:00:00 +1000,43.725,0.0,26.0,0.388
Alice Springs (NT),2014-01-25 08:00:00 +1000,222.2,0.0,26.9,1.612
Alice Springs (NT),2014-01-25 09:00:00 +1000,380.54,0.0,28.2,2.531
Alice Springs (NT),2014-01-25 10:00:00 +1000,796.501,0.0,29.2,5.124
Alice Springs (NT),2014-01-25 11:00:00 +1000,890.373,0.0,30.1,5.537
Alice Springs (NT),2014-01-25 12:00:00 +1000,909.999,0.0,31.6,5.526
Alice Springs (NT),2014-01-25 13:00:00 +1000,737.337,0.0,31.9,4.685
Alice Springs (NT),2014-01-25 14:00:00 +1000,569.953,0.0,32.6,3.816
Alice Springs (NT),2014-01-25 15:00:00 +1000,515.404,0.0,33.3,3.469
Alice Springs (NT),2014-01-25 16:00:00 +1000,362.453,0.0,33.3,2.522
Alice Springs (NT),2014-01-25 17:00:00 +1000,274.659,0.0,33.6,1.85
Alice Springs (NT),2014-01-25 18:00:00 +1000,130.358,0.0,33.6,0.963
Alice Springs (NT),2014-01-25 19:00:00 +1000,9.185,0.0,32.6,0.124
Alice Springs (NT),2014-01-25 20:00:00 +1000,0.009,0.0,30.4,
Alice Springs (NT),2014-01-25 21:00:00 +1000,0.209,0.0,29.6,
Alice Springs (NT),2014-01-25 22:00:00 +1000,0.365,0.0,28.7,
Alice Springs (NT),2014-01-26 00:00:00 +1000,0.184,0.0,28.2,
Alice Springs (NT),2014-01-26 01:00:00 +1000,0.158,0.0,27.5,
Alice Springs (NT),2014-01-26 02:00:00 +1000,0.102,0.0,27.5,
Alice Springs (NT),2014-01-26 03:00:00 +1000,0.002,0.0,26.8,
Alice Springs (NT),2014-01-26 04:00:00 +1000,0.0,0.0,26.6,
Alice Springs (NT),2014-01-26 05:00:00 +1000,0.014,0.0,26.7,
Alice Springs (NT),2014-01-26 06:00:00 +1000,0.132,0.0,26.2,0.0
Alice Springs (NT),2014-01-26 07:00:00 +1000,12.653,0.0,26.1,0.079
Alice Springs (NT),2014-01-26 08:00:00 +1000,17.667,0.0,26.2,0.103
Alice Springs (NT),2014-01-26 09:00:00 +1000,129.859,0.0,28.6,1.063
Alice Springs (NT),2014-01-26 10:00:00 +1000,577.442,0.0,31.2,4.029
Alice Springs (NT),2014-01-26 11:00:00 +1000,923.559,0.0,32.4,5.748
Alice Springs (NT),2014-01-26 12:00:00 +1000,1086.328,0.0,34.2,6.433
Alice Springs (NT),2014-01-26 13:00:00 +1000,1062.907,0.0,35.3,6.422
Alice Springs (NT),2014-01-26 14:00:00 +1000,1044.381,0.0,35.9,6.221
Alice Springs (NT),2014-01-26 15:00:00 +1000,893.301,0.0,35.8,5.395
Alice Springs (NT),2014-01-26 16:00:00 +1000,669.475,0.0,36.5,4.135
Alice Springs (NT),2014-01-26 17:00:00 +1000,420.135,0.0,36.8,2.672
Alice Springs (NT),2014-01-26 18:00:00 +1000,169.698,0.0,35.6,1.237
Alice Springs (NT),2014-01-26 19:00:00 +1000,23.081,0.0,33.8,0.246
Alice Springs (NT),2014-01-26 20:00:00 +1000,0.007,0.0,31.8,
Alice Springs (NT),2014-01-26 21:00:00 +1000,0.028,0.0,30.4,
Alice Springs (NT),2014-01-26 22:00:00 +1000,0.094,0.0,29.8,
Alice Springs (NT),2014-01-27 00:00:00 +1000,0.019,0.0,29.1,
Alice Springs (NT),2014-01-27 01:00:00 +1000,0.05,0.0,28.9,
Alice Springs (NT),2014-01-27 02:00:00 +1000,0.026,0.0,28.3,
Alice Springs (NT),2014-01-27 03:00:00 +1000,0.033,0.0,24.4,
Alice Springs (NT),2014-01-27 04:00:00 +1000,0.037,0.0,22.6,
Alice Springs (NT),2014-01-27 05:00:00 +1000,0.064,0.0,22.6,
Alice Springs (NT),2014-01-27 06:00:00 +1000,0.019,0.0,23.2,
Alice Springs (NT),2014-01-27 07:00:00 +1000,1.146,0.0,23.0,0.0
Alice Springs (NT),2014-01-27 08:00:00 +1000,25.85,0.0,22.9,0.169
Alice Springs (NT),2014-01-27 09:00:00 +1000,166.082,0.0,23.1,1.277
Alice Springs (NT),2014-01-27 10:00:00 +1000,362.794,0.0,23.2,2.645
Alice Springs (NT),2014-01-27 11:00:00 +1000,749.82,0.0,23.6,4.928
Alice Springs (NT),2014-01-27 12:00:00 +1000,1100.201,0.0,25.3,6.515
Alice Springs (NT),2014-01-27 13:00:00 +1000,825.105,0.0,27.7,5.091
Alice Springs (NT),2014-01-27 14:00:00 +1000,787.883,0.0,29.0,4.941
Alice Springs (NT),2014-01-27 15:00:00 +1000,752.762,0.0,31.7,4.779
Alice Springs (NT),2014-01-27 16:00:00 +1000,564.54,0.0,33.0,3.624
