Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Ashdale (WA),2014-02-27 13:00:00 +1000,929.375,40.813,32.5,7.5
Ashdale (WA),2014-02-27 14:00:00 +1000,837.0,40.033,33.2,6.946
Ashdale (WA),2014-02-27 15:00:00 +1000,672.333,37.225,33.8,5.893
Ashdale (WA),2014-02-27 16:00:00 +1000,451.417,32.483,30.9,4.24
Ashdale (WA),2014-02-27 17:00:00 +1000,217.417,30.6,30.1,2.186
Ashdale (WA),2014-02-27 18:00:00 +1000,47.75,28.6,29.0,0.445
Ashdale (WA),2014-02-27 19:00:00 +1000,0.667,26.892,27.6,
Ashdale (WA),2014-02-27 20:00:00 +1000,0.0,26.0,26.4,
Ashdale (WA),2014-02-27 21:00:00 +1000,0.0,24.733,25.2,
Ashdale (WA),2014-02-27 22:00:00 +1000,0.0,22.608,23.9,
Ashdale (WA),2014-02-28 00:00:00 +1000,0.0,22.025,19.2,0.0
Ashdale (WA),2014-02-28 01:00:00 +1000,0.0,21.692,18.0,
Ashdale (WA),2014-02-28 02:00:00 +1000,0.0,21.558,18.5,
Ashdale (WA),2014-02-28 03:00:00 +1000,0.0,20.85,20.7,
Ashdale (WA),2014-02-28 04:00:00 +1000,0.0,21.058,21.4,
Ashdale (WA),2014-02-28 05:00:00 +1000,0.0,19.925,19.8,
Ashdale (WA),2014-02-28 06:00:00 +1000,17.583,20.208,19.5,0.141
Ashdale (WA),2014-02-28 07:00:00 +1000,127.0,24.683,20.6,1.393
Ashdale (WA),2014-02-28 08:00:00 +1000,340.5,28.35,25.2,3.472
Ashdale (WA),2014-02-28 09:00:00 +1000,578.167,31.408,27.5,5.452
Ashdale (WA),2014-02-28 10:00:00 +1000,779.75,34.658,29.9,6.857
Ashdale (WA),2014-02-28 11:00:00 +1000,911.75,36.933,31.9,7.682
Ashdale (WA),2014-02-28 12:00:00 +1000,967.5,38.317,33.2,7.952
Ashdale (WA),2014-02-28 13:00:00 +1000,946.25,39.633,34.2,7.76
