Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Barnsley (NSW),2012-01-01 00:00:00 +1000,0.343,17.169,19.6,
Barnsley (NSW),2012-01-01 01:00:00 +1000,0.095,16.269,19.1,
Barnsley (NSW),2012-01-01 02:00:00 +1000,0.042,15.404,18.0,
Barnsley (NSW),2012-01-01 03:00:00 +1000,1.0,15.002,17.7,
Barnsley (NSW),2012-01-01 04:00:00 +1000,0.041,13.943,17.7,
Barnsley (NSW),2012-01-01 05:00:00 +1000,8.248,13.505,17.8,0.0
Barnsley (NSW),2012-01-01 06:00:00 +1000,47.131,13.848,17.5,0.08
Barnsley (NSW),2012-01-01 07:00:00 +1000,162.462,15.547,18.4,1.42
Barnsley (NSW),2012-01-01 08:00:00 +1000,420.845,18.202,19.4,2.55
Barnsley (NSW),2012-01-01 09:00:00 +1000,742.507,20.661,20.9,3.46
Barnsley (NSW),2012-01-01 10:00:00 +1000,896.45,21.859,22.1,4.03
Barnsley (NSW),2012-01-01 11:00:00 +1000,991.697,23.002,23.4,4.39
Barnsley (NSW),2012-01-01 12:00:00 +1000,1001.194,24.283,23.3,4.36
Barnsley (NSW),2012-01-01 13:00:00 +1000,976.773,25.736,23.4,4.24
Barnsley (NSW),2012-01-01 14:00:00 +1000,849.364,26.626,23.3,3.72
Barnsley (NSW),2012-01-01 15:00:00 +1000,678.046,27.028,23.1,3.01
Barnsley (NSW),2012-01-01 16:00:00 +1000,531.791,26.529,22.9,2.04
Barnsley (NSW),2012-01-01 17:00:00 +1000,87.046,25.756,22.7,1.32
Barnsley (NSW),2012-01-01 18:00:00 +1000,36.678,24.723,22.5,0.3
Barnsley (NSW),2012-01-01 19:00:00 +1000,12.166,23.816,22.5,0.0
Barnsley (NSW),2012-01-01 20:00:00 +1000,0.206,22.344,22.2,0.0
Barnsley (NSW),2012-01-01 21:00:00 +1000,0.037,20.754,21.9,
Barnsley (NSW),2012-01-01 22:00:00 +1000,0.118,19.854,21.6,
Barnsley (NSW),2012-01-02 00:00:00 +1000,0.061,18.21,20.8,
Barnsley (NSW),2012-01-02 01:00:00 +1000,0.125,17.767,20.4,
Barnsley (NSW),2012-01-02 02:00:00 +1000,0.5,17.039,20.4,
Barnsley (NSW),2012-01-02 03:00:00 +1000,0.139,16.092,20.1,
Barnsley (NSW),2012-01-02 04:00:00 +1000,0.0,15.642,20.3,
Barnsley (NSW),2012-01-02 05:00:00 +1000,7.717,15.238,20.3,0.0
Barnsley (NSW),2012-01-02 06:00:00 +1000,47.197,15.207,19.6,0.08
Barnsley (NSW),2012-01-02 07:00:00 +1000,250.513,17.082,19.4,1.37
Barnsley (NSW),2012-01-02 08:00:00 +1000,416.34,19.445,20.8,2.48
Barnsley (NSW),2012-01-02 09:00:00 +1000,654.548,21.726,22.2,3.37
Barnsley (NSW),2012-01-02 10:00:00 +1000,891.197,23.401,23.8,3.96
Barnsley (NSW),2012-01-02 11:00:00 +1000,980.745,24.739,25.1,4.16
Barnsley (NSW),2012-01-02 12:00:00 +1000,967.817,25.971,24.3,3.93
