Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Blacktown (NSW),2012-01-01 00:00:00 +1000,0.0,17.421,15.3,
Blacktown (NSW),2012-01-01 01:00:00 +1000,0.027,16.659,14.6,
Blacktown (NSW),2012-01-01 02:00:00 +1000,0.75,14.41,15.0,
Blacktown (NSW),2012-01-01 03:00:00 +1000,0.422,14.075,14.6,
Blacktown (NSW),2012-01-01 04:00:00 +1000,0.797,12.903,13.5,
Blacktown (NSW),2012-01-01 05:00:00 +1000,2.849,13.01,12.9,0.0
Blacktown (NSW),2012-01-01 06:00:00 +1000,33.353,23.073,12.9,0.5
Blacktown (NSW),2012-01-01 07:00:00 +1000,190.407,24.549,14.6,2.91
Blacktown (NSW),2012-01-01 08:00:00 +1000,407.458,26.777,17.4,8.12
Blacktown (NSW),2012-01-01 09:00:00 +1000,592.042,31.249,19.8,12.24
Blacktown (NSW),2012-01-01 10:00:00 +1000,675.159,32.623,21.8,14.89
Blacktown (NSW),2012-01-01 11:00:00 +1000,793.831,31.622,23.6,16.31
Blacktown (NSW),2012-01-01 12:00:00 +1000,802.356,35.897,25.5,16.67
Blacktown (NSW),2012-01-01 13:00:00 +1000,764.432,35.827,26.5,16.26
Blacktown (NSW),2012-01-01 14:00:00 +1000,670.675,36.951,28.1,15.03
Blacktown (NSW),2012-01-01 15:00:00 +1000,526.839,33.872,29.1,12.92
Blacktown (NSW),2012-01-01 16:00:00 +1000,407.178,32.856,28.7,9.65
Blacktown (NSW),2012-01-01 17:00:00 +1000,121.161,30.753,27.8,5.29
Blacktown (NSW),2012-01-01 18:00:00 +1000,28.085,29.231,26.8,1.29
Blacktown (NSW),2012-01-01 19:00:00 +1000,7.703,24.133,25.3,0.31
Blacktown (NSW),2012-01-01 20:00:00 +1000,0.0,21.341,22.8,0.01
Blacktown (NSW),2012-01-01 21:00:00 +1000,0.023,20.421,20.4,
Blacktown (NSW),2012-01-01 22:00:00 +1000,0.231,18.516,19.1,
Blacktown (NSW),2012-01-02 00:00:00 +1000,0.387,18.111,16.6,
Blacktown (NSW),2012-01-02 01:00:00 +1000,0.0,17.308,16.6,
Blacktown (NSW),2012-01-02 02:00:00 +1000,0.0,16.589,16.0,
Blacktown (NSW),2012-01-02 03:00:00 +1000,0.0,16.028,16.1,
Blacktown (NSW),2012-01-02 04:00:00 +1000,0.0,16.222,15.8,
Blacktown (NSW),2012-01-02 05:00:00 +1000,2.57,14.99,15.5,0.0
Blacktown (NSW),2012-01-02 06:00:00 +1000,21.692,18.106,15.4,0.48
Blacktown (NSW),2012-01-02 07:00:00 +1000,192.195,26.415,17.8,2.88
Blacktown (NSW),2012-01-02 08:00:00 +1000,409.882,28.376,19.7,8.12
Blacktown (NSW),2012-01-02 09:00:00 +1000,594.008,31.454,21.4,12.13
Blacktown (NSW),2012-01-02 10:00:00 +1000,734.067,35.734,23.4,14.47
Blacktown (NSW),2012-01-02 11:00:00 +1000,790.761,32.857,24.4,16.17
Blacktown (NSW),2012-01-02 12:00:00 +1000,801.911,35.823,26.4,16.51
Blacktown (NSW),2012-01-02 13:00:00 +1000,767.297,36.185,27.0,16.32
Blacktown (NSW),2012-01-02 14:00:00 +1000,671.509,36.281,28.4,15.0
Blacktown (NSW),2012-01-02 15:00:00 +1000,529.958,32.646,29.5,12.9
Blacktown (NSW),2012-01-02 16:00:00 +1000,332.529,31.469,28.5,9.56
Blacktown (NSW),2012-01-02 17:00:00 +1000,199.384,31.45,27.8,5.21
Blacktown (NSW),2012-01-02 18:00:00 +1000,30.258,28.724,27.0,1.31
Blacktown (NSW),2012-01-02 19:00:00 +1000,4.067,24.342,25.2,0.28
Blacktown (NSW),2012-01-02 20:00:00 +1000,0.046,22.245,23.0,0.0
Blacktown (NSW),2012-01-02 21:00:00 +1000,0.2,21.512,21.5,
Blacktown (NSW),2012-01-02 22:00:00 +1000,0.121,20.603,20.3,
Blacktown (NSW),2012-01-03 00:00:00 +1000,0.0,19.459,18.6,
