Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Canterbury (NSW),2012-01-01 00:00:00 +1000,1.101,23.43,15.6,
Canterbury (NSW),2012-01-01 01:00:00 +1000,1.0,23.33,15.4,
Canterbury (NSW),2012-01-01 02:00:00 +1000,1.0,23.13,14.9,
Canterbury (NSW),2012-01-01 03:00:00 +1000,1.0,23.03,13.9,
Canterbury (NSW),2012-01-01 04:00:00 +1000,1.0,22.93,13.5,
Canterbury (NSW),2012-01-01 05:00:00 +1000,2.85,22.83,13.2,0.0
Canterbury (NSW),2012-01-01 06:00:00 +1000,23.052,22.754,12.9,0.08
Canterbury (NSW),2012-01-01 07:00:00 +1000,262.333,22.53,15.4,0.75
Canterbury (NSW),2012-01-01 08:00:00 +1000,508.627,22.43,18.5,1.36
Canterbury (NSW),2012-01-01 09:00:00 +1000,707.961,22.383,21.1,2.07
Canterbury (NSW),2012-01-01 10:00:00 +1000,840.719,22.533,22.6,2.39
Canterbury (NSW),2012-01-01 11:00:00 +1000,897.739,22.918,23.9,2.52
Canterbury (NSW),2012-01-01 12:00:00 +1000,906.273,23.343,25.9,2.57
Canterbury (NSW),2012-01-01 13:00:00 +1000,841.706,24.039,25.4,2.5
Canterbury (NSW),2012-01-01 14:00:00 +1000,707.288,24.358,25.8,2.12
Canterbury (NSW),2012-01-01 15:00:00 +1000,513.299,24.73,26.0,1.63
Canterbury (NSW),2012-01-01 16:00:00 +1000,267.981,24.898,25.9,0.92
Canterbury (NSW),2012-01-01 17:00:00 +1000,130.656,25.018,25.0,0.22
Canterbury (NSW),2012-01-01 18:00:00 +1000,27.68,25.33,24.3,0.06
Canterbury (NSW),2012-01-01 19:00:00 +1000,4.444,25.13,23.4,0.03
Canterbury (NSW),2012-01-01 20:00:00 +1000,0.029,24.857,21.7,0.0
Canterbury (NSW),2012-01-01 21:00:00 +1000,0.049,24.591,21.1,
Canterbury (NSW),2012-01-01 22:00:00 +1000,0.48,24.346,20.6,
Canterbury (NSW),2012-01-02 00:00:00 +1000,0.626,24.14,18.2,
Canterbury (NSW),2012-01-02 01:00:00 +1000,0.919,24.03,17.4,
Canterbury (NSW),2012-01-02 02:00:00 +1000,0.98,23.986,16.0,
Canterbury (NSW),2012-01-02 03:00:00 +1000,0.77,23.768,15.7,
Canterbury (NSW),2012-01-02 04:00:00 +1000,0.99,23.671,15.7,
Canterbury (NSW),2012-01-02 05:00:00 +1000,2.175,23.594,15.4,0.0
Canterbury (NSW),2012-01-02 06:00:00 +1000,33.253,23.53,15.2,0.07
