Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Carlton (NSW),2012-01-01 00:00:00 +1000,0.0,20.417,19.0,
Carlton (NSW),2012-01-01 01:00:00 +1000,0.0,19.627,19.2,
Carlton (NSW),2012-01-01 02:00:00 +1000,0.0,19.227,19.3,
Carlton (NSW),2012-01-01 03:00:00 +1000,0.0,19.11,18.8,
Carlton (NSW),2012-01-01 04:00:00 +1000,0.0,18.979,17.8,
Carlton (NSW),2012-01-01 05:00:00 +1000,6.299,17.639,17.3,0.01
Carlton (NSW),2012-01-01 06:00:00 +1000,19.008,18.854,17.4,0.15
Carlton (NSW),2012-01-01 07:00:00 +1000,48.335,20.32,18.1,0.38
Carlton (NSW),2012-01-01 08:00:00 +1000,119.686,21.672,20.7,1.82
Carlton (NSW),2012-01-01 09:00:00 +1000,137.617,23.641,22.1,2.07
Carlton (NSW),2012-01-01 10:00:00 +1000,389.252,24.738,23.7,
Carlton (NSW),2012-01-01 11:00:00 +1000,803.816,26.557,25.1,
Carlton (NSW),2012-01-01 12:00:00 +1000,626.593,27.376,25.9,
Carlton (NSW),2012-01-01 13:00:00 +1000,888.803,27.988,26.0,
Carlton (NSW),2012-01-01 14:00:00 +1000,828.139,28.032,26.5,
Carlton (NSW),2012-01-01 15:00:00 +1000,734.168,27.574,27.2,
Carlton (NSW),2012-01-01 16:00:00 +1000,660.616,27.673,26.7,
Carlton (NSW),2012-01-01 18:00:00 +1000,107.762,25.501,25.7,0.58
Carlton (NSW),2012-01-01 19:00:00 +1000,47.328,24.817,23.9,0.6
Carlton (NSW),2012-01-01 20:00:00 +1000,0.0,23.57,23.1,
Carlton (NSW),2012-01-01 21:00:00 +1000,0.0,23.39,22.8,
Carlton (NSW),2012-01-01 22:00:00 +1000,0.0,23.132,22.2,
Carlton (NSW),2012-01-02 00:00:00 +1000,0.0,22.492,22.1,
Carlton (NSW),2012-01-02 01:00:00 +1000,0.0,22.458,20.9,
Carlton (NSW),2012-01-02 02:00:00 +1000,0.0,22.028,20.1,
Carlton (NSW),2012-01-02 03:00:00 +1000,0.0,21.373,20.1,
Carlton (NSW),2012-01-02 04:00:00 +1000,0.0,21.154,19.5,
Carlton (NSW),2012-01-02 05:00:00 +1000,7.393,20.722,19.0,0.01
Carlton (NSW),2012-01-02 06:00:00 +1000,22.742,21.629,19.1,0.15
Carlton (NSW),2012-01-02 07:00:00 +1000,75.096,22.458,20.6,0.15
Carlton (NSW),2012-01-02 08:00:00 +1000,277.441,23.98,22.8,
Carlton (NSW),2012-01-02 09:00:00 +1000,501.492,25.494,23.6,
Carlton (NSW),2012-01-02 10:00:00 +1000,602.017,25.79,25.5,
Carlton (NSW),2012-01-02 11:00:00 +1000,822.006,27.536,26.5,
Carlton (NSW),2012-01-02 12:00:00 +1000,893.083,27.862,26.9,
Carlton (NSW),2012-01-02 13:00:00 +1000,912.941,27.774,27.0,
Carlton (NSW),2012-01-02 14:00:00 +1000,341.929,27.812,27.8,
Carlton (NSW),2012-01-02 15:00:00 +1000,743.955,27.904,27.6,
Carlton (NSW),2012-01-02 16:00:00 +1000,555.967,27.566,27.0,
Carlton (NSW),2012-01-02 17:00:00 +1000,328.917,26.64,26.6,
Carlton (NSW),2012-01-02 18:00:00 +1000,116.928,25.735,26.1,
Carlton (NSW),2012-01-02 19:00:00 +1000,4.756,24.67,24.4,
Carlton (NSW),2012-01-02 20:00:00 +1000,0.0,24.078,24.3,
Carlton (NSW),2012-01-02 21:00:00 +1000,0.0,23.901,23.6,
Carlton (NSW),2012-01-02 22:00:00 +1000,0.0,23.601,23.4,
Carlton (NSW),2012-01-03 00:00:00 +1000,0.0,22.953,22.5,
Carlton (NSW),2012-01-03 01:00:00 +1000,0.0,22.708,22.2,
Carlton (NSW),2012-01-03 02:00:00 +1000,0.0,22.104,22.0,
Carlton (NSW),2012-01-03 03:00:00 +1000,0.0,21.924,21.5,
Carlton (NSW),2012-01-03 04:00:00 +1000,0.0,21.56,21.4,
Carlton (NSW),2012-01-03 05:00:00 +1000,3.666,21.349,21.6,
Carlton (NSW),2012-01-03 06:00:00 +1000,16.955,21.528,21.3,
Carlton (NSW),2012-01-03 07:00:00 +1000,87.322,23.355,22.3,
Carlton (NSW),2012-01-03 08:00:00 +1000,276.666,24.872,24.0,
Carlton (NSW),2012-01-03 09:00:00 +1000,496.875,25.802,24.4,
Carlton (NSW),2012-01-03 10:00:00 +1000,681.286,26.834,25.7,
Carlton (NSW),2012-01-03 11:00:00 +1000,821.595,27.716,26.2,
Carlton (NSW),2012-01-03 12:00:00 +1000,893.231,28.458,27.4,
Carlton (NSW),2012-01-03 13:00:00 +1000,905.719,28.788,27.2,
Carlton (NSW),2012-01-03 14:00:00 +1000,849.942,28.49,28.0,
Carlton (NSW),2012-01-03 15:00:00 +1000,738.134,29.233,27.2,
Carlton (NSW),2012-01-03 16:00:00 +1000,537.387,28.372,27.7,
Carlton (NSW),2012-01-03 17:00:00 +1000,318.434,27.61,27.2,
Carlton (NSW),2012-01-03 18:00:00 +1000,81.697,26.896,26.3,
Carlton (NSW),2012-01-03 19:00:00 +1000,7.181,25.56,25.4,
Carlton (NSW),2012-01-03 20:00:00 +1000,0.489,25.148,24.1,
Carlton (NSW),2012-01-03 21:00:00 +1000,0.0,24.689,24.1,
Carlton (NSW),2012-01-03 22:00:00 +1000,0.0,24.195,23.5,
Carlton (NSW),2012-01-04 00:00:00 +1000,0.0,23.597,23.3,
Carlton (NSW),2012-01-04 01:00:00 +1000,0.0,23.286,22.5,
Carlton (NSW),2012-01-04 02:00:00 +1000,0.0,23.304,22.2,
Carlton (NSW),2012-01-04 03:00:00 +1000,0.0,22.663,22.0,
Carlton (NSW),2012-01-04 04:00:00 +1000,0.0,22.426,21.8,
Carlton (NSW),2012-01-04 05:00:00 +1000,3.645,22.161,21.6,
Carlton (NSW),2012-01-04 06:00:00 +1000,30.626,22.567,21.9,
Carlton (NSW),2012-01-04 07:00:00 +1000,67.899,24.151,23.0,
Carlton (NSW),2012-01-04 08:00:00 +1000,298.179,25.468,24.5,
Carlton (NSW),2012-01-04 09:00:00 +1000,411.394,27.201,26.3,
Carlton (NSW),2012-01-04 10:00:00 +1000,677.351,28.712,27.7,
Carlton (NSW),2012-01-04 11:00:00 +1000,800.653,31.383,29.7,
Carlton (NSW),2012-01-04 12:00:00 +1000,529.625,34.044,31.9,
Carlton (NSW),2012-01-04 13:00:00 +1000,534.929,35.117,33.2,
Carlton (NSW),2012-01-04 14:00:00 +1000,165.285,33.797,32.5,
Carlton (NSW),2012-01-04 15:00:00 +1000,193.664,33.676,31.2,
Carlton (NSW),2012-01-04 20:00:00 +1000,0.0,24.539,22.8,
