Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Edi Upper (VIC),2012-11-20 11:00:00 +1000,939.524,,20.7,3.98
Edi Upper (VIC),2012-11-20 12:00:00 +1000,947.983,,23.0,3.99
Edi Upper (VIC),2012-11-20 13:00:00 +1000,931.278,,24.3,3.89
Edi Upper (VIC),2012-11-20 14:00:00 +1000,849.852,,25.2,3.16
Edi Upper (VIC),2012-11-20 15:00:00 +1000,536.848,,26.0,2.3
Edi Upper (VIC),2012-11-20 16:00:00 +1000,375.613,,26.6,1.52
Edi Upper (VIC),2012-11-20 17:00:00 +1000,225.595,,26.1,0.61
Edi Upper (VIC),2012-11-20 18:00:00 +1000,80.134,,26.6,0.24
Edi Upper (VIC),2012-11-20 19:00:00 +1000,12.833,,26.4,0.11
Edi Upper (VIC),2012-11-20 20:00:00 +1000,0.0,,22.3,0.0
Edi Upper (VIC),2012-11-20 21:00:00 +1000,0.0,,17.7,
Edi Upper (VIC),2012-11-20 22:00:00 +1000,0.0,,14.5,
Edi Upper (VIC),2012-11-21 00:00:00 +1000,0.0,,13.5,
Edi Upper (VIC),2012-11-21 01:00:00 +1000,0.0,,11.6,
Edi Upper (VIC),2012-11-21 02:00:00 +1000,0.0,,11.3,
Edi Upper (VIC),2012-11-21 03:00:00 +1000,0.0,,12.1,
Edi Upper (VIC),2012-11-21 04:00:00 +1000,0.205,,13.0,
Edi Upper (VIC),2012-11-21 05:00:00 +1000,0.0,,12.4,
Edi Upper (VIC),2012-11-21 06:00:00 +1000,15.43,,11.2,0.03
Edi Upper (VIC),2012-11-21 07:00:00 +1000,93.673,,11.7,0.51
Edi Upper (VIC),2012-11-21 08:00:00 +1000,438.915,,19.7,1.65
Edi Upper (VIC),2012-11-21 09:00:00 +1000,624.085,,22.1,2.26
Edi Upper (VIC),2012-11-21 10:00:00 +1000,782.036,,22.3,3.23
Edi Upper (VIC),2012-11-21 11:00:00 +1000,562.451,,25.9,3.01
Edi Upper (VIC),2012-11-21 12:00:00 +1000,693.886,,27.2,2.92
Edi Upper (VIC),2012-11-21 13:00:00 +1000,505.27,,30.1,2.45
Edi Upper (VIC),2012-11-21 14:00:00 +1000,812.827,,30.7,3.44
Edi Upper (VIC),2012-11-21 15:00:00 +1000,624.064,,30.7,3.05
Edi Upper (VIC),2012-11-21 16:00:00 +1000,422.289,,30.1,1.64
