Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Elizabeth Grove (SA),2013-07-12 16:00:00 +1000,56.024,0.0,15.1,0.584
Elizabeth Grove (SA),2013-07-12 17:00:00 +1000,23.25,0.0,14.6,0.195
Elizabeth Grove (SA),2013-07-12 18:00:00 +1000,4.577,0.0,15.0,0.022
Elizabeth Grove (SA),2013-07-12 19:00:00 +1000,1.003,0.0,14.3,
Elizabeth Grove (SA),2013-07-12 20:00:00 +1000,0.992,0.0,14.6,
Elizabeth Grove (SA),2013-07-12 21:00:00 +1000,1.0,0.0,13.8,
Elizabeth Grove (SA),2013-07-12 22:00:00 +1000,1.008,0.0,13.8,
Elizabeth Grove (SA),2013-07-12 23:00:00 +1000,1.003,0.0,14.0,
Elizabeth Grove (SA),2013-07-13 01:00:00 +1000,1.0,0.0,14.2,
Elizabeth Grove (SA),2013-07-13 02:00:00 +1000,1.0,0.0,14.2,
Elizabeth Grove (SA),2013-07-13 03:00:00 +1000,1.0,0.0,14.3,
Elizabeth Grove (SA),2013-07-13 04:00:00 +1000,1.005,0.0,14.3,
Elizabeth Grove (SA),2013-07-13 05:00:00 +1000,1.0,0.0,14.1,
Elizabeth Grove (SA),2013-07-13 06:00:00 +1000,1.0,0.0,14.6,
Elizabeth Grove (SA),2013-07-13 07:00:00 +1000,1.013,0.0,14.3,
Elizabeth Grove (SA),2013-07-13 08:00:00 +1000,3.335,0.0,15.2,0.019
Elizabeth Grove (SA),2013-07-13 09:00:00 +1000,27.827,0.0,15.6,0.255
Elizabeth Grove (SA),2013-07-13 10:00:00 +1000,78.97,0.0,16.5,0.857
Elizabeth Grove (SA),2013-07-13 11:00:00 +1000,121.156,0.0,17.8,1.344
Elizabeth Grove (SA),2013-07-13 12:00:00 +1000,174.585,0.0,17.6,2.034
Elizabeth Grove (SA),2013-07-13 13:00:00 +1000,249.285,0.0,17.0,2.892
Elizabeth Grove (SA),2013-07-13 14:00:00 +1000,151.186,0.0,15.4,1.746
Elizabeth Grove (SA),2013-07-13 15:00:00 +1000,49.821,0.0,15.3,0.508
Elizabeth Grove (SA),2013-07-13 16:00:00 +1000,51.473,0.0,15.1,0.534
Elizabeth Grove (SA),2013-07-13 17:00:00 +1000,38.415,0.0,14.6,0.389
Elizabeth Grove (SA),2013-07-13 18:00:00 +1000,11.782,0.0,14.5,0.119
Elizabeth Grove (SA),2013-07-13 19:00:00 +1000,1.058,0.0,13.9,
Elizabeth Grove (SA),2013-07-13 20:00:00 +1000,1.07,0.0,14.6,
Elizabeth Grove (SA),2013-07-13 21:00:00 +1000,1.035,0.0,14.5,
