Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Katherine (NT),2014-01-25 00:00:00 +1000,0.667,0.0,24.6,
Katherine (NT),2014-01-25 01:00:00 +1000,0.333,0.0,24.6,
Katherine (NT),2014-01-25 02:00:00 +1000,0.75,0.0,24.5,
Katherine (NT),2014-01-25 03:00:00 +1000,0.667,0.0,24.5,
Katherine (NT),2014-01-25 04:00:00 +1000,0.167,0.0,24.5,
Katherine (NT),2014-01-25 05:00:00 +1000,0.417,0.0,24.4,
Katherine (NT),2014-01-25 06:00:00 +1000,0.417,0.0,24.2,
Katherine (NT),2014-01-25 07:00:00 +1000,2.75,0.0,24.6,0.044
Katherine (NT),2014-01-25 08:00:00 +1000,65.583,0.0,26.2,0.56
Katherine (NT),2014-01-25 09:00:00 +1000,289.333,0.0,27.1,2.137
Katherine (NT),2014-01-25 10:00:00 +1000,375.167,0.0,28.5,3.155
Katherine (NT),2014-01-25 11:00:00 +1000,833.667,0.0,29.9,5.57
Katherine (NT),2014-01-25 12:00:00 +1000,932.0,0.0,30.3,5.777
Katherine (NT),2014-01-25 13:00:00 +1000,789.333,0.0,31.9,4.576
Katherine (NT),2014-01-25 14:00:00 +1000,1013.833,0.0,32.9,6.083
Katherine (NT),2014-01-25 15:00:00 +1000,839.417,0.0,33.3,5.225
Katherine (NT),2014-01-25 16:00:00 +1000,708.75,0.0,33.0,4.817
Katherine (NT),2014-01-25 17:00:00 +1000,492.833,0.0,32.1,3.235
Katherine (NT),2014-01-25 18:00:00 +1000,263.667,0.0,32.8,1.901
Katherine (NT),2014-01-25 19:00:00 +1000,97.583,0.0,31.4,0.666
Katherine (NT),2014-01-25 20:00:00 +1000,6.0,0.0,27.5,0.085
Katherine (NT),2014-01-25 21:00:00 +1000,1.0,0.0,26.0,
Katherine (NT),2014-01-25 22:00:00 +1000,1.0,0.0,26.1,
Katherine (NT),2014-01-26 00:00:00 +1000,1.0,0.0,25.4,
Katherine (NT),2014-01-26 01:00:00 +1000,1.0,0.0,25.0,
Katherine (NT),2014-01-26 02:00:00 +1000,1.0,0.0,25.0,
Katherine (NT),2014-01-26 03:00:00 +1000,1.0,0.0,25.1,
Katherine (NT),2014-01-26 04:00:00 +1000,1.0,0.0,25.1,
Katherine (NT),2014-01-26 05:00:00 +1000,1.0,0.0,25.2,
Katherine (NT),2014-01-26 06:00:00 +1000,1.0,0.0,25.0,
Katherine (NT),2014-01-26 07:00:00 +1000,2.667,0.0,25.4,0.028
Katherine (NT),2014-01-26 08:00:00 +1000,83.5,0.0,26.6,0.733
Katherine (NT),2014-01-26 09:00:00 +1000,263.917,0.0,27.9,2.171
Katherine (NT),2014-01-26 10:00:00 +1000,409.667,0.0,29.3,2.99
Katherine (NT),2014-01-26 11:00:00 +1000,711.333,0.0,30.0,4.825
Katherine (NT),2014-01-26 12:00:00 +1000,779.0,0.0,31.2,5.007
Katherine (NT),2014-01-26 13:00:00 +1000,810.917,0.0,31.6,0.0
Katherine (NT),2014-01-26 14:00:00 +1000,927.0,0.0,33.0,0.0
Katherine (NT),2014-01-26 15:00:00 +1000,975.667,0.0,33.8,0.0
Katherine (NT),2014-01-26 16:00:00 +1000,644.25,0.0,32.3,0.0
Katherine (NT),2014-01-26 17:00:00 +1000,263.25,0.0,30.0,0.0
Katherine (NT),2014-01-26 18:00:00 +1000,51.417,0.0,27.1,0.0
Katherine (NT),2014-01-26 19:00:00 +1000,1.833,0.0,26.4,0.0
Katherine (NT),2014-01-26 20:00:00 +1000,1.0,0.0,26.1,
Katherine (NT),2014-01-26 21:00:00 +1000,0.917,0.0,25.9,
Katherine (NT),2014-01-26 22:00:00 +1000,0.917,0.0,25.6,
Katherine (NT),2014-01-27 00:00:00 +1000,0.917,0.0,24.7,
Katherine (NT),2014-01-27 01:00:00 +1000,0.917,0.0,24.9,
Katherine (NT),2014-01-27 02:00:00 +1000,1.0,0.0,25.0,
Katherine (NT),2014-01-27 03:00:00 +1000,1.0,0.0,25.0,
Katherine (NT),2014-01-27 04:00:00 +1000,0.667,0.0,25.0,
Katherine (NT),2014-01-27 05:00:00 +1000,0.75,0.0,24.8,
Katherine (NT),2014-01-27 06:00:00 +1000,0.75,0.0,24.5,
Katherine (NT),2014-01-27 07:00:00 +1000,3.75,0.0,24.7,0.0
Katherine (NT),2014-01-27 08:00:00 +1000,52.917,0.0,25.4,0.0
Katherine (NT),2014-01-27 09:00:00 +1000,235.833,0.0,26.8,0.0
Katherine (NT),2014-01-27 10:00:00 +1000,418.5,0.0,28.6,0.0
Katherine (NT),2014-01-27 11:00:00 +1000,710.417,0.0,29.3,0.0
Katherine (NT),2014-01-27 12:00:00 +1000,623.833,0.0,31.4,0.0
Katherine (NT),2014-01-27 13:00:00 +1000,638.0,0.0,32.3,0.0
Katherine (NT),2014-01-27 14:00:00 +1000,864.167,0.0,33.6,0.0
Katherine (NT),2014-01-27 15:00:00 +1000,835.333,0.0,33.5,0.0
Katherine (NT),2014-01-27 16:00:00 +1000,440.417,0.0,33.9,0.0
Katherine (NT),2014-01-27 17:00:00 +1000,569.417,0.0,33.9,0.0
Katherine (NT),2014-01-27 18:00:00 +1000,196.0,0.0,33.0,0.0
Katherine (NT),2014-01-27 19:00:00 +1000,76.583,0.0,28.0,0.0
Katherine (NT),2014-01-27 20:00:00 +1000,3.417,0.0,26.7,0.0
Katherine (NT),2014-01-27 21:00:00 +1000,0.917,0.0,26.8,
Katherine (NT),2014-01-27 22:00:00 +1000,0.5,0.0,25.5,
Katherine (NT),2014-01-28 00:00:00 +1000,0.75,0.0,25.0,
Katherine (NT),2014-01-28 01:00:00 +1000,0.25,0.0,25.0,
Katherine (NT),2014-01-28 02:00:00 +1000,0.417,0.0,24.8,
Katherine (NT),2014-01-28 03:00:00 +1000,0.333,0.0,24.7,
Katherine (NT),2014-01-28 04:00:00 +1000,0.083,0.0,24.4,
Katherine (NT),2014-01-28 05:00:00 +1000,0.0,0.0,24.5,
Katherine (NT),2014-01-28 06:00:00 +1000,0.167,0.0,24.6,
Katherine (NT),2014-01-28 07:00:00 +1000,2.417,0.0,24.6,0.0
Katherine (NT),2014-01-28 08:00:00 +1000,39.833,0.0,26.1,0.0
Katherine (NT),2014-01-28 09:00:00 +1000,209.083,0.0,28.0,0.0
Katherine (NT),2014-01-28 10:00:00 +1000,452.083,0.0,29.7,0.0
Katherine (NT),2014-01-28 11:00:00 +1000,538.583,0.0,30.3,0.0
