Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Kersbrook (SA),2013-09-18 09:00:00 +1000,477.368,0.0,9.9,5.449
Kersbrook (SA),2013-09-18 10:00:00 +1000,462.883,0.0,9.7,4.815
Kersbrook (SA),2013-09-18 11:00:00 +1000,585.125,0.0,10.4,6.007
Kersbrook (SA),2013-09-18 12:00:00 +1000,524.007,0.0,11.0,5.293
Kersbrook (SA),2013-09-18 13:00:00 +1000,519.562,0.0,9.8,5.335
Kersbrook (SA),2013-09-18 14:00:00 +1000,667.245,0.0,9.3,6.616
Kersbrook (SA),2013-09-18 15:00:00 +1000,396.409,0.0,10.0,4.125
Kersbrook (SA),2013-09-18 16:00:00 +1000,323.424,0.0,9.8,3.491
Kersbrook (SA),2013-09-18 17:00:00 +1000,256.723,0.0,8.1,1.493
Kersbrook (SA),2013-09-18 18:00:00 +1000,40.53,0.0,7.7,0.373
Kersbrook (SA),2013-09-18 19:00:00 +1000,2.348,0.0,7.3,0.056
Kersbrook (SA),2013-09-18 20:00:00 +1000,0.475,0.0,6.9,
Kersbrook (SA),2013-09-18 21:00:00 +1000,0.42,0.0,7.0,
Kersbrook (SA),2013-09-18 22:00:00 +1000,0.547,0.0,6.7,
Kersbrook (SA),2013-09-18 23:00:00 +1000,0.664,0.0,6.4,
Kersbrook (SA),2013-09-19 01:00:00 +1000,0.62,0.0,6.1,
Kersbrook (SA),2013-09-19 02:00:00 +1000,0.607,0.0,6.2,
Kersbrook (SA),2013-09-19 03:00:00 +1000,0.299,0.0,5.9,
Kersbrook (SA),2013-09-19 04:00:00 +1000,0.623,0.0,5.4,
Kersbrook (SA),2013-09-19 05:00:00 +1000,0.817,0.0,5.1,
Kersbrook (SA),2013-09-19 06:00:00 +1000,0.738,0.0,5.7,
Kersbrook (SA),2013-09-19 07:00:00 +1000,8.644,0.0,6.7,0.234
Kersbrook (SA),2013-09-19 08:00:00 +1000,74.742,0.0,8.3,1.811
Kersbrook (SA),2013-09-19 09:00:00 +1000,419.207,0.0,9.4,6.204
Kersbrook (SA),2013-09-19 10:00:00 +1000,731.607,0.0,10.3,7.521
Kersbrook (SA),2013-09-19 11:00:00 +1000,911.162,0.0,11.6,8.846
Kersbrook (SA),2013-09-19 12:00:00 +1000,1118.351,0.0,12.2,10.322
Kersbrook (SA),2013-09-19 13:00:00 +1000,1176.306,0.0,13.3,10.687
Kersbrook (SA),2013-09-19 14:00:00 +1000,1007.296,0.0,13.2,9.321
Kersbrook (SA),2013-09-19 15:00:00 +1000,631.805,0.0,12.7,5.932
Kersbrook (SA),2013-09-19 16:00:00 +1000,132.184,0.0,12.2,1.487
Kersbrook (SA),2013-09-19 17:00:00 +1000,25.743,0.0,8.8,0.315
Kersbrook (SA),2013-09-19 18:00:00 +1000,3.602,0.0,8.7,0.044
Kersbrook (SA),2013-09-19 19:00:00 +1000,0.578,0.0,8.8,0.002
Kersbrook (SA),2013-09-19 20:00:00 +1000,0.162,0.0,8.5,
Kersbrook (SA),2013-09-19 21:00:00 +1000,0.714,0.0,8.6,
Kersbrook (SA),2013-09-19 22:00:00 +1000,0.78,0.0,8.3,
Kersbrook (SA),2013-09-19 23:00:00 +1000,0.701,0.0,8.0,
Kersbrook (SA),2013-09-20 01:00:00 +1000,0.929,0.0,7.9,
Kersbrook (SA),2013-09-20 02:00:00 +1000,0.82,0.0,7.9,
Kersbrook (SA),2013-09-20 03:00:00 +1000,0.816,0.0,7.7,
Kersbrook (SA),2013-09-20 04:00:00 +1000,0.68,0.0,7.6,
Kersbrook (SA),2013-09-20 05:00:00 +1000,0.656,0.0,7.7,
Kersbrook (SA),2013-09-20 06:00:00 +1000,0.518,0.0,8.0,
Kersbrook (SA),2013-09-20 07:00:00 +1000,6.515,0.0,8.7,0.13
Kersbrook (SA),2013-09-20 08:00:00 +1000,75.735,0.0,10.5,1.122
Kersbrook (SA),2013-09-20 09:00:00 +1000,407.848,0.0,11.3,4.966
Kersbrook (SA),2013-09-20 10:00:00 +1000,631.851,0.0,11.8,6.53
Kersbrook (SA),2013-09-20 11:00:00 +1000,800.038,0.0,12.4,7.802
Kersbrook (SA),2013-09-20 12:00:00 +1000,809.706,0.0,13.1,7.748
Kersbrook (SA),2013-09-20 13:00:00 +1000,666.344,0.0,13.1,6.276
Kersbrook (SA),2013-09-20 14:00:00 +1000,664.343,0.0,12.9,6.342
Kersbrook (SA),2013-09-20 15:00:00 +1000,706.119,0.0,13.6,6.841
Kersbrook (SA),2013-09-20 16:00:00 +1000,594.736,0.0,12.1,5.887
Kersbrook (SA),2013-09-20 17:00:00 +1000,229.977,0.0,11.3,1.895
Kersbrook (SA),2013-09-20 18:00:00 +1000,70.319,0.0,10.6,0.664
Kersbrook (SA),2013-09-20 19:00:00 +1000,2.965,0.0,10.5,0.064
Kersbrook (SA),2013-09-20 20:00:00 +1000,0.288,0.0,10.7,
Kersbrook (SA),2013-09-20 21:00:00 +1000,0.761,0.0,10.5,
Kersbrook (SA),2013-09-20 22:00:00 +1000,0.692,0.0,10.7,
Kersbrook (SA),2013-09-20 23:00:00 +1000,0.601,0.0,10.5,
Kersbrook (SA),2013-09-21 01:00:00 +1000,0.534,0.0,10.6,
Kersbrook (SA),2013-09-21 02:00:00 +1000,0.157,0.0,10.7,
Kersbrook (SA),2013-09-21 03:00:00 +1000,0.144,0.0,10.1,
Kersbrook (SA),2013-09-21 04:00:00 +1000,0.123,0.0,10.1,
Kersbrook (SA),2013-09-21 05:00:00 +1000,0.34,0.0,10.3,
Kersbrook (SA),2013-09-21 06:00:00 +1000,0.141,0.0,12.9,
Kersbrook (SA),2013-09-21 07:00:00 +1000,4.467,0.0,14.7,0.122
Kersbrook (SA),2013-09-21 08:00:00 +1000,80.788,0.0,15.8,2.134
Kersbrook (SA),2013-09-21 09:00:00 +1000,434.186,0.0,16.3,6.191
Kersbrook (SA),2013-09-21 10:00:00 +1000,711.458,0.0,15.8,7.111
Kersbrook (SA),2013-09-21 11:00:00 +1000,671.339,0.0,17.7,6.581
Kersbrook (SA),2013-09-21 12:00:00 +1000,591.368,0.0,18.4,5.748
Kersbrook (SA),2013-09-21 13:00:00 +1000,1152.231,0.0,18.6,9.958
Kersbrook (SA),2013-09-21 14:00:00 +1000,1117.843,0.0,18.9,9.734
Kersbrook (SA),2013-09-21 15:00:00 +1000,923.574,0.0,19.6,8.539
Kersbrook (SA),2013-09-21 16:00:00 +1000,682.813,0.0,19.0,6.749
Kersbrook (SA),2013-09-21 17:00:00 +1000,288.614,0.0,18.0,1.786
Kersbrook (SA),2013-09-21 18:00:00 +1000,57.303,0.0,18.0,0.371
Kersbrook (SA),2013-09-21 19:00:00 +1000,2.239,0.0,17.6,0.037
Kersbrook (SA),2013-09-21 20:00:00 +1000,0.067,0.0,15.5,
Kersbrook (SA),2013-09-21 21:00:00 +1000,0.046,0.0,14.6,
Kersbrook (SA),2013-09-21 22:00:00 +1000,0.016,0.0,13.5,
Kersbrook (SA),2013-09-21 23:00:00 +1000,0.005,0.0,12.6,
Kersbrook (SA),2013-09-22 01:00:00 +1000,0.083,0.0,10.4,
Kersbrook (SA),2013-09-22 02:00:00 +1000,0.154,0.0,10.4,
Kersbrook (SA),2013-09-22 03:00:00 +1000,0.29,0.0,10.4,
Kersbrook (SA),2013-09-22 04:00:00 +1000,0.309,0.0,10.1,
Kersbrook (SA),2013-09-22 05:00:00 +1000,0.082,0.0,10.1,
Kersbrook (SA),2013-09-22 06:00:00 +1000,0.072,0.0,10.0,
Kersbrook (SA),2013-09-22 07:00:00 +1000,4.969,0.0,10.3,0.106
Kersbrook (SA),2013-09-22 08:00:00 +1000,98.733,0.0,12.1,1.431
Kersbrook (SA),2013-09-22 09:00:00 +1000,451.197,0.0,13.4,5.648
Kersbrook (SA),2013-09-22 10:00:00 +1000,876.689,0.0,14.5,8.764
Kersbrook (SA),2013-09-22 11:00:00 +1000,1138.444,0.0,15.6,10.457
Kersbrook (SA),2013-09-22 12:00:00 +1000,1122.6,0.0,16.4,10.015
Kersbrook (SA),2013-09-22 13:00:00 +1000,1200.423,0.0,17.1,10.7
Kersbrook (SA),2013-09-22 14:00:00 +1000,1125.155,0.0,17.1,10.122
Kersbrook (SA),2013-09-22 15:00:00 +1000,951.946,0.0,17.7,8.856
Kersbrook (SA),2013-09-22 16:00:00 +1000,692.01,0.0,17.0,6.898
Kersbrook (SA),2013-09-22 17:00:00 +1000,367.243,0.0,16.0,2.196
Kersbrook (SA),2013-09-22 18:00:00 +1000,49.012,0.0,15.3,0.251
Kersbrook (SA),2013-09-22 19:00:00 +1000,2.442,0.0,15.6,0.028
Kersbrook (SA),2013-09-22 20:00:00 +1000,0.524,0.0,16.7,
Kersbrook (SA),2013-09-22 21:00:00 +1000,0.328,0.0,17.0,
Kersbrook (SA),2013-09-22 22:00:00 +1000,0.749,0.0,17.6,
Kersbrook (SA),2013-09-22 23:00:00 +1000,0.892,0.0,17.3,
Kersbrook (SA),2013-09-23 01:00:00 +1000,0.529,0.0,17.8,
Kersbrook (SA),2013-09-23 02:00:00 +1000,0.234,0.0,16.6,
Kersbrook (SA),2013-09-23 03:00:00 +1000,0.166,0.0,18.4,
Kersbrook (SA),2013-09-23 04:00:00 +1000,0.439,0.0,20.8,
Kersbrook (SA),2013-09-23 05:00:00 +1000,0.083,0.0,20.3,
Kersbrook (SA),2013-09-23 06:00:00 +1000,0.147,0.0,20.2,
Kersbrook (SA),2013-09-23 07:00:00 +1000,3.288,0.0,19.4,0.065
Kersbrook (SA),2013-09-23 08:00:00 +1000,83.676,0.0,19.8,0.994
Kersbrook (SA),2013-09-23 09:00:00 +1000,505.759,0.0,20.4,5.732
Kersbrook (SA),2013-09-23 10:00:00 +1000,722.61,0.0,20.6,7.241
Kersbrook (SA),2013-09-23 11:00:00 +1000,535.151,0.0,22.0,5.495
Kersbrook (SA),2013-09-23 12:00:00 +1000,645.348,0.0,23.3,6.301
Kersbrook (SA),2013-09-23 13:00:00 +1000,769.135,0.0,19.8,7.322
Kersbrook (SA),2013-09-23 14:00:00 +1000,1043.211,0.0,17.1,9.224
Kersbrook (SA),2013-09-23 15:00:00 +1000,680.015,0.0,15.2,6.547
Kersbrook (SA),2013-09-23 16:00:00 +1000,392.211,0.0,14.3,4.035
Kersbrook (SA),2013-09-23 17:00:00 +1000,262.37,0.0,12.7,1.572
Kersbrook (SA),2013-09-23 18:00:00 +1000,48.088,0.0,11.5,0.313
Kersbrook (SA),2013-09-23 19:00:00 +1000,1.769,0.0,11.4,0.037
Kersbrook (SA),2013-09-23 20:00:00 +1000,0.005,0.0,11.3,
Kersbrook (SA),2013-09-23 21:00:00 +1000,0.0,0.0,11.2,
Kersbrook (SA),2013-09-23 22:00:00 +1000,0.01,0.0,12.2,
Kersbrook (SA),2013-09-23 23:00:00 +1000,0.0,0.0,12.5,
Kersbrook (SA),2013-09-24 01:00:00 +1000,0.0,0.0,11.7,
Kersbrook (SA),2013-09-24 02:00:00 +1000,0.016,0.0,11.5,
Kersbrook (SA),2013-09-24 03:00:00 +1000,0.0,0.0,11.4,
Kersbrook (SA),2013-09-24 04:00:00 +1000,0.005,0.0,11.3,
Kersbrook (SA),2013-09-24 05:00:00 +1000,0.021,0.0,11.2,
Kersbrook (SA),2013-09-24 06:00:00 +1000,0.008,0.0,11.8,
Kersbrook (SA),2013-09-24 07:00:00 +1000,10.422,0.0,13.1,0.165
Kersbrook (SA),2013-09-24 08:00:00 +1000,163.699,0.0,14.0,2.086
Kersbrook (SA),2013-09-24 09:00:00 +1000,364.495,0.0,16.0,4.133
Kersbrook (SA),2013-09-24 10:00:00 +1000,583.687,0.0,17.2,5.817
Kersbrook (SA),2013-09-24 11:00:00 +1000,837.525,0.0,18.7,7.713
Kersbrook (SA),2013-09-24 12:00:00 +1000,1161.196,0.0,19.3,10.316
Kersbrook (SA),2013-09-24 13:00:00 +1000,1184.065,0.0,21.1,10.324
Kersbrook (SA),2013-09-24 14:00:00 +1000,990.485,0.0,20.7,8.673
Kersbrook (SA),2013-09-24 15:00:00 +1000,666.06,0.0,21.2,6.263
Kersbrook (SA),2013-09-24 16:00:00 +1000,646.308,0.0,20.8,6.246
Kersbrook (SA),2013-09-24 17:00:00 +1000,275.973,0.0,19.4,1.968
Kersbrook (SA),2013-09-24 18:00:00 +1000,45.25,0.0,18.4,0.428
Kersbrook (SA),2013-09-24 19:00:00 +1000,2.246,0.0,17.4,0.054
Kersbrook (SA),2013-09-24 20:00:00 +1000,0.0,0.0,16.0,
Kersbrook (SA),2013-09-24 21:00:00 +1000,0.0,0.0,15.1,
Kersbrook (SA),2013-09-24 22:00:00 +1000,0.0,0.0,14.0,
Kersbrook (SA),2013-09-24 23:00:00 +1000,0.0,0.0,13.3,
Kersbrook (SA),2013-09-25 01:00:00 +1000,0.0,0.0,12.1,
Kersbrook (SA),2013-09-25 02:00:00 +1000,0.008,0.0,11.6,
Kersbrook (SA),2013-09-25 03:00:00 +1000,0.026,0.0,11.1,
Kersbrook (SA),2013-09-25 04:00:00 +1000,0.003,0.0,10.5,
Kersbrook (SA),2013-09-25 05:00:00 +1000,0.149,0.0,10.5,
Kersbrook (SA),2013-09-25 06:00:00 +1000,0.101,0.0,10.8,
Kersbrook (SA),2013-09-25 07:00:00 +1000,14.209,0.0,12.6,0.379
Kersbrook (SA),2013-09-25 08:00:00 +1000,166.815,0.0,13.9,2.464
Kersbrook (SA),2013-09-25 09:00:00 +1000,441.284,0.0,15.0,5.063
Kersbrook (SA),2013-09-25 10:00:00 +1000,661.015,0.0,16.2,6.701
Kersbrook (SA),2013-09-25 11:00:00 +1000,974.415,0.0,16.6,9.069
Kersbrook (SA),2013-09-25 12:00:00 +1000,971.947,0.0,18.2,8.709
Kersbrook (SA),2013-09-25 13:00:00 +1000,899.491,0.0,17.1,8.006
Kersbrook (SA),2013-09-25 14:00:00 +1000,574.873,0.0,18.9,5.38
Kersbrook (SA),2013-09-25 15:00:00 +1000,212.101,0.0,16.8,2.29
Kersbrook (SA),2013-09-25 16:00:00 +1000,350.031,0.0,15.9,3.49
Kersbrook (SA),2013-09-25 17:00:00 +1000,54.25,0.0,15.0,0.646
