Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Killarney Heights (NSW),2012-12-31 23:00:00 +1000,0.0,22.198,,0.0
Killarney Heights (NSW),2013-01-01 00:00:00 +1000,0.0,21.426,,0.0
Killarney Heights (NSW),2013-01-01 01:00:00 +1000,0.0,20.733,,0.0
Killarney Heights (NSW),2013-01-01 02:00:00 +1000,0.0,20.471,,0.0
Killarney Heights (NSW),2013-01-01 03:00:00 +1000,0.0,20.24,,0.0
Killarney Heights (NSW),2013-01-01 04:00:00 +1000,0.0,19.581,,0.0
Killarney Heights (NSW),2013-01-01 05:00:00 +1000,0.0,19.108,,0.05
Killarney Heights (NSW),2013-01-01 06:00:00 +1000,4.294,18.886,,0.39
Killarney Heights (NSW),2013-01-01 07:00:00 +1000,17.593,19.12,,1.6
Killarney Heights (NSW),2013-01-01 08:00:00 +1000,53.455,21.163,,2.84
Killarney Heights (NSW),2013-01-01 09:00:00 +1000,105.855,23.119,,3.58
Killarney Heights (NSW),2013-01-01 10:00:00 +1000,159.022,25.065,,4.06
Killarney Heights (NSW),2013-01-01 11:00:00 +1000,202.44,25.859,,4.31
Killarney Heights (NSW),2013-01-01 12:00:00 +1000,224.646,27.676,,4.32
Killarney Heights (NSW),2013-01-01 13:00:00 +1000,221.101,27.452,,3.43
Killarney Heights (NSW),2013-01-01 14:00:00 +1000,159.998,26.711,,3.43
Killarney Heights (NSW),2013-01-01 15:00:00 +1000,141.753,26.688,,2.82
Killarney Heights (NSW),2013-01-01 16:00:00 +1000,98.124,26.537,,1.79
Killarney Heights (NSW),2013-01-01 17:00:00 +1000,48.765,24.792,,0.54
Killarney Heights (NSW),2013-01-01 18:00:00 +1000,10.39,23.803,,0.08
Killarney Heights (NSW),2013-01-01 19:00:00 +1000,6.105,23.117,,0.0
Killarney Heights (NSW),2013-01-01 20:00:00 +1000,0.609,22.126,,0.0
Killarney Heights (NSW),2013-01-01 21:00:00 +1000,0.0,20.957,,0.0
Killarney Heights (NSW),2013-01-01 22:00:00 +1000,0.0,20.375,,0.0
Killarney Heights (NSW),2013-01-01 23:00:00 +1000,0.0,20.18,,0.0
Killarney Heights (NSW),2013-01-02 00:00:00 +1000,0.0,19.91,,0.0
Killarney Heights (NSW),2013-01-02 01:00:00 +1000,0.211,19.909,,0.0
Killarney Heights (NSW),2013-01-02 02:00:00 +1000,0.0,19.662,,0.0
Killarney Heights (NSW),2013-01-02 03:00:00 +1000,0.0,19.535,,0.0
Killarney Heights (NSW),2013-01-02 04:00:00 +1000,0.003,19.197,,0.0
Killarney Heights (NSW),2013-01-02 05:00:00 +1000,0.0,19.083,,0.06
Killarney Heights (NSW),2013-01-02 06:00:00 +1000,3.108,19.095,,0.25
Killarney Heights (NSW),2013-01-02 07:00:00 +1000,11.471,19.281,,0.5
Killarney Heights (NSW),2013-01-02 08:00:00 +1000,21.193,19.69,,0.71
Killarney Heights (NSW),2013-01-02 09:00:00 +1000,28.811,20.493,,1.29
Killarney Heights (NSW),2013-01-02 10:00:00 +1000,51.658,20.738,,1.72
Killarney Heights (NSW),2013-01-02 11:00:00 +1000,70.413,21.484,,3.18
Killarney Heights (NSW),2013-01-02 12:00:00 +1000,144.915,22.206,,1.95
Killarney Heights (NSW),2013-01-02 13:00:00 +1000,82.942,21.504,,0.89
Killarney Heights (NSW),2013-01-02 14:00:00 +1000,36.753,19.984,,1.24
Killarney Heights (NSW),2013-01-02 15:00:00 +1000,49.556,19.746,,1.16
Killarney Heights (NSW),2013-01-02 16:00:00 +1000,46.847,19.612,,0.36
Killarney Heights (NSW),2013-01-02 17:00:00 +1000,16.42,18.908,,0.14
Killarney Heights (NSW),2013-01-02 18:00:00 +1000,7.6,18.596,,0.04
Killarney Heights (NSW),2013-01-02 19:00:00 +1000,3.334,18.13,,0.0
Killarney Heights (NSW),2013-01-02 20:00:00 +1000,0.0,17.463,,0.0
Killarney Heights (NSW),2013-01-02 21:00:00 +1000,0.0,17.419,,0.0
Killarney Heights (NSW),2013-01-02 22:00:00 +1000,0.0,17.489,,0.0
Killarney Heights (NSW),2013-01-02 23:00:00 +1000,0.0,17.353,,0.0
Killarney Heights (NSW),2013-01-03 00:00:00 +1000,0.0,16.892,,0.0
Killarney Heights (NSW),2013-01-03 01:00:00 +1000,0.0,16.817,,0.0
Killarney Heights (NSW),2013-01-03 02:00:00 +1000,0.0,17.181,,0.0
Killarney Heights (NSW),2013-01-03 03:00:00 +1000,0.0,17.526,,0.0
Killarney Heights (NSW),2013-01-03 04:00:00 +1000,0.0,17.504,,0.0
Killarney Heights (NSW),2013-01-03 05:00:00 +1000,0.0,17.543,,0.08
Killarney Heights (NSW),2013-01-03 06:00:00 +1000,4.387,17.886,,0.53
Killarney Heights (NSW),2013-01-03 07:00:00 +1000,22.033,19.096,,1.05
Killarney Heights (NSW),2013-01-03 08:00:00 +1000,42.021,20.017,,2.18
Killarney Heights (NSW),2013-01-03 09:00:00 +1000,86.345,21.18,,3.15
Killarney Heights (NSW),2013-01-03 10:00:00 +1000,138.089,22.975,,3.03
Killarney Heights (NSW),2013-01-03 11:00:00 +1000,140.69,23.79,,3.97
Killarney Heights (NSW),2013-01-03 12:00:00 +1000,195.207,24.674,,3.85
Killarney Heights (NSW),2013-01-03 13:00:00 +1000,194.768,24.716,,3.73
Killarney Heights (NSW),2013-01-03 14:00:00 +1000,178.575,25.778,,3.59
Killarney Heights (NSW),2013-01-03 15:00:00 +1000,154.223,25.731,,2.83
Killarney Heights (NSW),2013-01-03 16:00:00 +1000,101.092,25.384,,1.81
Killarney Heights (NSW),2013-01-03 17:00:00 +1000,50.927,24.222,,0.54
Killarney Heights (NSW),2013-01-03 18:00:00 +1000,9.947,22.495,,0.07
Killarney Heights (NSW),2013-01-03 19:00:00 +1000,6.106,21.047,,0.0
Killarney Heights (NSW),2013-01-03 20:00:00 +1000,0.849,20.12,,0.0
Killarney Heights (NSW),2013-01-03 21:00:00 +1000,0.0,19.364,,0.0
Killarney Heights (NSW),2013-01-03 22:00:00 +1000,0.0,19.083,,0.0
Killarney Heights (NSW),2013-01-03 23:00:00 +1000,0.0,18.747,,0.0
Killarney Heights (NSW),2013-01-04 00:00:00 +1000,0.0,18.414,,0.0
Killarney Heights (NSW),2013-01-04 01:00:00 +1000,0.0,17.986,,0.0
Killarney Heights (NSW),2013-01-04 02:00:00 +1000,0.0,17.473,,0.0
Killarney Heights (NSW),2013-01-04 03:00:00 +1000,0.0,16.859,,0.0
Killarney Heights (NSW),2013-01-04 04:00:00 +1000,0.0,16.48,,0.0
Killarney Heights (NSW),2013-01-04 05:00:00 +1000,0.01,16.127,,0.07
Killarney Heights (NSW),2013-01-04 06:00:00 +1000,5.319,16.289,,0.75
Killarney Heights (NSW),2013-01-04 07:00:00 +1000,23.165,18.816,,1.91
Killarney Heights (NSW),2013-01-04 08:00:00 +1000,58.117,22.564,,2.9
