Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Launceston (TAS),2013-02-19 11:00:00 +1000,407.281,0.0,21.3,7.621
Launceston (TAS),2013-02-19 12:00:00 +1000,411.093,0.0,22.8,6.864
Launceston (TAS),2013-02-19 13:00:00 +1000,474.171,0.0,23.1,7.565
Launceston (TAS),2013-02-19 14:00:00 +1000,185.542,0.0,19.3,3.749
Launceston (TAS),2013-02-19 15:00:00 +1000,510.957,23.105,18.1,8.78
Launceston (TAS),2013-02-19 16:00:00 +1000,217.072,20.28,18.0,3.896
Launceston (TAS),2013-02-19 17:00:00 +1000,155.537,19.731,17.9,2.809
Launceston (TAS),2013-02-19 18:00:00 +1000,76.538,18.844,18.3,1.349
Launceston (TAS),2013-02-19 19:00:00 +1000,31.461,18.035,18.2,0.485
Launceston (TAS),2013-02-19 20:00:00 +1000,3.21,16.73,17.2,0.024
Launceston (TAS),2013-02-19 21:00:00 +1000,0.883,16.026,16.4,
Launceston (TAS),2013-02-19 22:00:00 +1000,0.54,15.696,16.2,
Launceston (TAS),2013-02-20 00:00:00 +1000,0.5,15.067,15.5,
Launceston (TAS),2013-02-20 01:00:00 +1000,0.784,14.583,15.3,
Launceston (TAS),2013-02-20 02:00:00 +1000,0.472,14.343,15.0,
Launceston (TAS),2013-02-20 03:00:00 +1000,0.047,13.394,14.3,
Launceston (TAS),2013-02-20 04:00:00 +1000,0.322,13.092,13.6,
Launceston (TAS),2013-02-20 05:00:00 +1000,0.168,12.175,13.2,
Launceston (TAS),2013-02-20 06:00:00 +1000,1.74,11.042,12.7,0.002
Launceston (TAS),2013-02-20 07:00:00 +1000,30.287,10.79,11.3,1.041
Launceston (TAS),2013-02-20 08:00:00 +1000,242.465,17.626,13.7,5.312
Launceston (TAS),2013-02-20 09:00:00 +1000,715.669,21.478,15.2,10.277
Launceston (TAS),2013-02-20 10:00:00 +1000,866.934,23.472,16.9,14.002
Launceston (TAS),2013-02-20 11:00:00 +1000,1058.673,26.33,18.2,16.389
Launceston (TAS),2013-02-20 12:00:00 +1000,1165.012,28.662,19.8,16.987
Launceston (TAS),2013-02-20 13:00:00 +1000,1181.082,29.181,22.4,16.98
Launceston (TAS),2013-02-20 14:00:00 +1000,1092.862,29.561,22.4,16.649
Launceston (TAS),2013-02-20 15:00:00 +1000,935.737,31.572,24.0,14.906
Launceston (TAS),2013-02-20 16:00:00 +1000,706.788,30.611,23.8,12.062
Launceston (TAS),2013-02-20 17:00:00 +1000,318.079,27.852,24.6,6.115
Launceston (TAS),2013-02-20 18:00:00 +1000,91.415,24.062,23.7,2.113
Launceston (TAS),2013-02-20 19:00:00 +1000,36.19,21.949,21.7,0.662
Launceston (TAS),2013-02-20 20:00:00 +1000,6.63,17.878,19.6,0.076
Launceston (TAS),2013-02-20 21:00:00 +1000,0.894,15.407,17.6,
Launceston (TAS),2013-02-20 22:00:00 +1000,0.981,11.832,16.6,
Launceston (TAS),2013-02-21 00:00:00 +1000,1.005,10.339,14.0,
Launceston (TAS),2013-02-21 01:00:00 +1000,1.052,7.35,11.9,
Launceston (TAS),2013-02-21 02:00:00 +1000,1.152,6.899,10.8,
Launceston (TAS),2013-02-21 03:00:00 +1000,1.269,6.394,10.8,
Launceston (TAS),2013-02-21 04:00:00 +1000,1.561,5.64,10.3,
Launceston (TAS),2013-02-21 05:00:00 +1000,1.08,5.468,9.1,
Launceston (TAS),2013-02-21 06:00:00 +1000,1.731,5.031,8.5,0.0
Launceston (TAS),2013-02-21 07:00:00 +1000,22.643,6.47,8.9,1.108
Launceston (TAS),2013-02-21 08:00:00 +1000,163.795,15.016,11.1,5.319
Launceston (TAS),2013-02-21 09:00:00 +1000,701.164,21.272,14.6,9.811
Launceston (TAS),2013-02-21 10:00:00 +1000,853.898,24.883,17.5,13.393
Launceston (TAS),2013-02-21 11:00:00 +1000,1037.059,27.745,19.3,15.743
Launceston (TAS),2013-02-21 12:00:00 +1000,1140.994,30.277,21.5,16.702
Launceston (TAS),2013-02-21 13:00:00 +1000,1109.884,31.713,22.5,15.692
Launceston (TAS),2013-02-21 14:00:00 +1000,1066.265,30.737,25.4,15.902
Launceston (TAS),2013-02-21 15:00:00 +1000,926.492,31.262,25.3,14.546
Launceston (TAS),2013-02-21 16:00:00 +1000,690.716,31.211,25.9,11.678
Launceston (TAS),2013-02-21 17:00:00 +1000,404.038,30.385,26.1,7.749
Launceston (TAS),2013-02-21 18:00:00 +1000,139.433,26.442,25.6,3.313
Launceston (TAS),2013-02-21 19:00:00 +1000,38.561,23.292,24.1,0.665
Launceston (TAS),2013-02-21 20:00:00 +1000,5.575,19.738,21.9,0.052
Launceston (TAS),2013-02-21 21:00:00 +1000,0.82,17.598,19.1,
Launceston (TAS),2013-02-21 22:00:00 +1000,0.792,14.944,16.9,
Launceston (TAS),2013-02-22 00:00:00 +1000,0.775,13.998,14.9,
Launceston (TAS),2013-02-22 01:00:00 +1000,0.401,13.073,15.3,
Launceston (TAS),2013-02-22 02:00:00 +1000,0.715,10.43,14.1,
Launceston (TAS),2013-02-22 03:00:00 +1000,0.981,9.044,12.4,
Launceston (TAS),2013-02-22 04:00:00 +1000,0.953,9.336,12.5,
Launceston (TAS),2013-02-22 05:00:00 +1000,0.995,8.621,12.0,
Launceston (TAS),2013-02-22 06:00:00 +1000,1.589,7.958,12.0,0.0
Launceston (TAS),2013-02-22 07:00:00 +1000,27.428,10.496,11.7,0.998
Launceston (TAS),2013-02-22 08:00:00 +1000,216.358,17.69,13.4,4.948
Launceston (TAS),2013-02-22 09:00:00 +1000,730.451,24.402,17.1,9.576
Launceston (TAS),2013-02-22 10:00:00 +1000,712.141,26.258,19.9,11.304
Launceston (TAS),2013-02-22 11:00:00 +1000,794.698,28.879,22.3,12.357
Launceston (TAS),2013-02-22 12:00:00 +1000,1084.034,32.284,22.8,15.874
Launceston (TAS),2013-02-22 13:00:00 +1000,1144.016,32.128,24.8,16.475
Launceston (TAS),2013-02-22 14:00:00 +1000,1074.628,33.936,26.8,15.949
Launceston (TAS),2013-02-22 15:00:00 +1000,895.587,32.795,27.6,13.849
Launceston (TAS),2013-02-22 16:00:00 +1000,550.76,30.235,27.4,9.385
Launceston (TAS),2013-02-22 17:00:00 +1000,393.382,29.152,25.8,7.311
Launceston (TAS),2013-02-22 18:00:00 +1000,88.396,24.542,25.0,1.596
Launceston (TAS),2013-02-22 19:00:00 +1000,42.25,22.643,23.2,0.732
Launceston (TAS),2013-02-22 20:00:00 +1000,4.204,20.338,22.3,0.031
Launceston (TAS),2013-02-22 21:00:00 +1000,0.984,19.425,21.1,
Launceston (TAS),2013-02-22 22:00:00 +1000,0.967,20.067,20.6,
