Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Mackay (QLD),2013-04-09 11:00:00 +1000,385.531,23.876,23.1,6.279
Mackay (QLD),2013-04-09 12:00:00 +1000,471.544,25.068,24.6,6.244
Mackay (QLD),2013-04-09 13:00:00 +1000,254.26,22.463,22.2,3.548
Mackay (QLD),2013-04-09 14:00:00 +1000,142.225,22.5,21.5,1.876
Mackay (QLD),2013-04-09 15:00:00 +1000,100.142,21.519,21.8,1.213
Mackay (QLD),2013-04-09 16:00:00 +1000,77.796,21.169,22.1,0.944
Mackay (QLD),2013-04-09 17:00:00 +1000,48.888,21.42,22.2,0.603
Mackay (QLD),2013-04-09 18:00:00 +1000,19.586,21.259,21.4,0.208
Mackay (QLD),2013-04-09 19:00:00 +1000,0.955,21.292,22.2,0.0
Mackay (QLD),2013-04-09 20:00:00 +1000,0.014,22.061,22.4,
Mackay (QLD),2013-04-09 21:00:00 +1000,0.0,21.124,22.7,
Mackay (QLD),2013-04-09 22:00:00 +1000,0.005,21.899,22.5,
Mackay (QLD),2013-04-09 23:00:00 +1000,0.0,22.714,23.3,
Mackay (QLD),2013-04-10 01:00:00 +1000,0.0,22.702,21.5,
Mackay (QLD),2013-04-10 02:00:00 +1000,0.0,22.308,21.2,
Mackay (QLD),2013-04-10 03:00:00 +1000,0.0,21.369,20.7,
Mackay (QLD),2013-04-10 04:00:00 +1000,0.005,20.848,20.9,
Mackay (QLD),2013-04-10 05:00:00 +1000,0.024,20.543,21.1,
Mackay (QLD),2013-04-10 06:00:00 +1000,0.0,20.915,20.8,
Mackay (QLD),2013-04-10 07:00:00 +1000,1.486,21.18,21.3,0.0
Mackay (QLD),2013-04-10 08:00:00 +1000,17.159,20.527,21.3,0.155
Mackay (QLD),2013-04-10 09:00:00 +1000,71.706,20.852,21.1,0.909
Mackay (QLD),2013-04-10 10:00:00 +1000,81.453,20.889,20.8,1.006
Mackay (QLD),2013-04-10 11:00:00 +1000,81.885,20.557,22.2,0.984
Mackay (QLD),2013-04-10 12:00:00 +1000,170.926,20.52,22.6,2.303
Mackay (QLD),2013-04-10 13:00:00 +1000,217.738,22.386,21.5,2.927
Mackay (QLD),2013-04-10 14:00:00 +1000,161.448,22.137,22.3,2.066
Mackay (QLD),2013-04-10 15:00:00 +1000,107.478,20.716,20.5,1.39
Mackay (QLD),2013-04-10 16:00:00 +1000,124.584,22.12,20.2,1.596
Mackay (QLD),2013-04-10 17:00:00 +1000,30.675,20.172,21.1,0.32
Mackay (QLD),2013-04-10 18:00:00 +1000,15.677,20.152,21.6,0.135
Mackay (QLD),2013-04-10 19:00:00 +1000,0.593,20.609,20.8,0.0
Mackay (QLD),2013-04-10 20:00:00 +1000,0.194,21.19,21.7,
Mackay (QLD),2013-04-10 21:00:00 +1000,0.002,21.56,20.5,
Mackay (QLD),2013-04-10 22:00:00 +1000,0.0,21.881,20.7,
Mackay (QLD),2013-04-10 23:00:00 +1000,0.003,21.073,21.1,
Mackay (QLD),2013-04-11 01:00:00 +1000,0.0,21.874,19.9,
Mackay (QLD),2013-04-11 02:00:00 +1000,0.0,21.136,20.3,
Mackay (QLD),2013-04-11 03:00:00 +1000,0.0,19.999,21.5,
Mackay (QLD),2013-04-11 04:00:00 +1000,0.0,20.477,21.1,
Mackay (QLD),2013-04-11 05:00:00 +1000,0.0,21.361,21.8,
Mackay (QLD),2013-04-11 06:00:00 +1000,0.0,21.101,20.8,
Mackay (QLD),2013-04-11 07:00:00 +1000,1.922,21.245,20.6,0.017
Mackay (QLD),2013-04-11 08:00:00 +1000,17.371,20.764,21.6,0.161
Mackay (QLD),2013-04-11 09:00:00 +1000,78.694,20.777,21.7,1.024
Mackay (QLD),2013-04-11 10:00:00 +1000,133.988,21.887,22.1,1.74
Mackay (QLD),2013-04-11 11:00:00 +1000,142.991,21.584,23.4,1.862
Mackay (QLD),2013-04-11 12:00:00 +1000,336.443,22.58,22.1,4.636
Mackay (QLD),2013-04-11 13:00:00 +1000,503.666,23.971,21.8,6.848
Mackay (QLD),2013-04-11 14:00:00 +1000,253.145,22.618,22.1,3.404
Mackay (QLD),2013-04-11 15:00:00 +1000,87.386,21.166,22.0,1.095
Mackay (QLD),2013-04-11 16:00:00 +1000,67.814,21.383,22.3,0.861
Mackay (QLD),2013-04-11 17:00:00 +1000,54.633,21.48,21.6,0.677
Mackay (QLD),2013-04-11 18:00:00 +1000,22.319,21.39,22.0,0.246
Mackay (QLD),2013-04-11 19:00:00 +1000,0.239,21.234,22.3,0.0
Mackay (QLD),2013-04-11 20:00:00 +1000,0.003,21.369,22.4,
Mackay (QLD),2013-04-11 21:00:00 +1000,0.0,21.704,22.6,
