Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Manangatang (VIC),2012-01-01 00:00:00 +1000,0.0,,25.5,
Manangatang (VIC),2012-01-01 01:00:00 +1000,0.0,,25.5,
Manangatang (VIC),2012-01-01 02:00:00 +1000,0.0,,24.7,
Manangatang (VIC),2012-01-01 03:00:00 +1000,0.0,,23.5,
Manangatang (VIC),2012-01-01 04:00:00 +1000,0.0,,22.3,
Manangatang (VIC),2012-01-01 05:00:00 +1000,0.0,,22.4,
Manangatang (VIC),2012-01-01 06:00:00 +1000,20.39,,19.6,0.0
Manangatang (VIC),2012-01-01 07:00:00 +1000,56.788,,20.9,0.4
Manangatang (VIC),2012-01-01 08:00:00 +1000,191.231,,25.1,2.16
Manangatang (VIC),2012-01-01 09:00:00 +1000,305.008,,28.5,4.86
Manangatang (VIC),2012-01-01 10:00:00 +1000,539.059,,31.7,6.5
Manangatang (VIC),2012-01-01 11:00:00 +1000,665.103,,33.4,8.24
Manangatang (VIC),2012-01-01 12:00:00 +1000,725.983,,34.9,9.31
Manangatang (VIC),2012-01-01 13:00:00 +1000,723.407,,36.0,9.49
Manangatang (VIC),2012-01-01 14:00:00 +1000,656.458,,37.1,9.2
Manangatang (VIC),2012-01-01 15:00:00 +1000,585.951,,36.7,8.22
Manangatang (VIC),2012-01-01 16:00:00 +1000,379.513,,37.1,6.52
Manangatang (VIC),2012-01-01 17:00:00 +1000,208.008,,37.3,4.16
Manangatang (VIC),2012-01-01 18:00:00 +1000,65.398,,37.4,1.72
Manangatang (VIC),2012-01-01 19:00:00 +1000,24.65,,36.4,0.3
Manangatang (VIC),2012-01-01 20:00:00 +1000,9.923,,34.8,0.03
Manangatang (VIC),2012-01-01 21:00:00 +1000,0.0,,31.9,
Manangatang (VIC),2012-01-01 22:00:00 +1000,0.0,,30.3,
Manangatang (VIC),2012-01-02 00:00:00 +1000,0.0,,28.9,
Manangatang (VIC),2012-01-02 01:00:00 +1000,0.0,,28.8,
Manangatang (VIC),2012-01-02 02:00:00 +1000,0.0,,26.6,
Manangatang (VIC),2012-01-02 03:00:00 +1000,0.0,,25.3,
Manangatang (VIC),2012-01-02 04:00:00 +1000,0.0,,25.2,
