Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Midwest (WA),2013-05-30 11:00:00 +1000,394.467,18.064,16.3,3.973
Midwest (WA),2013-05-30 12:00:00 +1000,444.452,17.928,18.0,4.556
Midwest (WA),2013-05-30 13:00:00 +1000,422.743,17.081,17.5,4.234
Midwest (WA),2013-05-30 14:00:00 +1000,342.718,18.485,17.5,3.472
Midwest (WA),2013-05-30 15:00:00 +1000,682.094,18.672,16.3,7.171
Midwest (WA),2013-05-30 16:00:00 +1000,152.996,18.409,15.9,1.493
Midwest (WA),2013-05-30 17:00:00 +1000,215.213,17.381,14.2,1.457
Midwest (WA),2013-05-30 18:00:00 +1000,10.639,15.592,14.0,0.057
Midwest (WA),2013-05-30 19:00:00 +1000,0.0,13.534,12.1,
Midwest (WA),2013-05-30 20:00:00 +1000,0.0,13.065,12.2,
Midwest (WA),2013-05-30 21:00:00 +1000,0.0,12.21,12.2,
Midwest (WA),2013-05-30 22:00:00 +1000,0.0,11.091,9.3,
Midwest (WA),2013-05-30 23:00:00 +1000,0.0,9.821,8.6,
Midwest (WA),2013-05-31 01:00:00 +1000,0.005,9.317,7.6,
Midwest (WA),2013-05-31 02:00:00 +1000,0.012,8.296,6.9,
Midwest (WA),2013-05-31 03:00:00 +1000,0.0,7.941,6.9,
Midwest (WA),2013-05-31 04:00:00 +1000,0.0,8.255,7.5,
Midwest (WA),2013-05-31 05:00:00 +1000,0.003,8.524,6.4,
Midwest (WA),2013-05-31 06:00:00 +1000,0.012,8.304,5.6,
Midwest (WA),2013-05-31 07:00:00 +1000,0.012,7.981,8.7,
Midwest (WA),2013-05-31 08:00:00 +1000,33.964,8.388,10.9,0.2
Midwest (WA),2013-05-31 09:00:00 +1000,269.452,10.32,12.6,0.806
Midwest (WA),2013-05-31 10:00:00 +1000,531.118,12.883,13.8,4.43
Midwest (WA),2013-05-31 11:00:00 +1000,718.912,15.099,15.4,7.604
Midwest (WA),2013-05-31 12:00:00 +1000,832.004,16.351,15.7,8.83
Midwest (WA),2013-05-31 13:00:00 +1000,871.743,17.202,16.5,9.168
Midwest (WA),2013-05-31 14:00:00 +1000,837.84,17.545,16.1,8.859
Midwest (WA),2013-05-31 15:00:00 +1000,721.98,17.756,15.7,7.772
Midwest (WA),2013-05-31 16:00:00 +1000,548.17,17.473,14.8,6.053
Midwest (WA),2013-05-31 17:00:00 +1000,289.708,16.798,12.5,1.374
Midwest (WA),2013-05-31 18:00:00 +1000,45.207,15.273,9.6,0.123
Midwest (WA),2013-05-31 19:00:00 +1000,0.0,13.282,8.0,
Midwest (WA),2013-05-31 20:00:00 +1000,0.0,11.979,8.1,
Midwest (WA),2013-05-31 21:00:00 +1000,0.0,10.304,7.5,
Midwest (WA),2013-05-31 22:00:00 +1000,0.0,9.835,7.4,
Midwest (WA),2013-05-31 23:00:00 +1000,0.0,9.43,7.3,
Midwest (WA),2013-06-01 01:00:00 +1000,0.0,8.429,6.5,
Midwest (WA),2013-06-01 02:00:00 +1000,0.0,8.673,5.9,
Midwest (WA),2013-06-01 03:00:00 +1000,0.0,7.929,5.9,
Midwest (WA),2013-06-01 04:00:00 +1000,0.0,7.334,5.9,
Midwest (WA),2013-06-01 05:00:00 +1000,0.0,6.845,5.5,
Midwest (WA),2013-06-01 06:00:00 +1000,0.0,6.473,5.1,
Midwest (WA),2013-06-01 07:00:00 +1000,0.0,6.015,6.3,
Midwest (WA),2013-06-01 08:00:00 +1000,28.425,5.941,8.8,0.198
Midwest (WA),2013-06-01 09:00:00 +1000,258.223,7.954,13.1,0.819
Midwest (WA),2013-06-01 10:00:00 +1000,530.492,11.401,14.5,4.39
Midwest (WA),2013-06-01 11:00:00 +1000,722.997,14.614,15.9,7.662
Midwest (WA),2013-06-01 12:00:00 +1000,834.245,16.154,17.3,8.906
Midwest (WA),2013-06-01 13:00:00 +1000,873.343,17.694,18.1,9.213
Midwest (WA),2013-06-01 14:00:00 +1000,840.181,18.566,18.1,8.89
Midwest (WA),2013-06-01 15:00:00 +1000,731.936,18.684,17.4,7.879
Midwest (WA),2013-06-01 16:00:00 +1000,547.091,18.599,16.4,6.015
Midwest (WA),2013-06-01 17:00:00 +1000,288.438,18.243,13.6,1.319
Midwest (WA),2013-06-01 18:00:00 +1000,45.014,16.965,10.9,0.122
Midwest (WA),2013-06-01 19:00:00 +1000,0.0,13.189,9.1,
Midwest (WA),2013-06-01 20:00:00 +1000,0.0,12.976,8.6,
Midwest (WA),2013-06-01 21:00:00 +1000,0.0,12.243,10.2,
Midwest (WA),2013-06-01 22:00:00 +1000,0.0,11.814,8.9,
Midwest (WA),2013-06-01 23:00:00 +1000,0.0,10.628,11.2,
Midwest (WA),2013-06-02 01:00:00 +1000,0.0,10.208,9.9,
Midwest (WA),2013-06-02 02:00:00 +1000,0.022,10.898,8.0,
Midwest (WA),2013-06-02 03:00:00 +1000,0.003,9.862,8.4,
Midwest (WA),2013-06-02 04:00:00 +1000,0.003,9.278,8.4,
Midwest (WA),2013-06-02 05:00:00 +1000,0.0,8.365,7.6,
Midwest (WA),2013-06-02 06:00:00 +1000,0.003,6.762,7.5,
Midwest (WA),2013-06-02 07:00:00 +1000,0.005,7.854,9.9,
Midwest (WA),2013-06-02 08:00:00 +1000,30.364,9.676,13.6,0.184
Midwest (WA),2013-06-02 09:00:00 +1000,259.651,13.26,16.7,0.767
Midwest (WA),2013-06-02 10:00:00 +1000,523.62,16.101,18.6,4.164
Midwest (WA),2013-06-02 11:00:00 +1000,706.946,18.238,19.3,7.312
Midwest (WA),2013-06-02 12:00:00 +1000,822.313,19.31,20.6,8.664
Midwest (WA),2013-06-02 13:00:00 +1000,855.951,20.487,20.9,8.936
Midwest (WA),2013-06-02 14:00:00 +1000,830.168,21.203,21.0,8.691
Midwest (WA),2013-06-02 15:00:00 +1000,717.34,21.486,20.9,7.657
Midwest (WA),2013-06-02 16:00:00 +1000,538.434,21.315,19.3,5.835
