Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Moonah (TAS),2012-11-09 09:00:00 +1000,262.418,0.0,15.0,0.89
Moonah (TAS),2012-11-09 10:00:00 +1000,276.518,0.0,13.5,0.92
Moonah (TAS),2012-11-09 11:00:00 +1000,220.08,0.0,13.0,0.75
Moonah (TAS),2012-11-09 12:00:00 +1000,135.575,0.0,12.3,0.41
Moonah (TAS),2012-11-09 13:00:00 +1000,212.851,0.0,10.7,0.68
Moonah (TAS),2012-11-09 14:00:00 +1000,143.92,0.0,10.1,0.44
Moonah (TAS),2012-11-09 15:00:00 +1000,122.684,0.0,10.5,0.37
Moonah (TAS),2012-11-09 16:00:00 +1000,155.033,0.0,11.0,0.51
Moonah (TAS),2012-11-09 17:00:00 +1000,151.467,0.0,11.8,0.51
Moonah (TAS),2012-11-09 18:00:00 +1000,111.838,0.0,11.8,0.37
Moonah (TAS),2012-11-09 19:00:00 +1000,36.454,0.0,11.5,0.11
Moonah (TAS),2012-11-09 20:00:00 +1000,1.939,0.0,10.8,0.0
Moonah (TAS),2012-11-09 21:00:00 +1000,0.0,0.0,9.9,
Moonah (TAS),2012-11-09 22:00:00 +1000,0.0,0.0,10.2,
Moonah (TAS),2012-11-10 00:00:00 +1000,0.0,0.0,9.6,
Moonah (TAS),2012-11-10 01:00:00 +1000,0.0,0.0,9.6,
Moonah (TAS),2012-11-10 02:00:00 +1000,0.0,0.0,8.6,
Moonah (TAS),2012-11-10 03:00:00 +1000,0.0,0.0,8.5,
Moonah (TAS),2012-11-10 04:00:00 +1000,0.0,0.0,8.1,
Moonah (TAS),2012-11-10 05:00:00 +1000,0.0,0.0,8.0,0.0
Moonah (TAS),2012-11-10 06:00:00 +1000,15.798,0.0,8.3,0.04
Moonah (TAS),2012-11-10 07:00:00 +1000,36.833,0.0,8.8,0.09
Moonah (TAS),2012-11-10 08:00:00 +1000,147.215,0.0,12.3,0.57
Moonah (TAS),2012-11-10 09:00:00 +1000,251.475,0.0,12.9,0.9
Moonah (TAS),2012-11-10 10:00:00 +1000,365.847,0.0,13.4,1.25
Moonah (TAS),2012-11-10 11:00:00 +1000,457.443,0.0,13.6,1.53
