Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Newtown (NSW),2012-04-23 09:00:00 +1000,231.237,17.743,18.7,0.99
Newtown (NSW),2012-04-23 10:00:00 +1000,484.34,18.529,18.7,1.78
Newtown (NSW),2012-04-23 11:00:00 +1000,822.667,21.388,18.9,2.48
Newtown (NSW),2012-04-23 12:00:00 +1000,367.928,22.147,19.1,1.63
Newtown (NSW),2012-04-23 13:00:00 +1000,236.507,22.096,19.1,1.05
Newtown (NSW),2012-04-23 14:00:00 +1000,137.822,22.322,19.1,0.58
Newtown (NSW),2012-04-23 15:00:00 +1000,106.561,22.022,19.1,0.25
Newtown (NSW),2012-04-23 16:00:00 +1000,25.386,21.947,19.2,0.05
Newtown (NSW),2012-04-23 17:00:00 +1000,9.52,21.856,19.2,0.0
Newtown (NSW),2012-04-23 18:00:00 +1000,0.147,21.423,19.2,0.0
Newtown (NSW),2012-04-23 19:00:00 +1000,0.029,21.276,19.1,
Newtown (NSW),2012-04-23 20:00:00 +1000,0.0,21.05,19.2,
Newtown (NSW),2012-04-23 21:00:00 +1000,0.353,21.012,18.6,
Newtown (NSW),2012-04-23 22:00:00 +1000,0.626,20.856,18.3,
Newtown (NSW),2012-04-23 23:00:00 +1000,0.96,20.565,18.0,
Newtown (NSW),2012-04-24 01:00:00 +1000,0.0,19.941,17.6,
Newtown (NSW),2012-04-24 02:00:00 +1000,0.01,19.826,16.6,
Newtown (NSW),2012-04-24 03:00:00 +1000,0.03,19.712,15.8,
Newtown (NSW),2012-04-24 04:00:00 +1000,0.01,19.502,15.8,
Newtown (NSW),2012-04-24 05:00:00 +1000,0.212,19.248,15.7,
Newtown (NSW),2012-04-24 06:00:00 +1000,0.031,19.284,15.9,
Newtown (NSW),2012-04-24 07:00:00 +1000,5.34,19.221,17.9,0.0
Newtown (NSW),2012-04-24 08:00:00 +1000,20.763,19.256,18.4,0.03
Newtown (NSW),2012-04-24 09:00:00 +1000,54.52,19.282,19.6,0.11
Newtown (NSW),2012-04-24 10:00:00 +1000,57.336,19.306,21.2,0.16
Newtown (NSW),2012-04-24 11:00:00 +1000,73.08,18.817,24.1,0.28
Newtown (NSW),2012-04-24 12:00:00 +1000,85.346,18.789,23.8,0.28
Newtown (NSW),2012-04-24 13:00:00 +1000,83.822,18.66,19.7,0.28
Newtown (NSW),2012-04-24 14:00:00 +1000,71.934,18.766,19.8,0.24
Newtown (NSW),2012-04-24 15:00:00 +1000,53.283,18.814,18.5,0.21
Newtown (NSW),2012-04-24 16:00:00 +1000,37.289,18.738,18.6,0.1
Newtown (NSW),2012-04-24 17:00:00 +1000,34.913,18.787,16.9,0.04
Newtown (NSW),2012-04-24 18:00:00 +1000,3.239,18.779,16.4,0.0
Newtown (NSW),2012-04-24 19:00:00 +1000,0.039,18.686,15.6,
Newtown (NSW),2012-04-24 20:00:00 +1000,0.01,18.57,15.2,
Newtown (NSW),2012-04-24 21:00:00 +1000,0.01,18.606,14.9,
Newtown (NSW),2012-04-24 22:00:00 +1000,0.037,18.435,14.8,
Newtown (NSW),2012-04-24 23:00:00 +1000,0.152,18.104,14.4,
Newtown (NSW),2012-04-25 01:00:00 +1000,0.121,17.629,12.9,
Newtown (NSW),2012-04-25 02:00:00 +1000,0.157,17.426,12.9,
Newtown (NSW),2012-04-25 03:00:00 +1000,0.0,17.108,12.3,
Newtown (NSW),2012-04-25 04:00:00 +1000,0.0,16.707,11.5,
Newtown (NSW),2012-04-25 05:00:00 +1000,0.0,16.208,11.0,
Newtown (NSW),2012-04-25 06:00:00 +1000,0.01,16.202,12.5,
Newtown (NSW),2012-04-25 07:00:00 +1000,9.549,16.224,13.4,0.02
Newtown (NSW),2012-04-25 08:00:00 +1000,218.238,16.405,13.5,0.49
Newtown (NSW),2012-04-25 09:00:00 +1000,536.107,18.058,14.5,1.02
Newtown (NSW),2012-04-25 10:00:00 +1000,745.026,20.268,16.1,1.96
Newtown (NSW),2012-04-25 11:00:00 +1000,858.638,21.969,18.3,3.69
Newtown (NSW),2012-04-25 12:00:00 +1000,901.364,23.157,18.7,3.9
Newtown (NSW),2012-04-25 13:00:00 +1000,703.987,23.603,19.9,1.5
Newtown (NSW),2012-04-25 14:00:00 +1000,318.448,21.747,19.4,1.57
Newtown (NSW),2012-04-25 15:00:00 +1000,632.276,20.619,18.2,1.81
Newtown (NSW),2012-04-25 16:00:00 +1000,57.395,20.043,17.2,0.35
Newtown (NSW),2012-04-25 17:00:00 +1000,26.783,19.501,16.3,0.06
Newtown (NSW),2012-04-25 18:00:00 +1000,3.835,18.544,15.6,0.0
Newtown (NSW),2012-04-25 19:00:00 +1000,0.032,17.671,15.3,
Newtown (NSW),2012-04-25 20:00:00 +1000,0.01,17.027,14.9,
Newtown (NSW),2012-04-25 21:00:00 +1000,0.0,16.753,14.8,
Newtown (NSW),2012-04-25 22:00:00 +1000,0.037,16.288,14.7,
Newtown (NSW),2012-04-25 23:00:00 +1000,0.0,15.627,15.0,
Newtown (NSW),2012-04-26 01:00:00 +1000,0.0,15.098,14.9,
Newtown (NSW),2012-04-26 02:00:00 +1000,0.051,15.004,14.9,
Newtown (NSW),2012-04-26 03:00:00 +1000,0.064,14.681,14.7,
Newtown (NSW),2012-04-26 04:00:00 +1000,0.02,14.365,15.0,
Newtown (NSW),2012-04-26 05:00:00 +1000,0.0,13.642,14.5,
Newtown (NSW),2012-04-26 06:00:00 +1000,0.0,13.393,14.5,
Newtown (NSW),2012-04-26 07:00:00 +1000,51.699,12.871,15.5,0.1
Newtown (NSW),2012-04-26 08:00:00 +1000,189.634,13.252,16.8,0.46
Newtown (NSW),2012-04-26 09:00:00 +1000,471.912,14.643,18.0,1.11
Newtown (NSW),2012-04-26 10:00:00 +1000,694.483,16.073,19.5,2.26
Newtown (NSW),2012-04-26 11:00:00 +1000,881.935,17.663,21.0,3.99
Newtown (NSW),2012-04-26 12:00:00 +1000,922.425,18.854,20.4,4.16
Newtown (NSW),2012-04-26 13:00:00 +1000,896.196,19.566,21.2,4.09
Newtown (NSW),2012-04-26 14:00:00 +1000,854.991,19.532,19.8,4.0
Newtown (NSW),2012-04-26 15:00:00 +1000,477.033,19.174,19.5,2.24
Newtown (NSW),2012-04-26 16:00:00 +1000,346.375,18.747,18.8,1.83
Newtown (NSW),2012-04-26 17:00:00 +1000,32.784,17.694,18.6,0.07
Newtown (NSW),2012-04-26 18:00:00 +1000,4.42,16.864,18.4,0.0
