Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Nowra (NSW),2012-01-01 00:00:00 +1000,0.0,16.451,15.6,
Nowra (NSW),2012-01-01 01:00:00 +1000,0.0,15.912,14.5,
Nowra (NSW),2012-01-01 02:00:00 +1000,0.0,15.739,14.1,
Nowra (NSW),2012-01-01 03:00:00 +1000,0.0,15.628,14.7,
Nowra (NSW),2012-01-01 04:00:00 +1000,0.0,15.185,15.1,
Nowra (NSW),2012-01-01 05:00:00 +1000,2.163,15.165,14.5,0.0
Nowra (NSW),2012-01-01 06:00:00 +1000,22.761,16.119,14.7,0.15
Nowra (NSW),2012-01-01 07:00:00 +1000,109.797,18.705,16.8,0.97
Nowra (NSW),2012-01-01 08:00:00 +1000,415.777,21.807,19.3,2.13
Nowra (NSW),2012-01-01 09:00:00 +1000,604.164,24.901,22.0,3.05
Nowra (NSW),2012-01-01 10:00:00 +1000,742.193,26.561,23.8,3.69
Nowra (NSW),2012-01-01 11:00:00 +1000,805.144,29.249,26.1,4.11
Nowra (NSW),2012-01-01 12:00:00 +1000,861.966,30.544,26.5,4.32
Nowra (NSW),2012-01-01 13:00:00 +1000,835.679,29.686,27.0,4.27
Nowra (NSW),2012-01-01 14:00:00 +1000,749.607,28.787,27.0,3.98
Nowra (NSW),2012-01-01 15:00:00 +1000,664.788,28.214,27.6,3.49
Nowra (NSW),2012-01-01 16:00:00 +1000,408.856,27.618,27.2,2.68
Nowra (NSW),2012-01-01 17:00:00 +1000,62.59,26.391,26.3,0.38
Nowra (NSW),2012-01-01 18:00:00 +1000,28.568,25.018,24.8,0.14
Nowra (NSW),2012-01-01 19:00:00 +1000,2.371,22.815,22.8,0.04
Nowra (NSW),2012-01-01 20:00:00 +1000,0.0,20.833,20.9,0.0
Nowra (NSW),2012-01-01 21:00:00 +1000,0.0,19.547,19.4,
Nowra (NSW),2012-01-01 22:00:00 +1000,0.0,18.844,17.6,
Nowra (NSW),2012-01-02 00:00:00 +1000,0.0,18.165,16.8,
Nowra (NSW),2012-01-02 01:00:00 +1000,0.0,17.575,15.8,
Nowra (NSW),2012-01-02 02:00:00 +1000,0.0,16.588,15.3,
Nowra (NSW),2012-01-02 03:00:00 +1000,0.0,16.301,14.3,
Nowra (NSW),2012-01-02 04:00:00 +1000,0.0,16.038,14.2,
Nowra (NSW),2012-01-02 05:00:00 +1000,1.842,16.07,14.1,0.0
Nowra (NSW),2012-01-02 06:00:00 +1000,35.264,16.634,15.0,0.15
Nowra (NSW),2012-01-02 07:00:00 +1000,107.421,19.608,17.4,0.94
Nowra (NSW),2012-01-02 08:00:00 +1000,327.236,23.107,20.7,2.08
Nowra (NSW),2012-01-02 09:00:00 +1000,600.755,25.96,22.5,2.99
Nowra (NSW),2012-01-02 10:00:00 +1000,735.0,28.644,24.7,3.63
Nowra (NSW),2012-01-02 11:00:00 +1000,794.209,30.592,26.6,4.01
Nowra (NSW),2012-01-02 12:00:00 +1000,849.712,31.321,27.8,4.2
Nowra (NSW),2012-01-02 13:00:00 +1000,826.468,30.591,28.1,4.16
Nowra (NSW),2012-01-02 14:00:00 +1000,743.007,29.461,28.2,3.9
Nowra (NSW),2012-01-02 15:00:00 +1000,594.612,29.735,28.2,3.36
Nowra (NSW),2012-01-02 16:00:00 +1000,475.114,28.918,27.6,2.56
Nowra (NSW),2012-01-02 17:00:00 +1000,56.086,27.966,27.0,0.42
Nowra (NSW),2012-01-02 18:00:00 +1000,30.619,26.35,26.1,0.15
Nowra (NSW),2012-01-02 19:00:00 +1000,4.554,23.947,24.6,0.05
Nowra (NSW),2012-01-02 20:00:00 +1000,0.0,22.458,22.4,0.0
Nowra (NSW),2012-01-02 21:00:00 +1000,0.0,21.744,20.7,
Nowra (NSW),2012-01-02 22:00:00 +1000,0.0,20.843,19.4,
Nowra (NSW),2012-01-03 00:00:00 +1000,0.0,20.38,20.0,
Nowra (NSW),2012-01-03 01:00:00 +1000,0.0,20.054,18.8,
Nowra (NSW),2012-01-03 02:00:00 +1000,0.0,19.699,18.1,
Nowra (NSW),2012-01-03 03:00:00 +1000,0.0,19.083,17.6,
Nowra (NSW),2012-01-03 04:00:00 +1000,0.0,18.977,17.5,
Nowra (NSW),2012-01-03 05:00:00 +1000,1.246,18.476,17.5,0.0
Nowra (NSW),2012-01-03 06:00:00 +1000,40.338,19.307,17.2,0.14
Nowra (NSW),2012-01-03 07:00:00 +1000,108.143,21.803,19.3,0.89
Nowra (NSW),2012-01-03 08:00:00 +1000,409.022,24.566,22.9,2.02
Nowra (NSW),2012-01-03 09:00:00 +1000,601.194,27.437,24.6,2.96
Nowra (NSW),2012-01-03 10:00:00 +1000,746.109,29.996,26.1,3.61
Nowra (NSW),2012-01-03 11:00:00 +1000,790.428,31.113,28.1,3.97
Nowra (NSW),2012-01-03 12:00:00 +1000,824.674,32.947,29.0,4.06
Nowra (NSW),2012-01-03 13:00:00 +1000,819.221,32.163,29.6,4.07
Nowra (NSW),2012-01-03 14:00:00 +1000,732.507,31.502,30.1,3.81
Nowra (NSW),2012-01-03 15:00:00 +1000,,,29.3,3.29
Nowra (NSW),2012-01-03 16:00:00 +1000,392.094,28.937,28.3,2.51
Nowra (NSW),2012-01-03 17:00:00 +1000,72.833,28.252,27.4,0.48
Nowra (NSW),2012-01-03 18:00:00 +1000,48.652,27.129,26.6,0.25
Nowra (NSW),2012-01-03 19:00:00 +1000,21.229,24.744,24.9,0.08
Nowra (NSW),2012-01-03 20:00:00 +1000,0.0,24.063,23.1,0.0
Nowra (NSW),2012-01-03 21:00:00 +1000,0.0,23.441,22.1,
Nowra (NSW),2012-01-03 22:00:00 +1000,0.0,21.879,21.6,
Nowra (NSW),2012-01-04 00:00:00 +1000,0.0,21.478,20.6,
Nowra (NSW),2012-01-04 01:00:00 +1000,0.0,20.825,20.2,
Nowra (NSW),2012-01-04 02:00:00 +1000,0.0,20.309,19.8,
Nowra (NSW),2012-01-04 03:00:00 +1000,0.0,19.981,19.4,
Nowra (NSW),2012-01-04 04:00:00 +1000,0.0,19.157,19.0,
Nowra (NSW),2012-01-04 05:00:00 +1000,2.022,19.471,18.1,0.0
Nowra (NSW),2012-01-04 06:00:00 +1000,50.181,20.032,18.3,0.18
Nowra (NSW),2012-01-04 07:00:00 +1000,128.886,21.93,19.9,0.81
Nowra (NSW),2012-01-04 08:00:00 +1000,401.691,23.235,22.1,1.77
Nowra (NSW),2012-01-04 09:00:00 +1000,536.225,27.89,26.1,2.98
Nowra (NSW),2012-01-04 10:00:00 +1000,578.138,29.207,29.7,2.81
Nowra (NSW),2012-01-04 11:00:00 +1000,475.036,29.693,32.0,2.67
Nowra (NSW),2012-01-04 12:00:00 +1000,410.217,30.832,34.3,2.21
Nowra (NSW),2012-01-04 13:00:00 +1000,548.281,31.212,34.4,2.61
Nowra (NSW),2012-01-04 14:00:00 +1000,186.8,29.265,35.2,1.34
Nowra (NSW),2012-01-04 15:00:00 +1000,116.896,22.741,30.8,0.62
Nowra (NSW),2012-01-04 16:00:00 +1000,114.418,22.747,20.5,0.59
Nowra (NSW),2012-01-04 17:00:00 +1000,64.732,22.973,20.3,0.41
Nowra (NSW),2012-01-04 18:00:00 +1000,14.842,22.306,20.8,0.14
Nowra (NSW),2012-01-04 19:00:00 +1000,0.471,21.333,20.5,0.01
Nowra (NSW),2012-01-04 20:00:00 +1000,0.0,19.838,18.5,0.0
Nowra (NSW),2012-01-04 21:00:00 +1000,0.0,19.584,17.8,
Nowra (NSW),2012-01-04 22:00:00 +1000,0.0,19.833,17.6,
Nowra (NSW),2012-01-05 00:00:00 +1000,0.0,19.698,17.9,
Nowra (NSW),2012-01-05 01:00:00 +1000,0.0,19.389,17.5,
Nowra (NSW),2012-01-05 02:00:00 +1000,0.0,19.334,17.4,
Nowra (NSW),2012-01-05 03:00:00 +1000,0.0,19.179,17.3,
Nowra (NSW),2012-01-05 04:00:00 +1000,0.0,18.845,16.7,
Nowra (NSW),2012-01-05 05:00:00 +1000,0.036,18.488,16.7,0.0
Nowra (NSW),2012-01-05 06:00:00 +1000,50.237,18.734,15.9,0.12
Nowra (NSW),2012-01-05 07:00:00 +1000,115.971,19.72,16.9,0.57
Nowra (NSW),2012-01-05 08:00:00 +1000,272.151,21.239,18.1,1.36
Nowra (NSW),2012-01-05 09:00:00 +1000,318.271,22.365,19.2,1.6
Nowra (NSW),2012-01-05 10:00:00 +1000,697.08,23.392,20.2,2.49
Nowra (NSW),2012-01-05 11:00:00 +1000,578.195,25.544,22.0,3.06
Nowra (NSW),2012-01-05 12:00:00 +1000,635.448,26.659,23.2,3.32
Nowra (NSW),2012-01-05 13:00:00 +1000,825.273,26.21,23.3,4.33
Nowra (NSW),2012-01-05 14:00:00 +1000,795.568,26.078,23.6,4.11
Nowra (NSW),2012-01-05 15:00:00 +1000,506.835,25.457,22.5,3.16
Nowra (NSW),2012-01-05 16:00:00 +1000,286.21,24.44,21.9,1.58
Nowra (NSW),2012-01-05 17:00:00 +1000,271.142,24.193,23.3,0.84
Nowra (NSW),2012-01-05 18:00:00 +1000,93.842,23.012,22.3,0.52
Nowra (NSW),2012-01-05 19:00:00 +1000,0.079,22.188,21.3,0.18
Nowra (NSW),2012-01-05 20:00:00 +1000,0.0,22.09,20.8,0.0
Nowra (NSW),2012-01-05 21:00:00 +1000,0.0,21.321,20.4,
Nowra (NSW),2012-01-05 22:00:00 +1000,0.0,20.234,19.4,
Nowra (NSW),2012-01-06 00:00:00 +1000,0.0,19.278,17.9,
Nowra (NSW),2012-01-06 01:00:00 +1000,0.0,18.651,17.2,
Nowra (NSW),2012-01-06 02:00:00 +1000,0.0,17.768,16.6,
Nowra (NSW),2012-01-06 03:00:00 +1000,0.0,17.186,16.0,
Nowra (NSW),2012-01-06 04:00:00 +1000,0.0,17.255,15.6,
Nowra (NSW),2012-01-06 05:00:00 +1000,0.0,17.324,15.6,
Nowra (NSW),2012-01-06 06:00:00 +1000,7.936,17.268,15.6,0.0
