Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Ocean Reef (WA),2012-11-14 16:00:00 +1000,0.537,17.83,23.2,
Ocean Reef (WA),2012-11-14 17:00:00 +1000,0.648,17.568,21.9,
Ocean Reef (WA),2012-11-14 18:00:00 +1000,0.611,16.887,20.9,
Ocean Reef (WA),2012-11-14 19:00:00 +1000,0.873,16.074,19.8,
Ocean Reef (WA),2012-11-14 20:00:00 +1000,0.692,14.888,19.3,
Ocean Reef (WA),2012-11-14 21:00:00 +1000,1.009,14.478,19.1,
Ocean Reef (WA),2012-11-14 22:00:00 +1000,11.557,14.574,18.7,0.01
Ocean Reef (WA),2012-11-15 00:00:00 +1000,372.209,20.439,17.5,0.71
Ocean Reef (WA),2012-11-15 01:00:00 +1000,673.698,22.95,17.0,1.34
Ocean Reef (WA),2012-11-15 02:00:00 +1000,921.453,26.465,17.0,1.77
Ocean Reef (WA),2012-11-15 03:00:00 +1000,1093.337,30.762,15.5,2.03
Ocean Reef (WA),2012-11-15 04:00:00 +1000,1179.385,32.989,14.6,2.24
Ocean Reef (WA),2012-11-15 05:00:00 +1000,1180.751,32.855,13.6,2.27
Ocean Reef (WA),2012-11-15 06:00:00 +1000,1097.265,31.684,14.2,2.19
Ocean Reef (WA),2012-11-15 07:00:00 +1000,931.997,29.726,18.4,1.95
Ocean Reef (WA),2012-11-15 08:00:00 +1000,694.712,27.88,20.3,1.57
Ocean Reef (WA),2012-11-15 09:00:00 +1000,400.442,25.542,21.4,1.02
Ocean Reef (WA),2012-11-15 10:00:00 +1000,133.572,23.367,23.4,0.21
Ocean Reef (WA),2012-11-15 11:00:00 +1000,31.72,21.572,24.6,0.02
Ocean Reef (WA),2012-11-15 12:00:00 +1000,1.735,19.956,25.5,0.0
Ocean Reef (WA),2012-11-15 13:00:00 +1000,0.0,19.402,25.0,
Ocean Reef (WA),2012-11-15 14:00:00 +1000,0.007,19.032,24.3,
Ocean Reef (WA),2012-11-15 15:00:00 +1000,0.0,18.786,23.1,
Ocean Reef (WA),2012-11-15 16:00:00 +1000,0.014,18.428,22.4,
Ocean Reef (WA),2012-11-15 17:00:00 +1000,0.012,17.845,21.6,
Ocean Reef (WA),2012-11-15 18:00:00 +1000,0.057,16.547,21.5,
Ocean Reef (WA),2012-11-15 19:00:00 +1000,0.213,15.27,20.2,
Ocean Reef (WA),2012-11-15 20:00:00 +1000,0.285,14.899,19.4,
Ocean Reef (WA),2012-11-15 21:00:00 +1000,0.431,14.856,18.8,
Ocean Reef (WA),2012-11-15 22:00:00 +1000,10.647,15.01,18.0,0.01
Ocean Reef (WA),2012-11-16 00:00:00 +1000,364.603,23.892,16.9,0.71
Ocean Reef (WA),2012-11-16 01:00:00 +1000,672.303,26.828,16.3,1.31
Ocean Reef (WA),2012-11-16 02:00:00 +1000,909.528,30.668,15.1,1.74
Ocean Reef (WA),2012-11-16 03:00:00 +1000,1002.654,30.838,15.3,1.94
Ocean Reef (WA),2012-11-16 10:00:00 +1000,1100.366,31.723,26.2,2.1
Ocean Reef (WA),2012-11-16 11:00:00 +1000,1171.455,32.609,28.2,2.22
Ocean Reef (WA),2012-11-16 12:00:00 +1000,1174.64,33.101,29.6,2.24
Ocean Reef (WA),2012-11-16 13:00:00 +1000,1092.938,33.075,28.9,2.15
Ocean Reef (WA),2012-11-16 14:00:00 +1000,931.978,31.809,28.7,1.92
Ocean Reef (WA),2012-11-16 15:00:00 +1000,692.373,30.185,28.5,1.53
Ocean Reef (WA),2012-11-16 16:00:00 +1000,401.066,28.346,27.9,1.0
Ocean Reef (WA),2012-11-16 17:00:00 +1000,133.352,26.396,28.1,0.21
Ocean Reef (WA),2012-11-16 18:00:00 +1000,31.486,24.476,27.6,0.02
Ocean Reef (WA),2012-11-16 19:00:00 +1000,1.837,22.253,25.9,0.0
Ocean Reef (WA),2012-11-16 20:00:00 +1000,0.0,20.758,25.0,
Ocean Reef (WA),2012-11-16 21:00:00 +1000,0.0,19.29,23.9,
Ocean Reef (WA),2012-11-16 22:00:00 +1000,0.043,19.193,22.3,
Ocean Reef (WA),2012-11-17 00:00:00 +1000,0.648,17.213,21.2,
Ocean Reef (WA),2012-11-17 01:00:00 +1000,0.162,20.067,22.3,
