Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Para Vista (SA),2013-05-19 09:00:00 +1000,,,16.3,3.134
Para Vista (SA),2013-05-19 17:00:00 +1000,,,15.6,0.675
Para Vista (SA),2013-05-23 17:00:00 +1000,,,11.8,0.141
Para Vista (SA),2013-06-05 15:00:00 +1000,,,13.2,1.471
Para Vista (SA),2013-06-07 17:00:00 +1000,,,10.8,0.31
Para Vista (SA),2013-06-09 08:00:00 +1000,,,13.0,0.0
Para Vista (SA),2013-06-09 16:00:00 +1000,,,14.1,4.521
Para Vista (SA),2013-06-10 09:00:00 +1000,,,15.6,0.905
Para Vista (SA),2013-06-11 13:00:00 +1000,,,14.9,1.354
Para Vista (SA),2013-06-12 14:00:00 +1000,,,15.0,2.645
Para Vista (SA),2013-06-16 09:00:00 +1000,,,12.2,0.142
Para Vista (SA),2013-06-17 09:00:00 +1000,,,11.5,1.158
Para Vista (SA),2013-06-18 10:00:00 +1000,,,10.4,4.657
Para Vista (SA),2013-06-24 10:00:00 +1000,,,15.2,4.64
Para Vista (SA),2013-06-24 11:00:00 +1000,,,15.5,5.483
Para Vista (SA),2013-06-24 12:00:00 +1000,,,15.0,6.548
Para Vista (SA),2013-06-24 13:00:00 +1000,,,15.9,3.478
Para Vista (SA),2013-06-24 14:00:00 +1000,,,15.8,4.786
Para Vista (SA),2013-06-24 15:00:00 +1000,,,15.4,4.379
Para Vista (SA),2013-06-24 16:00:00 +1000,,,12.0,2.38
Para Vista (SA),2013-06-24 17:00:00 +1000,,,12.2,0.441
Para Vista (SA),2013-06-24 18:00:00 +1000,,,9.9,0.043
Para Vista (SA),2013-06-25 08:00:00 +1000,,,10.3,0.025
Para Vista (SA),2013-06-25 09:00:00 +1000,,,14.7,1.053
Para Vista (SA),2013-06-25 10:00:00 +1000,,,15.5,3.684
Para Vista (SA),2013-06-25 11:00:00 +1000,,,16.5,5.41
Para Vista (SA),2013-06-25 12:00:00 +1000,,,16.9,6.495
Para Vista (SA),2013-06-25 13:00:00 +1000,,,16.7,6.873
Para Vista (SA),2013-06-25 14:00:00 +1000,,,16.3,6.324
Para Vista (SA),2013-06-25 15:00:00 +1000,,,14.3,4.847
Para Vista (SA),2013-06-25 16:00:00 +1000,,,12.9,2.202
Para Vista (SA),2013-06-25 17:00:00 +1000,,,12.4,0.955
Para Vista (SA),2013-06-25 18:00:00 +1000,,,11.3,0.04
Para Vista (SA),2013-06-26 08:00:00 +1000,,,12.4,0.036
Para Vista (SA),2013-06-26 09:00:00 +1000,,,14.6,0.913
Para Vista (SA),2013-06-26 10:00:00 +1000,,,15.5,3.7
Para Vista (SA),2013-06-26 11:00:00 +1000,,,16.7,5.483
Para Vista (SA),2013-06-26 12:00:00 +1000,,,17.0,6.592
Para Vista (SA),2013-06-26 13:00:00 +1000,,,16.0,6.983
Para Vista (SA),2013-06-26 14:00:00 +1000,,,17.1,6.846
Para Vista (SA),2013-06-26 15:00:00 +1000,,,16.2,4.672
Para Vista (SA),2013-06-26 16:00:00 +1000,,,13.3,2.356
Para Vista (SA),2013-06-26 17:00:00 +1000,,,11.2,0.29
Para Vista (SA),2013-06-26 18:00:00 +1000,,,10.9,0.035
Para Vista (SA),2013-06-27 08:00:00 +1000,,,11.9,0.036
Para Vista (SA),2013-06-27 09:00:00 +1000,,,14.3,0.922
Para Vista (SA),2013-06-27 10:00:00 +1000,,,15.1,3.72
Para Vista (SA),2013-06-27 11:00:00 +1000,,,16.2,5.424
Para Vista (SA),2013-06-27 12:00:00 +1000,,,17.0,6.459
Para Vista (SA),2013-06-27 13:00:00 +1000,,,16.6,6.81
Para Vista (SA),2013-06-27 14:00:00 +1000,,,16.3,6.461
Para Vista (SA),2013-06-27 15:00:00 +1000,,,15.8,5.464
Para Vista (SA),2013-06-27 16:00:00 +1000,,,13.8,2.281
Para Vista (SA),2013-06-27 17:00:00 +1000,,,11.7,0.264
Para Vista (SA),2013-06-27 18:00:00 +1000,,,10.7,0.047
Para Vista (SA),2013-06-28 08:00:00 +1000,,,10.7,0.058
Para Vista (SA),2013-06-28 09:00:00 +1000,,,13.2,0.712
Para Vista (SA),2013-06-28 10:00:00 +1000,,,14.5,2.477
Para Vista (SA),2013-06-28 11:00:00 +1000,,,15.4,5.379
Para Vista (SA),2013-06-28 12:00:00 +1000,,,15.5,6.098
Para Vista (SA),2013-06-28 13:00:00 +1000,,,15.8,5.031
Para Vista (SA),2013-06-28 14:00:00 +1000,,,15.3,5.209
Para Vista (SA),2013-06-28 15:00:00 +1000,,,15.1,4.873
Para Vista (SA),2013-06-28 16:00:00 +1000,,,13.8,1.906
Para Vista (SA),2013-06-28 17:00:00 +1000,,,11.7,0.839
Para Vista (SA),2013-06-28 18:00:00 +1000,,,10.7,0.147
Para Vista (SA),2013-06-29 08:00:00 +1000,,,7.9,0.047
Para Vista (SA),2013-06-29 09:00:00 +1000,,,10.9,0.886
Para Vista (SA),2013-06-29 10:00:00 +1000,,,13.8,3.63
Para Vista (SA),2013-06-29 11:00:00 +1000,,,15.5,5.346
Para Vista (SA),2013-06-29 12:00:00 +1000,,,15.5,6.02
Para Vista (SA),2013-06-29 13:00:00 +1000,,,14.9,5.525
Para Vista (SA),2013-06-29 14:00:00 +1000,,,15.2,3.76
Para Vista (SA),2013-06-29 15:00:00 +1000,,,14.9,1.95
Para Vista (SA),2013-06-29 16:00:00 +1000,,,13.4,1.897
Para Vista (SA),2013-06-29 17:00:00 +1000,,,11.3,0.586
Para Vista (SA),2013-06-29 18:00:00 +1000,,,8.6,0.104
Para Vista (SA),2013-06-30 08:00:00 +1000,,,12.0,0.0
Para Vista (SA),2013-06-30 09:00:00 +1000,,,12.9,0.293
Para Vista (SA),2013-06-30 10:00:00 +1000,,,13.9,0.778
Para Vista (SA),2013-06-30 11:00:00 +1000,,,15.8,1.399
Para Vista (SA),2013-06-30 12:00:00 +1000,,,16.7,1.71
Para Vista (SA),2013-06-30 13:00:00 +1000,,,17.6,1.966
Para Vista (SA),2013-06-30 14:00:00 +1000,,,17.1,3.902
Para Vista (SA),2013-06-30 15:00:00 +1000,,,16.3,4.621
