Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Paracombe (SA),2013-09-09 17:00:00 +1000,,,16.3,0.98
Paracombe (SA),2013-09-09 18:00:00 +1000,10.933,0.0,15.4,0.0
Paracombe (SA),2013-09-09 19:00:00 +1000,0.06,0.0,14.7,0.0
Paracombe (SA),2013-09-09 20:00:00 +1000,0.0,0.0,14.7,
Paracombe (SA),2013-09-09 21:00:00 +1000,0.0,0.0,14.7,
Paracombe (SA),2013-09-09 22:00:00 +1000,0.0,0.0,13.9,
Paracombe (SA),2013-09-09 23:00:00 +1000,0.0,0.0,13.2,
Paracombe (SA),2013-09-10 01:00:00 +1000,0.0,0.0,12.2,
Paracombe (SA),2013-09-10 02:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-10 03:00:00 +1000,0.0,0.0,12.0,
Paracombe (SA),2013-09-10 04:00:00 +1000,0.0,0.0,10.2,
Paracombe (SA),2013-09-10 05:00:00 +1000,0.0,0.0,11.7,
Paracombe (SA),2013-09-10 06:00:00 +1000,0.0,0.0,11.0,
Paracombe (SA),2013-09-10 07:00:00 +1000,1.698,0.0,11.3,0.045
Paracombe (SA),2013-09-10 08:00:00 +1000,45.484,0.0,13.8,0.492
Paracombe (SA),2013-09-10 09:00:00 +1000,117.157,0.0,14.1,1.314
Paracombe (SA),2013-09-10 10:00:00 +1000,253.493,0.0,14.3,2.789
Paracombe (SA),2013-09-10 11:00:00 +1000,424.567,0.0,14.6,1.484
Paracombe (SA),2013-09-10 12:00:00 +1000,478.121,0.0,14.4,2.357
Paracombe (SA),2013-09-10 13:00:00 +1000,237.93,0.0,14.5,2.747
Paracombe (SA),2013-09-10 14:00:00 +1000,332.222,0.0,13.5,3.829
Paracombe (SA),2013-09-10 15:00:00 +1000,274.4,0.0,13.4,2.994
Paracombe (SA),2013-09-10 16:00:00 +1000,195.026,0.0,12.8,2.136
Paracombe (SA),2013-09-10 17:00:00 +1000,112.582,0.0,12.5,1.156
Paracombe (SA),2013-09-10 18:00:00 +1000,25.373,0.0,11.8,0.239
Paracombe (SA),2013-09-10 19:00:00 +1000,0.405,0.0,12.8,0.0
Paracombe (SA),2013-09-10 20:00:00 +1000,0.0,0.0,13.1,
Paracombe (SA),2013-09-10 21:00:00 +1000,0.0,0.0,12.8,
Paracombe (SA),2013-09-10 22:00:00 +1000,0.0,0.0,12.8,
Paracombe (SA),2013-09-10 23:00:00 +1000,0.0,0.0,12.7,
Paracombe (SA),2013-09-11 01:00:00 +1000,0.0,0.0,11.3,
Paracombe (SA),2013-09-11 02:00:00 +1000,0.0,0.0,9.6,
Paracombe (SA),2013-09-11 03:00:00 +1000,0.0,0.0,9.2,
Paracombe (SA),2013-09-11 04:00:00 +1000,0.0,0.0,8.6,
Paracombe (SA),2013-09-11 05:00:00 +1000,0.0,0.0,9.0,
Paracombe (SA),2013-09-11 06:00:00 +1000,0.0,0.0,9.6,
Paracombe (SA),2013-09-11 07:00:00 +1000,2.788,0.0,11.4,0.038
Paracombe (SA),2013-09-11 08:00:00 +1000,63.891,0.0,13.0,0.739
Paracombe (SA),2013-09-11 09:00:00 +1000,148.187,0.0,15.1,1.7
Paracombe (SA),2013-09-11 10:00:00 +1000,258.543,0.0,15.1,2.934
Paracombe (SA),2013-09-11 11:00:00 +1000,366.442,0.0,16.7,3.968
Paracombe (SA),2013-09-11 12:00:00 +1000,350.85,0.0,17.7,3.95
Paracombe (SA),2013-09-11 13:00:00 +1000,611.061,0.0,17.7,6.709
Paracombe (SA),2013-09-11 14:00:00 +1000,423.171,0.0,17.9,4.886
Paracombe (SA),2013-09-11 15:00:00 +1000,552.481,0.0,18.0,6.401
Paracombe (SA),2013-09-11 16:00:00 +1000,365.104,0.0,17.1,4.956
Paracombe (SA),2013-09-11 17:00:00 +1000,227.656,0.0,14.8,2.651
Paracombe (SA),2013-09-11 18:00:00 +1000,56.388,0.0,12.0,0.492
Paracombe (SA),2013-09-11 19:00:00 +1000,1.411,0.0,11.8,0.012
Paracombe (SA),2013-09-11 20:00:00 +1000,0.0,0.0,10.4,
Paracombe (SA),2013-09-11 21:00:00 +1000,0.0,0.0,10.0,
Paracombe (SA),2013-09-11 22:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-11 23:00:00 +1000,0.0,0.0,11.9,
Paracombe (SA),2013-09-12 01:00:00 +1000,0.0,0.0,11.2,
Paracombe (SA),2013-09-12 02:00:00 +1000,0.0,0.0,9.4,
Paracombe (SA),2013-09-12 03:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-12 04:00:00 +1000,0.0,0.0,11.7,
Paracombe (SA),2013-09-12 05:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-12 06:00:00 +1000,0.0,0.0,13.4,
Paracombe (SA),2013-09-12 07:00:00 +1000,4.73,0.0,14.8,0.074
Paracombe (SA),2013-09-12 08:00:00 +1000,50.268,0.0,16.1,0.662
Paracombe (SA),2013-09-12 09:00:00 +1000,118.291,0.0,16.9,1.092
Paracombe (SA),2013-09-12 10:00:00 +1000,303.271,0.0,18.6,3.122
Paracombe (SA),2013-09-12 11:00:00 +1000,482.489,0.0,16.9,5.124
Paracombe (SA),2013-09-12 12:00:00 +1000,404.599,0.0,16.8,4.647
Paracombe (SA),2013-09-12 13:00:00 +1000,102.879,0.0,15.8,1.105
Paracombe (SA),2013-09-12 14:00:00 +1000,144.857,0.0,13.8,1.575
Paracombe (SA),2013-09-12 15:00:00 +1000,57.577,0.0,13.2,0.545
Paracombe (SA),2013-09-12 16:00:00 +1000,37.584,0.0,13.0,0.319
Paracombe (SA),2013-09-12 17:00:00 +1000,18.695,0.0,13.6,0.13
Paracombe (SA),2013-09-12 18:00:00 +1000,8.984,0.0,13.4,0.057
Paracombe (SA),2013-09-12 19:00:00 +1000,0.0,0.0,12.2,0.0
Paracombe (SA),2013-09-12 20:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-12 21:00:00 +1000,0.0,0.0,12.6,
Paracombe (SA),2013-09-12 22:00:00 +1000,0.0,0.0,13.3,
Paracombe (SA),2013-09-12 23:00:00 +1000,0.0,0.0,13.2,
Paracombe (SA),2013-09-13 01:00:00 +1000,0.0,0.0,13.5,
Paracombe (SA),2013-09-13 02:00:00 +1000,0.0,0.0,13.2,
Paracombe (SA),2013-09-13 03:00:00 +1000,0.0,0.0,13.2,
Paracombe (SA),2013-09-13 04:00:00 +1000,0.0,0.0,13.2,
Paracombe (SA),2013-09-13 05:00:00 +1000,0.0,0.0,12.5,
Paracombe (SA),2013-09-13 06:00:00 +1000,0.0,0.0,12.1,
Paracombe (SA),2013-09-13 07:00:00 +1000,0.117,0.0,12.9,0.0
Paracombe (SA),2013-09-13 08:00:00 +1000,25.92,0.0,14.7,0.263
Paracombe (SA),2013-09-13 09:00:00 +1000,51.161,0.0,16.3,0.519
Paracombe (SA),2013-09-13 10:00:00 +1000,158.652,0.0,17.0,1.759
Paracombe (SA),2013-09-13 11:00:00 +1000,376.552,0.0,17.2,4.159
Paracombe (SA),2013-09-13 12:00:00 +1000,306.533,0.0,18.1,3.458
Paracombe (SA),2013-09-13 13:00:00 +1000,261.226,0.0,18.3,2.353
Paracombe (SA),2013-09-13 14:00:00 +1000,302.733,0.0,18.5,2.628
Paracombe (SA),2013-09-13 15:00:00 +1000,555.795,0.0,18.3,6.22
Paracombe (SA),2013-09-13 16:00:00 +1000,322.991,0.0,17.3,3.599
Paracombe (SA),2013-09-13 17:00:00 +1000,130.226,0.0,14.8,1.262
Paracombe (SA),2013-09-13 18:00:00 +1000,59.803,0.0,14.0,0.591
Paracombe (SA),2013-09-13 19:00:00 +1000,2.206,0.0,12.3,0.03
Paracombe (SA),2013-09-13 20:00:00 +1000,0.0,0.0,12.6,
Paracombe (SA),2013-09-13 21:00:00 +1000,0.0,0.0,12.1,
Paracombe (SA),2013-09-13 22:00:00 +1000,0.0,0.0,13.2,
Paracombe (SA),2013-09-13 23:00:00 +1000,0.0,0.0,12.6,
Paracombe (SA),2013-09-14 01:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-14 02:00:00 +1000,0.0,0.0,11.6,
Paracombe (SA),2013-09-14 03:00:00 +1000,0.0,0.0,12.2,
Paracombe (SA),2013-09-14 04:00:00 +1000,0.0,0.0,11.8,
Paracombe (SA),2013-09-14 05:00:00 +1000,0.0,0.0,11.7,
Paracombe (SA),2013-09-14 06:00:00 +1000,0.0,0.0,11.6,
Paracombe (SA),2013-09-14 07:00:00 +1000,0.767,0.0,12.5,0.0
Paracombe (SA),2013-09-14 08:00:00 +1000,24.014,0.0,14.9,0.218
Paracombe (SA),2013-09-14 09:00:00 +1000,77.427,0.0,16.1,0.839
Paracombe (SA),2013-09-14 10:00:00 +1000,177.707,0.0,17.1,1.965
Paracombe (SA),2013-09-14 11:00:00 +1000,415.097,0.0,17.9,4.532
Paracombe (SA),2013-09-14 12:00:00 +1000,422.374,0.0,19.1,4.694
Paracombe (SA),2013-09-14 13:00:00 +1000,348.091,0.0,19.5,3.93
Paracombe (SA),2013-09-14 14:00:00 +1000,386.791,0.0,19.2,4.414
Paracombe (SA),2013-09-14 15:00:00 +1000,356.817,0.0,18.9,3.987
Paracombe (SA),2013-09-14 16:00:00 +1000,370.166,0.0,17.9,4.435
Paracombe (SA),2013-09-14 17:00:00 +1000,200.292,0.0,15.3,2.393
Paracombe (SA),2013-09-14 18:00:00 +1000,46.764,0.0,13.8,0.514
Paracombe (SA),2013-09-14 19:00:00 +1000,1.609,0.0,13.0,0.033
Paracombe (SA),2013-09-14 20:00:00 +1000,0.0,0.0,11.5,
Paracombe (SA),2013-09-14 21:00:00 +1000,0.0,0.0,10.7,
Paracombe (SA),2013-09-14 22:00:00 +1000,0.0,0.0,10.7,
Paracombe (SA),2013-09-14 23:00:00 +1000,0.0,0.0,9.3,
Paracombe (SA),2013-09-15 01:00:00 +1000,0.0,0.0,11.5,
Paracombe (SA),2013-09-15 02:00:00 +1000,0.0,0.0,13.5,
