Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Reedy Creek (QLD),2012-01-01 00:00:00 +1000,0.0,20.731,19.9,
Reedy Creek (QLD),2012-01-01 01:00:00 +1000,0.0,19.196,19.8,
Reedy Creek (QLD),2012-01-01 02:00:00 +1000,0.0,19.185,18.7,
Reedy Creek (QLD),2012-01-01 03:00:00 +1000,0.0,19.191,18.8,
Reedy Creek (QLD),2012-01-01 04:00:00 +1000,2.437,19.08,19.2,0.0
Reedy Creek (QLD),2012-01-01 05:00:00 +1000,43.0,20.903,18.9,0.09
Reedy Creek (QLD),2012-01-01 06:00:00 +1000,166.353,22.743,19.7,0.76
Reedy Creek (QLD),2012-01-01 07:00:00 +1000,554.376,26.29,20.9,2.14
Reedy Creek (QLD),2012-01-01 08:00:00 +1000,587.864,27.712,23.2,2.78
Reedy Creek (QLD),2012-01-01 09:00:00 +1000,422.926,26.319,24.6,1.86
Reedy Creek (QLD),2012-01-01 10:00:00 +1000,614.776,27.653,24.9,2.68
Reedy Creek (QLD),2012-01-01 11:00:00 +1000,594.544,27.016,24.7,2.94
Reedy Creek (QLD),2012-01-01 12:00:00 +1000,657.76,27.649,25.5,2.7
Reedy Creek (QLD),2012-01-01 13:00:00 +1000,621.336,28.103,26.0,2.67
Reedy Creek (QLD),2012-01-01 14:00:00 +1000,428.631,27.038,26.5,2.27
Reedy Creek (QLD),2012-01-01 15:00:00 +1000,347.784,27.971,25.7,1.65
Reedy Creek (QLD),2012-01-01 16:00:00 +1000,99.212,27.536,25.1,0.47
Reedy Creek (QLD),2012-01-01 17:00:00 +1000,30.952,25.578,24.5,0.15
Reedy Creek (QLD),2012-01-01 18:00:00 +1000,0.622,21.841,23.5,0.03
Reedy Creek (QLD),2012-01-01 19:00:00 +1000,0.0,20.393,22.2,
Reedy Creek (QLD),2012-01-01 20:00:00 +1000,0.0,19.435,20.9,
Reedy Creek (QLD),2012-01-01 21:00:00 +1000,0.0,19.382,19.5,
Reedy Creek (QLD),2012-01-01 22:00:00 +1000,0.0,19.352,18.6,
Reedy Creek (QLD),2012-01-02 00:00:00 +1000,0.0,19.538,18.0,
Reedy Creek (QLD),2012-01-02 01:00:00 +1000,0.0,18.861,18.4,
Reedy Creek (QLD),2012-01-02 02:00:00 +1000,0.0,18.72,17.4,
Reedy Creek (QLD),2012-01-02 03:00:00 +1000,0.0,18.73,17.3,
Reedy Creek (QLD),2012-01-02 04:00:00 +1000,2.757,19.011,17.3,0.0
Reedy Creek (QLD),2012-01-02 05:00:00 +1000,42.375,20.335,18.1,0.18
Reedy Creek (QLD),2012-01-02 06:00:00 +1000,305.621,25.588,19.3,0.92
Reedy Creek (QLD),2012-01-02 07:00:00 +1000,544.831,27.74,22.4,2.1
Reedy Creek (QLD),2012-01-02 08:00:00 +1000,720.48,27.435,24.4,2.89
Reedy Creek (QLD),2012-01-02 09:00:00 +1000,665.161,28.874,25.3,2.63
Reedy Creek (QLD),2012-01-02 10:00:00 +1000,740.944,27.748,24.2,3.11
Reedy Creek (QLD),2012-01-02 11:00:00 +1000,718.812,28.487,25.6,3.03
Reedy Creek (QLD),2012-01-02 12:00:00 +1000,592.605,28.001,26.8,2.53
Reedy Creek (QLD),2012-01-02 13:00:00 +1000,643.879,28.565,26.2,2.82
Reedy Creek (QLD),2012-01-02 14:00:00 +1000,589.512,28.828,26.8,2.64
Reedy Creek (QLD),2012-01-02 15:00:00 +1000,363.375,28.04,25.5,1.67
Reedy Creek (QLD),2012-01-02 16:00:00 +1000,59.984,25.7,24.6,0.51
Reedy Creek (QLD),2012-01-02 17:00:00 +1000,48.128,24.633,24.1,0.25
Reedy Creek (QLD),2012-01-02 18:00:00 +1000,0.0,23.279,23.8,0.04
Reedy Creek (QLD),2012-01-02 19:00:00 +1000,0.0,22.068,23.2,
Reedy Creek (QLD),2012-01-02 20:00:00 +1000,0.0,21.346,22.6,
Reedy Creek (QLD),2012-01-02 21:00:00 +1000,0.0,19.95,21.0,
Reedy Creek (QLD),2012-01-02 22:00:00 +1000,0.0,19.814,19.6,
Reedy Creek (QLD),2012-01-03 00:00:00 +1000,0.0,19.535,17.9,
Reedy Creek (QLD),2012-01-03 01:00:00 +1000,0.0,19.262,17.7,
Reedy Creek (QLD),2012-01-03 02:00:00 +1000,0.0,18.784,17.3,
Reedy Creek (QLD),2012-01-03 03:00:00 +1000,0.0,18.906,16.8,
Reedy Creek (QLD),2012-01-03 04:00:00 +1000,0.0,20.571,17.0,
Reedy Creek (QLD),2012-01-03 05:00:00 +1000,34.264,21.033,18.2,0.06
Reedy Creek (QLD),2012-01-03 06:00:00 +1000,288.871,25.964,20.7,0.98
Reedy Creek (QLD),2012-01-03 07:00:00 +1000,364.964,26.413,22.7,1.65
Reedy Creek (QLD),2012-01-03 08:00:00 +1000,384.905,26.752,24.1,1.7
Reedy Creek (QLD),2012-01-03 09:00:00 +1000,899.605,28.72,23.8,2.83
Reedy Creek (QLD),2012-01-03 10:00:00 +1000,609.024,27.486,25.3,2.4
Reedy Creek (QLD),2012-01-03 11:00:00 +1000,896.482,29.023,26.2,3.72
Reedy Creek (QLD),2012-01-03 12:00:00 +1000,859.153,28.57,27.1,3.62
Reedy Creek (QLD),2012-01-03 13:00:00 +1000,510.766,27.719,26.0,2.55
Reedy Creek (QLD),2012-01-03 14:00:00 +1000,444.942,27.851,26.5,2.25
Reedy Creek (QLD),2012-01-03 15:00:00 +1000,341.976,31.628,25.7,1.69
Reedy Creek (QLD),2012-01-03 16:00:00 +1000,132.825,25.84,24.5,0.65
Reedy Creek (QLD),2012-01-03 17:00:00 +1000,41.896,24.191,24.5,0.32
Reedy Creek (QLD),2012-01-03 18:00:00 +1000,0.0,23.302,23.6,0.03
Reedy Creek (QLD),2012-01-03 19:00:00 +1000,0.0,22.552,23.1,
Reedy Creek (QLD),2012-01-03 20:00:00 +1000,0.0,19.218,21.7,
Reedy Creek (QLD),2012-01-03 21:00:00 +1000,0.0,18.733,19.5,
Reedy Creek (QLD),2012-01-03 22:00:00 +1000,0.0,18.825,19.0,
Reedy Creek (QLD),2012-01-04 00:00:00 +1000,0.0,18.77,18.5,
Reedy Creek (QLD),2012-01-04 01:00:00 +1000,0.0,17.277,18.1,
Reedy Creek (QLD),2012-01-04 02:00:00 +1000,0.0,16.747,17.7,
Reedy Creek (QLD),2012-01-04 03:00:00 +1000,0.0,16.749,16.8,
Reedy Creek (QLD),2012-01-04 04:00:00 +1000,0.255,17.651,17.7,0.0
Reedy Creek (QLD),2012-01-04 05:00:00 +1000,76.691,22.784,17.5,0.2
Reedy Creek (QLD),2012-01-04 06:00:00 +1000,290.032,28.492,19.1,1.01
Reedy Creek (QLD),2012-01-04 07:00:00 +1000,443.903,29.745,22.4,2.05
Reedy Creek (QLD),2012-01-04 08:00:00 +1000,391.863,27.438,24.3,2.31
Reedy Creek (QLD),2012-01-04 09:00:00 +1000,721.39,29.079,25.2,3.27
Reedy Creek (QLD),2012-01-04 10:00:00 +1000,902.512,29.813,25.0,3.63
Reedy Creek (QLD),2012-01-04 11:00:00 +1000,904.444,28.836,25.8,3.83
Reedy Creek (QLD),2012-01-04 12:00:00 +1000,831.379,29.524,25.9,3.65
Reedy Creek (QLD),2012-01-04 13:00:00 +1000,688.395,28.715,26.1,3.21
Reedy Creek (QLD),2012-01-04 14:00:00 +1000,496.423,29.631,25.8,2.56
Reedy Creek (QLD),2012-01-04 15:00:00 +1000,258.894,31.027,26.3,1.65
Reedy Creek (QLD),2012-01-04 16:00:00 +1000,69.218,31.461,26.4,0.65
Reedy Creek (QLD),2012-01-04 17:00:00 +1000,42.248,29.341,25.5,0.15
Reedy Creek (QLD),2012-01-04 18:00:00 +1000,0.0,23.499,24.5,0.03
Reedy Creek (QLD),2012-01-04 19:00:00 +1000,0.0,22.846,23.7,
Reedy Creek (QLD),2012-01-04 20:00:00 +1000,0.0,22.334,23.6,
Reedy Creek (QLD),2012-01-04 21:00:00 +1000,0.0,22.22,23.5,
Reedy Creek (QLD),2012-01-04 22:00:00 +1000,0.0,21.932,23.6,
Reedy Creek (QLD),2012-01-05 00:00:00 +1000,0.0,20.726,21.3,
Reedy Creek (QLD),2012-01-05 01:00:00 +1000,0.0,20.562,20.5,
Reedy Creek (QLD),2012-01-05 02:00:00 +1000,0.0,20.342,20.2,
Reedy Creek (QLD),2012-01-05 03:00:00 +1000,0.0,20.859,19.3,
Reedy Creek (QLD),2012-01-05 04:00:00 +1000,0.0,21.835,20.0,
Reedy Creek (QLD),2012-01-05 05:00:00 +1000,14.097,22.509,21.0,0.02
Reedy Creek (QLD),2012-01-05 06:00:00 +1000,61.395,23.381,21.4,0.1
Reedy Creek (QLD),2012-01-05 07:00:00 +1000,138.573,26.532,23.0,0.59
Reedy Creek (QLD),2012-01-05 08:00:00 +1000,275.492,26.701,25.0,1.12
Reedy Creek (QLD),2012-01-05 09:00:00 +1000,446.664,27.943,25.5,2.15
Reedy Creek (QLD),2012-01-05 10:00:00 +1000,628.488,28.479,27.4,1.72
Reedy Creek (QLD),2012-01-05 11:00:00 +1000,471.323,28.265,27.1,2.12
Reedy Creek (QLD),2012-01-05 12:00:00 +1000,457.496,28.148,26.2,2.46
Reedy Creek (QLD),2012-01-05 13:00:00 +1000,480.613,28.148,26.7,1.98
Reedy Creek (QLD),2012-01-05 14:00:00 +1000,295.1,27.269,27.6,1.27
Reedy Creek (QLD),2012-01-05 17:00:00 +1000,46.584,24.342,25.0,0.24
Reedy Creek (QLD),2012-01-05 18:00:00 +1000,0.0,23.341,24.0,0.04
Reedy Creek (QLD),2012-01-05 19:00:00 +1000,0.0,21.404,23.4,
Reedy Creek (QLD),2012-01-05 20:00:00 +1000,0.0,21.156,23.5,
