Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
The Gap (QLD),2012-01-01 00:00:00 +1000,2.013,,20.3,
The Gap (QLD),2012-01-01 01:00:00 +1000,1.934,,20.2,
The Gap (QLD),2012-01-01 02:00:00 +1000,1.984,,19.4,
The Gap (QLD),2012-01-01 03:00:00 +1000,2.013,,19.7,
The Gap (QLD),2012-01-01 04:00:00 +1000,2.651,,18.6,0.0
The Gap (QLD),2012-01-01 05:00:00 +1000,29.166,,18.1,0.11
The Gap (QLD),2012-01-01 06:00:00 +1000,103.083,,19.6,0.72
The Gap (QLD),2012-01-01 07:00:00 +1000,,,21.5,2.44
The Gap (QLD),2012-01-01 08:00:00 +1000,,,23.3,3.13
The Gap (QLD),2012-01-01 09:00:00 +1000,999.814,,25.1,3.51
The Gap (QLD),2012-01-01 11:00:00 +1000,,,26.0,3.53
The Gap (QLD),2012-01-01 12:00:00 +1000,1095.88,,26.9,3.93
The Gap (QLD),2012-01-01 13:00:00 +1000,782.364,,27.4,2.94
The Gap (QLD),2012-01-01 14:00:00 +1000,711.372,,26.5,2.94
The Gap (QLD),2012-01-01 15:00:00 +1000,523.269,,26.9,2.0
The Gap (QLD),2012-01-01 18:00:00 +1000,23.792,,24.2,0.06
The Gap (QLD),2012-01-01 21:00:00 +1000,2.028,,20.5,
The Gap (QLD),2012-01-01 22:00:00 +1000,2.166,,18.9,
The Gap (QLD),2012-01-02 00:00:00 +1000,2.306,,18.4,
The Gap (QLD),2012-01-02 01:00:00 +1000,2.677,,19.1,
The Gap (QLD),2012-01-02 02:00:00 +1000,2.223,,18.3,
The Gap (QLD),2012-01-02 03:00:00 +1000,2.349,,18.1,
The Gap (QLD),2012-01-02 04:00:00 +1000,3.113,,18.2,0.0
The Gap (QLD),2012-01-02 05:00:00 +1000,31.491,,18.3,0.13
The Gap (QLD),2012-01-02 06:00:00 +1000,125.352,,19.3,0.88
The Gap (QLD),2012-01-02 07:00:00 +1000,304.5,,21.6,2.11
The Gap (QLD),2012-01-02 08:00:00 +1000,916.667,,24.4,3.2
The Gap (QLD),2012-01-02 09:00:00 +1000,662.9,,25.8,3.53
The Gap (QLD),2012-01-02 10:00:00 +1000,674.379,,25.6,2.43
The Gap (QLD),2012-01-02 11:00:00 +1000,1131.281,,26.2,4.02
The Gap (QLD),2012-01-02 14:00:00 +1000,428.625,,26.7,2.7
The Gap (QLD),2012-01-02 15:00:00 +1000,551.95,,27.2,2.31
The Gap (QLD),2012-01-02 16:00:00 +1000,250.389,,26.9,1.66
The Gap (QLD),2012-01-02 17:00:00 +1000,99.2,,25.3,0.39
The Gap (QLD),2012-01-02 18:00:00 +1000,19.458,,24.3,0.15
The Gap (QLD),2012-01-02 19:00:00 +1000,1.863,,23.1,
The Gap (QLD),2012-01-02 20:00:00 +1000,2.092,,22.5,
The Gap (QLD),2012-01-02 21:00:00 +1000,1.953,,21.1,
The Gap (QLD),2012-01-02 22:00:00 +1000,1.58,,21.9,
The Gap (QLD),2012-01-03 00:00:00 +1000,1.991,,19.8,
The Gap (QLD),2012-01-03 01:00:00 +1000,2.096,,18.2,
The Gap (QLD),2012-01-03 02:00:00 +1000,2.061,,18.1,
The Gap (QLD),2012-01-03 03:00:00 +1000,1.984,,18.3,
The Gap (QLD),2012-01-03 04:00:00 +1000,2.497,,18.8,0.0
The Gap (QLD),2012-01-03 05:00:00 +1000,28.493,,18.1,0.11
The Gap (QLD),2012-01-03 06:00:00 +1000,115.794,,18.7,0.72
The Gap (QLD),2012-01-03 07:00:00 +1000,146.5,,19.8,
The Gap (QLD),2012-01-03 08:00:00 +1000,611.141,,21.4,2.59
The Gap (QLD),2012-01-03 09:00:00 +1000,639.5,,25.0,3.22
The Gap (QLD),2012-01-03 10:00:00 +1000,,,24.8,2.26
The Gap (QLD),2012-01-03 11:00:00 +1000,535.431,,25.3,2.8
The Gap (QLD),2012-01-03 12:00:00 +1000,,,27.0,2.65
The Gap (QLD),2012-01-03 13:00:00 +1000,,,27.1,3.4
The Gap (QLD),2012-01-03 14:00:00 +1000,,,27.1,2.23
The Gap (QLD),2012-01-03 15:00:00 +1000,502.51,,27.3,2.22
The Gap (QLD),2012-01-03 16:00:00 +1000,316.814,,26.4,1.76
The Gap (QLD),2012-01-03 17:00:00 +1000,104.3,,26.2,0.47
The Gap (QLD),2012-01-03 18:00:00 +1000,23.089,,24.8,0.0
The Gap (QLD),2012-01-03 19:00:00 +1000,1.892,,23.4,
The Gap (QLD),2012-01-03 20:00:00 +1000,1.96,,22.4,
The Gap (QLD),2012-01-03 21:00:00 +1000,2.032,,21.7,
The Gap (QLD),2012-01-03 22:00:00 +1000,2.05,,21.1,
The Gap (QLD),2012-01-04 00:00:00 +1000,2.11,,18.7,
The Gap (QLD),2012-01-04 01:00:00 +1000,2.156,,19.6,
The Gap (QLD),2012-01-04 02:00:00 +1000,2.233,,18.4,
The Gap (QLD),2012-01-04 03:00:00 +1000,2.447,,17.7,
The Gap (QLD),2012-01-04 04:00:00 +1000,2.957,,18.5,0.0
The Gap (QLD),2012-01-04 05:00:00 +1000,28.452,,18.2,0.1
The Gap (QLD),2012-01-04 06:00:00 +1000,116.392,,19.5,0.87
The Gap (QLD),2012-01-04 07:00:00 +1000,344.991,,22.4,2.1
The Gap (QLD),2012-01-04 08:00:00 +1000,792.666,,24.5,3.08
The Gap (QLD),2012-01-04 09:00:00 +1000,990.297,,25.3,3.81
The Gap (QLD),2012-01-04 10:00:00 +1000,1118.226,,26.5,4.08
The Gap (QLD),2012-01-04 11:00:00 +1000,1190.83,,27.8,4.4
The Gap (QLD),2012-01-04 12:00:00 +1000,1159.381,,27.8,4.23
The Gap (QLD),2012-01-04 13:00:00 +1000,1050.489,,27.8,3.96
The Gap (QLD),2012-01-04 14:00:00 +1000,921.809,,28.0,3.35
The Gap (QLD),2012-01-04 15:00:00 +1000,,,28.3,2.34
The Gap (QLD),2012-01-04 16:00:00 +1000,,,27.6,0.74
The Gap (QLD),2012-01-04 17:00:00 +1000,61.434,,26.7,0.16
The Gap (QLD),2012-01-04 18:00:00 +1000,35.667,,25.6,0.11
The Gap (QLD),2012-01-04 20:00:00 +1000,1.13,,23.7,
The Gap (QLD),2012-01-04 21:00:00 +1000,1.202,,23.5,
The Gap (QLD),2012-01-04 22:00:00 +1000,1.184,,23.3,
The Gap (QLD),2012-01-05 00:00:00 +1000,1.365,,22.6,
The Gap (QLD),2012-01-05 01:00:00 +1000,1.91,,22.6,
The Gap (QLD),2012-01-05 02:00:00 +1000,2.051,,22.0,
The Gap (QLD),2012-01-05 03:00:00 +1000,1.789,,21.4,
The Gap (QLD),2012-01-05 04:00:00 +1000,2.318,,19.9,0.0
The Gap (QLD),2012-01-05 05:00:00 +1000,28.765,,20.6,0.02
The Gap (QLD),2012-01-05 06:00:00 +1000,86.388,,21.9,0.33
The Gap (QLD),2012-01-05 07:00:00 +1000,160.106,,23.3,0.88
The Gap (QLD),2012-01-05 08:00:00 +1000,280.186,,24.1,1.18
The Gap (QLD),2012-01-05 09:00:00 +1000,484.58,,26.3,2.01
The Gap (QLD),2012-01-05 10:00:00 +1000,707.39,,25.8,2.79
The Gap (QLD),2012-01-05 11:00:00 +1000,494.451,,27.2,1.67
The Gap (QLD),2012-01-05 13:00:00 +1000,399.167,,27.1,
The Gap (QLD),2012-01-05 14:00:00 +1000,336.771,,26.9,1.21
The Gap (QLD),2012-01-05 16:00:00 +1000,65.111,,25.7,0.26
The Gap (QLD),2012-01-05 17:00:00 +1000,74.032,,25.5,0.29
The Gap (QLD),2012-01-05 19:00:00 +1000,1.031,,24.0,
The Gap (QLD),2012-01-05 20:00:00 +1000,1.072,,23.3,
The Gap (QLD),2012-01-05 21:00:00 +1000,1.184,,23.1,
The Gap (QLD),2012-01-05 22:00:00 +1000,1.355,,22.4,
The Gap (QLD),2012-01-06 00:00:00 +1000,1.206,,21.8,
The Gap (QLD),2012-01-06 01:00:00 +1000,1.249,,21.2,
The Gap (QLD),2012-01-06 02:00:00 +1000,1.406,,20.7,
The Gap (QLD),2012-01-06 03:00:00 +1000,1.758,,19.6,
The Gap (QLD),2012-01-06 04:00:00 +1000,2.08,,19.3,
The Gap (QLD),2012-01-06 05:00:00 +1000,28.292,,18.7,0.1
The Gap (QLD),2012-01-06 06:00:00 +1000,51.0,,21.5,0.27
The Gap (QLD),2012-01-06 07:00:00 +1000,524.763,,24.0,1.7
The Gap (QLD),2012-01-06 08:00:00 +1000,461.251,,24.3,1.91
The Gap (QLD),2012-01-06 09:00:00 +1000,768.375,,25.5,3.22
The Gap (QLD),2012-01-06 10:00:00 +1000,1186.132,,26.6,4.05
The Gap (QLD),2012-01-06 11:00:00 +1000,1206.165,,27.7,4.33
The Gap (QLD),2012-01-06 12:00:00 +1000,995.923,,29.4,3.55
The Gap (QLD),2012-01-06 13:00:00 +1000,977.498,,30.4,3.54
The Gap (QLD),2012-01-06 14:00:00 +1000,,,29.1,2.94
The Gap (QLD),2012-01-06 15:00:00 +1000,,,29.1,1.67
The Gap (QLD),2012-01-06 16:00:00 +1000,49.415,,26.7,0.16
The Gap (QLD),2012-01-06 17:00:00 +1000,80.778,,26.1,0.31
The Gap (QLD),2012-01-06 18:00:00 +1000,20.526,,25.7,0.05
The Gap (QLD),2012-01-06 19:00:00 +1000,0.991,,24.7,
The Gap (QLD),2012-01-06 20:00:00 +1000,1.047,,24.4,
The Gap (QLD),2012-01-06 21:00:00 +1000,1.102,,24.0,
The Gap (QLD),2012-01-06 22:00:00 +1000,1.206,,23.9,
The Gap (QLD),2012-01-07 00:00:00 +1000,1.109,,23.4,
The Gap (QLD),2012-01-07 01:00:00 +1000,1.003,,22.8,
The Gap (QLD),2012-01-07 02:00:00 +1000,1.0,,23.0,
The Gap (QLD),2012-01-07 03:00:00 +1000,1.327,,22.8,
The Gap (QLD),2012-01-07 04:00:00 +1000,1.632,,22.2,
The Gap (QLD),2012-01-07 05:00:00 +1000,32.491,,21.4,0.11
The Gap (QLD),2012-01-07 06:00:00 +1000,106.513,,22.4,0.45
The Gap (QLD),2012-01-07 07:00:00 +1000,130.369,,23.9,0.56
The Gap (QLD),2012-01-07 08:00:00 +1000,133.5,,22.9,1.66
The Gap (QLD),2012-01-07 09:00:00 +1000,,,24.2,1.7
The Gap (QLD),2012-01-07 10:00:00 +1000,328.368,,25.9,1.37
The Gap (QLD),2012-01-07 11:00:00 +1000,147.0,,26.2,1.39
The Gap (QLD),2012-01-07 12:00:00 +1000,,,26.6,1.39
The Gap (QLD),2012-01-07 13:00:00 +1000,466.818,,26.6,1.8
The Gap (QLD),2012-01-07 14:00:00 +1000,,,26.2,1.33
The Gap (QLD),2012-01-07 15:00:00 +1000,,,27.0,2.28
The Gap (QLD),2012-01-07 16:00:00 +1000,243.141,,26.9,0.99
The Gap (QLD),2012-01-07 17:00:00 +1000,101.442,,26.1,0.24
The Gap (QLD),2012-01-07 18:00:00 +1000,22.217,,25.6,0.01
The Gap (QLD),2012-01-07 19:00:00 +1000,1.375,,24.3,
The Gap (QLD),2012-01-07 20:00:00 +1000,1.201,,23.7,
The Gap (QLD),2012-01-07 21:00:00 +1000,1.467,,24.0,
The Gap (QLD),2012-01-07 22:00:00 +1000,1.606,,24.0,
The Gap (QLD),2012-01-08 00:00:00 +1000,1.31,,23.9,
The Gap (QLD),2012-01-08 01:00:00 +1000,1.744,,23.6,
The Gap (QLD),2012-01-08 02:00:00 +1000,1.141,,23.8,
The Gap (QLD),2012-01-08 03:00:00 +1000,1.256,,23.6,
The Gap (QLD),2012-01-08 04:00:00 +1000,1.675,,23.7,
The Gap (QLD),2012-01-08 05:00:00 +1000,25.57,,23.6,0.03
The Gap (QLD),2012-01-08 06:00:00 +1000,125.03,,23.9,0.54
The Gap (QLD),2012-01-08 07:00:00 +1000,322.242,,25.3,1.66
The Gap (QLD),2012-01-08 08:00:00 +1000,567.64,,27.1,2.35
The Gap (QLD),2012-01-08 09:00:00 +1000,,,26.9,3.0
The Gap (QLD),2012-01-08 10:00:00 +1000,886.979,,29.3,3.8
The Gap (QLD),2012-01-08 11:00:00 +1000,1012.034,,28.7,4.1
The Gap (QLD),2012-01-08 12:00:00 +1000,1086.959,,29.1,4.03
The Gap (QLD),2012-01-08 13:00:00 +1000,1059.132,,30.1,4.05
The Gap (QLD),2012-01-08 14:00:00 +1000,851.323,,29.6,3.22
The Gap (QLD),2012-01-08 15:00:00 +1000,577.345,,28.9,2.31
The Gap (QLD),2012-01-08 16:00:00 +1000,406.475,,29.5,0.96
The Gap (QLD),2012-01-08 19:00:00 +1000,1.586,,25.9,
The Gap (QLD),2012-01-08 20:00:00 +1000,1.563,,25.7,
The Gap (QLD),2012-01-08 21:00:00 +1000,1.398,,25.4,
The Gap (QLD),2012-01-08 22:00:00 +1000,1.706,,25.1,
The Gap (QLD),2012-01-09 00:00:00 +1000,1.287,,24.7,
The Gap (QLD),2012-01-09 01:00:00 +1000,1.504,,24.3,
The Gap (QLD),2012-01-09 02:00:00 +1000,1.359,,24.1,
The Gap (QLD),2012-01-09 03:00:00 +1000,1.977,,23.7,
The Gap (QLD),2012-01-09 04:00:00 +1000,2.101,,23.4,0.0
The Gap (QLD),2012-01-09 05:00:00 +1000,43.551,,23.1,0.18
The Gap (QLD),2012-01-09 06:00:00 +1000,179.867,,24.0,0.84
The Gap (QLD),2012-01-09 07:00:00 +1000,385.641,,26.0,1.76
The Gap (QLD),2012-01-09 08:00:00 +1000,630.456,,28.2,2.54
The Gap (QLD),2012-01-09 09:00:00 +1000,952.678,,29.7,3.46
The Gap (QLD),2012-01-09 10:00:00 +1000,1065.17,,31.6,3.96
The Gap (QLD),2012-01-09 11:00:00 +1000,1145.15,,32.3,3.93
The Gap (QLD),2012-01-09 12:00:00 +1000,1118.879,,31.9,3.92
The Gap (QLD),2012-01-09 13:00:00 +1000,729.879,,33.0,2.97
The Gap (QLD),2012-01-09 14:00:00 +1000,688.147,,32.5,2.3
The Gap (QLD),2012-01-09 15:00:00 +1000,367.111,,33.0,1.64
The Gap (QLD),2012-01-09 16:00:00 +1000,159.024,,31.3,0.55
The Gap (QLD),2012-01-09 17:00:00 +1000,,,29.9,0.29
The Gap (QLD),2012-01-09 18:00:00 +1000,5.111,,29.2,
The Gap (QLD),2012-01-09 19:00:00 +1000,1.47,,28.6,
The Gap (QLD),2012-01-09 20:00:00 +1000,1.407,,28.3,
The Gap (QLD),2012-01-09 21:00:00 +1000,1.5,,28.0,
The Gap (QLD),2012-01-09 22:00:00 +1000,1.586,,27.4,
The Gap (QLD),2012-01-10 00:00:00 +1000,1.927,,26.7,
The Gap (QLD),2012-01-10 01:00:00 +1000,1.923,,26.8,
The Gap (QLD),2012-01-10 02:00:00 +1000,1.666,,26.2,
The Gap (QLD),2012-01-10 03:00:00 +1000,1.964,,25.1,
The Gap (QLD),2012-01-10 04:00:00 +1000,2.175,,25.4,
The Gap (QLD),2012-01-10 05:00:00 +1000,38.05,,25.4,0.13
The Gap (QLD),2012-01-10 06:00:00 +1000,130.996,,25.7,0.59
