Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Yolla (TAS),2012-10-15 11:00:00 +1000,683.627,16.664,14.3,
Yolla (TAS),2012-10-15 12:00:00 +1000,863.982,17.945,13.2,
Yolla (TAS),2012-10-15 13:00:00 +1000,672.348,17.714,14.2,
Yolla (TAS),2012-10-15 14:00:00 +1000,559.634,17.971,14.9,
Yolla (TAS),2012-10-15 15:00:00 +1000,310.061,17.666,14.7,
Yolla (TAS),2012-10-15 16:00:00 +1000,237.303,16.944,14.3,
Yolla (TAS),2012-10-15 17:00:00 +1000,169.832,16.3,14.7,
Yolla (TAS),2012-10-15 18:00:00 +1000,80.492,15.055,15.3,
Yolla (TAS),2012-10-15 19:00:00 +1000,19.049,13.65,13.7,
Yolla (TAS),2012-10-15 20:00:00 +1000,0.0,12.598,13.6,
Yolla (TAS),2012-10-15 21:00:00 +1000,0.005,12.443,13.6,
Yolla (TAS),2012-10-15 22:00:00 +1000,0.0,12.219,13.6,
Yolla (TAS),2012-10-16 00:00:00 +1000,0.0,11.886,12.9,
Yolla (TAS),2012-10-16 01:00:00 +1000,0.0,11.65,12.2,
Yolla (TAS),2012-10-16 02:00:00 +1000,0.0,10.26,12.4,
Yolla (TAS),2012-10-16 03:00:00 +1000,0.0,10.43,9.9,
Yolla (TAS),2012-10-16 04:00:00 +1000,0.0,9.154,11.4,
Yolla (TAS),2012-10-16 05:00:00 +1000,0.0,9.338,10.9,
Yolla (TAS),2012-10-16 06:00:00 +1000,4.001,9.311,11.5,
Yolla (TAS),2012-10-16 07:00:00 +1000,54.471,10.17,12.3,
Yolla (TAS),2012-10-16 08:00:00 +1000,148.905,12.176,13.6,
Yolla (TAS),2012-10-16 09:00:00 +1000,418.596,14.275,15.1,
Yolla (TAS),2012-10-16 10:00:00 +1000,436.664,16.235,15.0,
Yolla (TAS),2012-10-16 11:00:00 +1000,396.079,15.64,13.9,
Yolla (TAS),2012-10-16 12:00:00 +1000,418.37,14.327,14.4,
Yolla (TAS),2012-10-16 13:00:00 +1000,460.234,14.37,14.7,
Yolla (TAS),2012-10-16 14:00:00 +1000,301.652,13.234,14.5,
Yolla (TAS),2012-10-16 15:00:00 +1000,314.454,13.022,14.5,
Yolla (TAS),2012-10-16 16:00:00 +1000,192.505,12.645,13.4,
Yolla (TAS),2012-10-16 17:00:00 +1000,92.381,10.686,11.3,
Yolla (TAS),2012-10-16 18:00:00 +1000,59.162,9.577,10.9,
Yolla (TAS),2012-10-16 19:00:00 +1000,9.556,8.203,9.6,
Yolla (TAS),2012-10-16 20:00:00 +1000,0.107,6.896,9.2,
